origin,destination,flow,time
KHM.1_1,KHM.2_1,11691.0,0
KHM.1_1,KHM.15_1,1270.0,0
KHM.1_1,KHM.12_1,430.0,0
KHM.1_1,KHM.21_1,1150.0,0
KHM.1_1,KHM.17_1,208.0,0
KHM.1_1,KHM.18_1,145.0,0
KHM.1_1,KHM.4_1,186.0,0
KHM.1_1,KHM.6_1,221.0,0
KHM.1_1,KHM.9_1,43.0,0
KHM.1_1,KHM.5_1,171.0,0
KHM.1_1,KHM.3_1,190.0,0
KHM.1_1,KHM.16_1,327.0,0
KHM.1_1,KHM.8_1,159.0,0
KHM.1_1,KHM.22_1,20.0,0
KHM.1_1,KHM.13_1,21.0,0
KHM.1_1,KHM.7_1,50.0,0
KHM.1_1,KHM.11_1,25.0,0
KHM.1_1,KHM.24_1,67.0,0
KHM.1_1,KHM.19_1,70.0,0
KHM.1_1,KHM.25_1,57.0,0
KHM.1_1,KHM.23_1,23.0,0
KHM.1_1,KHM.20_1,6.0,0
KHM.1_1,KHM.14_1,11.0,0
KHM.2_1,KHM.12_1,6583.0,0
KHM.2_1,KHM.1_1,8835.0,0
KHM.2_1,KHM.17_1,2665.0,0
KHM.2_1,KHM.21_1,5959.0,0
KHM.2_1,KHM.15_1,1840.0,0
KHM.2_1,KHM.9_1,324.0,0
KHM.2_1,KHM.4_1,840.0,0
KHM.2_1,KHM.5_1,1188.0,0
KHM.2_1,KHM.6_1,802.0,0
KHM.2_1,KHM.18_1,385.0,0
KHM.2_1,KHM.16_1,1627.0,0
KHM.2_1,KHM.3_1,495.0,0
KHM.2_1,KHM.13_1,109.0,0
KHM.2_1,KHM.8_1,635.0,0
KHM.2_1,KHM.7_1,293.0,0
KHM.2_1,KHM.24_1,305.0,0
KHM.2_1,KHM.10_1,10.0,0
KHM.2_1,KHM.19_1,243.0,0
KHM.2_1,KHM.25_1,244.0,0
KHM.2_1,KHM.11_1,91.0,0
KHM.2_1,KHM.22_1,49.0,0
KHM.2_1,KHM.23_1,107.0,0
KHM.2_1,KHM.14_1,34.0,0
KHM.2_1,KHM.20_1,43.0,0
KHM.3_1,KHM.25_1,8603.0,0
KHM.3_1,KHM.16_1,4599.0,0
KHM.3_1,KHM.4_1,451.0,0
KHM.3_1,KHM.6_1,442.0,0
KHM.3_1,KHM.8_1,651.0,0
KHM.3_1,KHM.19_1,279.0,0
KHM.3_1,KHM.11_1,122.0,0
KHM.3_1,KHM.5_1,205.0,0
KHM.3_1,KHM.23_1,95.0,0
KHM.3_1,KHM.24_1,162.0,0
KHM.3_1,KHM.17_1,72.0,0
KHM.3_1,KHM.7_1,104.0,0
KHM.3_1,KHM.18_1,41.0,0
KHM.3_1,KHM.14_1,22.0,0
KHM.3_1,KHM.10_1,5.0,0
KHM.3_1,KHM.21_1,151.0,0
KHM.3_1,KHM.9_1,20.0,0
KHM.3_1,KHM.22_1,14.0,0
KHM.3_1,KHM.13_1,15.0,0
KHM.3_1,KHM.2_1,116.0,0
KHM.3_1,KHM.20_1,14.0,0
KHM.3_1,KHM.15_1,42.0,0
KHM.3_1,KHM.12_1,21.0,0
KHM.3_1,KHM.1_1,39.0,0
KHM.4_1,KHM.5_1,6027.0,0
KHM.4_1,KHM.16_1,2250.0,0
KHM.4_1,KHM.3_1,290.0,0
KHM.4_1,KHM.6_1,158.0,0
KHM.4_1,KHM.8_1,239.0,0
KHM.4_1,KHM.17_1,37.0,0
KHM.4_1,KHM.19_1,91.0,0
KHM.4_1,KHM.24_1,66.0,0
KHM.4_1,KHM.9_1,10.0,0
KHM.4_1,KHM.25_1,47.0,0
KHM.4_1,KHM.7_1,40.0,0
KHM.4_1,KHM.21_1,66.0,0
KHM.4_1,KHM.23_1,15.0,0
KHM.4_1,KHM.2_1,50.0,0
KHM.4_1,KHM.11_1,9.0,0
KHM.4_1,KHM.13_1,6.0,0
KHM.4_1,KHM.18_1,5.0,0
KHM.4_1,KHM.12_1,6.0,0
KHM.4_1,KHM.1_1,17.0,0
KHM.4_1,KHM.15_1,12.0,0
KHM.4_1,KHM.22_1,1.0,0
KHM.4_1,KHM.14_1,1.0,0
KHM.4_1,KHM.20_1,10.0,0
KHM.5_1,KHM.16_1,11638.0,0
KHM.5_1,KHM.4_1,681.0,0
KHM.5_1,KHM.8_1,1116.0,0
KHM.5_1,KHM.7_1,305.0,0
KHM.5_1,KHM.24_1,328.0,0
KHM.5_1,KHM.9_1,46.0,0
KHM.5_1,KHM.13_1,62.0,0
KHM.5_1,KHM.10_1,9.0,0
KHM.5_1,KHM.17_1,109.0,0
KHM.5_1,KHM.19_1,196.0,0
KHM.5_1,KHM.3_1,151.0,0
KHM.5_1,KHM.6_1,98.0,0
KHM.5_1,KHM.23_1,51.0,0
KHM.5_1,KHM.25_1,105.0,0
KHM.5_1,KHM.2_1,176.0,0
KHM.5_1,KHM.21_1,113.0,0
KHM.5_1,KHM.12_1,38.0,0
KHM.5_1,KHM.11_1,25.0,0
KHM.5_1,KHM.18_1,17.0,0
KHM.5_1,KHM.1_1,46.0,0
KHM.5_1,KHM.15_1,35.0,0
KHM.5_1,KHM.14_1,6.0,0
KHM.5_1,KHM.22_1,6.0,0
KHM.5_1,KHM.20_1,4.0,0
KHM.6_1,KHM.3_1,7495.0,0
KHM.6_1,KHM.4_1,1430.0,0
KHM.6_1,KHM.18_1,667.0,0
KHM.6_1,KHM.11_1,584.0,0
KHM.6_1,KHM.25_1,781.0,0
KHM.6_1,KHM.21_1,722.0,0
KHM.6_1,KHM.16_1,533.0,0
KHM.6_1,KHM.8_1,234.0,0
KHM.6_1,KHM.17_1,44.0,0
KHM.6_1,KHM.22_1,21.0,0
KHM.6_1,KHM.19_1,66.0,0
KHM.6_1,KHM.5_1,74.0,0
KHM.6_1,KHM.23_1,28.0,0
KHM.6_1,KHM.14_1,13.0,0
KHM.6_1,KHM.24_1,55.0,0
KHM.6_1,KHM.15_1,53.0,0
KHM.6_1,KHM.2_1,85.0,0
KHM.6_1,KHM.9_1,6.0,0
KHM.6_1,KHM.7_1,34.0,0
KHM.6_1,KHM.1_1,23.0,0
KHM.6_1,KHM.20_1,4.0,0
KHM.6_1,KHM.12_1,8.0,0
KHM.6_1,KHM.10_1,2.0,0
KHM.6_1,KHM.13_1,9.0,0
KHM.7_1,KHM.10_1,756.0,0
KHM.7_1,KHM.24_1,7028.0,0
KHM.7_1,KHM.13_1,778.0,0
KHM.7_1,KHM.5_1,1688.0,0
KHM.7_1,KHM.8_1,1358.0,0
KHM.7_1,KHM.16_1,807.0,0
KHM.7_1,KHM.9_1,33.0,0
KHM.7_1,KHM.19_1,173.0,0
KHM.7_1,KHM.4_1,85.0,0
KHM.7_1,KHM.23_1,76.0,0
KHM.7_1,KHM.3_1,97.0,0
KHM.7_1,KHM.17_1,35.0,0
KHM.7_1,KHM.25_1,85.0,0
KHM.7_1,KHM.6_1,46.0,0
KHM.7_1,KHM.2_1,124.0,0
KHM.7_1,KHM.11_1,32.0,0
KHM.7_1,KHM.12_1,17.0,0
KHM.7_1,KHM.21_1,78.0,0
KHM.7_1,KHM.18_1,12.0,0
KHM.7_1,KHM.1_1,33.0,0
KHM.7_1,KHM.14_1,8.0,0
KHM.7_1,KHM.15_1,27.0,0
KHM.7_1,KHM.22_1,3.0,0
KHM.7_1,KHM.20_1,7.0,0
KHM.8_1,KHM.16_1,17835.0,0
KHM.8_1,KHM.19_1,2369.0,0
KHM.8_1,KHM.24_1,1549.0,0
KHM.8_1,KHM.5_1,1151.0,0
KHM.8_1,KHM.3_1,832.0,0
KHM.8_1,KHM.4_1,450.0,0
KHM.8_1,KHM.23_1,372.0,0
KHM.8_1,KHM.7_1,452.0,0
KHM.8_1,KHM.25_1,479.0,0
KHM.8_1,KHM.10_1,19.0,0
KHM.8_1,KHM.6_1,319.0,0
KHM.8_1,KHM.13_1,84.0,0
KHM.8_1,KHM.9_1,72.0,0
KHM.8_1,KHM.17_1,165.0,0
KHM.8_1,KHM.11_1,153.0,0
KHM.8_1,KHM.21_1,476.0,0
KHM.8_1,KHM.14_1,41.0,0
KHM.8_1,KHM.18_1,96.0,0
KHM.8_1,KHM.2_1,382.0,0
KHM.8_1,KHM.22_1,24.0,0
KHM.8_1,KHM.12_1,59.0,0
KHM.8_1,KHM.1_1,151.0,0
KHM.8_1,KHM.15_1,116.0,0
KHM.8_1,KHM.20_1,29.0,0
KHM.9_1,KHM.5_1,2589.0,0
KHM.9_1,KHM.13_1,100.0,0
KHM.9_1,KHM.17_1,81.0,0
KHM.9_1,KHM.7_1,91.0,0
KHM.9_1,KHM.10_1,6.0,0
KHM.9_1,KHM.4_1,37.0,0
KHM.9_1,KHM.16_1,83.0,0
KHM.9_1,KHM.24_1,13.0,0
KHM.9_1,KHM.8_1,18.0,0
KHM.9_1,KHM.2_1,11.0,0
KHM.9_1,KHM.3_1,2.0,0
KHM.9_1,KHM.19_1,4.0,0
KHM.9_1,KHM.6_1,3.0,0
KHM.9_1,KHM.21_1,9.0,0
KHM.9_1,KHM.1_1,1.0,0
KHM.9_1,KHM.25_1,1.0,0
KHM.9_1,KHM.15_1,2.0,0
KHM.10_1,KHM.7_1,742.0,0
KHM.10_1,KHM.13_1,6.0,0
KHM.10_1,KHM.24_1,15.0,0
KHM.10_1,KHM.5_1,5.0,0
KHM.10_1,KHM.8_1,5.0,0
KHM.10_1,KHM.16_1,2.0,0
KHM.10_1,KHM.3_1,1.0,0
KHM.10_1,KHM.6_1,1.0,0
KHM.10_1,KHM.21_1,1.0,0
KHM.11_1,KHM.25_1,5520.0,0
KHM.11_1,KHM.14_1,246.0,0
KHM.11_1,KHM.3_1,810.0,0
KHM.11_1,KHM.6_1,313.0,0
KHM.11_1,KHM.22_1,57.0,0
KHM.11_1,KHM.19_1,235.0,0
KHM.11_1,KHM.20_1,54.0,0
KHM.11_1,KHM.23_1,92.0,0
KHM.11_1,KHM.18_1,61.0,0
KHM.11_1,KHM.4_1,51.0,0
KHM.11_1,KHM.8_1,135.0,0
KHM.11_1,KHM.16_1,127.0,0
KHM.11_1,KHM.5_1,33.0,0
KHM.11_1,KHM.24_1,27.0,0
KHM.11_1,KHM.21_1,27.0,0
KHM.11_1,KHM.17_1,7.0,0
KHM.11_1,KHM.7_1,14.0,0
KHM.11_1,KHM.10_1,1.0,0
KHM.11_1,KHM.15_1,8.0,0
KHM.11_1,KHM.9_1,1.0,0
KHM.11_1,KHM.2_1,20.0,0
KHM.11_1,KHM.13_1,3.0,0
KHM.11_1,KHM.1_1,5.0,0
KHM.11_1,KHM.12_1,5.0,0
KHM.12_1,KHM.2_1,5945.0,0
KHM.12_1,KHM.1_1,365.0,0
KHM.12_1,KHM.17_1,114.0,0
KHM.12_1,KHM.21_1,265.0,0
KHM.12_1,KHM.9_1,13.0,0
KHM.12_1,KHM.15_1,64.0,0
KHM.12_1,KHM.4_1,31.0,0
KHM.12_1,KHM.5_1,45.0,0
KHM.12_1,KHM.6_1,40.0,0
KHM.12_1,KHM.13_1,9.0,0
KHM.12_1,KHM.18_1,14.0,0
KHM.12_1,KHM.16_1,69.0,0
KHM.12_1,KHM.7_1,15.0,0
KHM.12_1,KHM.3_1,15.0,0
KHM.12_1,KHM.8_1,25.0,0
KHM.12_1,KHM.24_1,6.0,0
KHM.12_1,KHM.10_1,1.0,0
KHM.12_1,KHM.19_1,16.0,0
KHM.12_1,KHM.25_1,5.0,0
KHM.12_1,KHM.11_1,3.0,0
KHM.12_1,KHM.22_1,2.0,0
KHM.12_1,KHM.23_1,6.0,0
KHM.12_1,KHM.14_1,2.0,0
KHM.12_1,KHM.20_1,2.0,0
KHM.13_1,KHM.7_1,3307.0,0
KHM.13_1,KHM.10_1,38.0,0
KHM.13_1,KHM.9_1,175.0,0
KHM.13_1,KHM.5_1,394.0,0
KHM.13_1,KHM.24_1,160.0,0
KHM.13_1,KHM.16_1,144.0,0
KHM.13_1,KHM.8_1,59.0,0
KHM.13_1,KHM.4_1,13.0,0
KHM.13_1,KHM.17_1,12.0,0
KHM.13_1,KHM.19_1,11.0,0
KHM.13_1,KHM.3_1,11.0,0
KHM.13_1,KHM.23_1,4.0,0
KHM.13_1,KHM.2_1,18.0,0
KHM.13_1,KHM.25_1,7.0,0
KHM.13_1,KHM.12_1,1.0,0
KHM.13_1,KHM.6_1,7.0,0
KHM.13_1,KHM.21_1,7.0,0
KHM.13_1,KHM.1_1,1.0,0
KHM.13_1,KHM.18_1,1.0,0
KHM.13_1,KHM.15_1,2.0,0
KHM.13_1,KHM.14_1,1.0,0
KHM.13_1,KHM.20_1,1.0,0
KHM.14_1,KHM.11_1,2070.0,0
KHM.14_1,KHM.20_1,227.0,0
KHM.14_1,KHM.22_1,93.0,0
KHM.14_1,KHM.25_1,196.0,0
KHM.14_1,KHM.3_1,67.0,0
KHM.14_1,KHM.6_1,26.0,0
KHM.14_1,KHM.23_1,14.0,0
KHM.14_1,KHM.19_1,22.0,0
KHM.14_1,KHM.18_1,8.0,0
KHM.14_1,KHM.8_1,15.0,0
KHM.14_1,KHM.16_1,15.0,0
KHM.14_1,KHM.4_1,2.0,0
KHM.14_1,KHM.24_1,2.0,0
KHM.14_1,KHM.5_1,1.0,0
KHM.14_1,KHM.21_1,4.0,0
KHM.14_1,KHM.7_1,3.0,0
KHM.14_1,KHM.17_1,1.0,0
KHM.14_1,KHM.15_1,2.0,0
KHM.14_1,KHM.2_1,2.0,0
KHM.14_1,KHM.1_1,3.0,0
KHM.15_1,KHM.21_1,10401.0,0
KHM.15_1,KHM.1_1,1419.0,0
KHM.15_1,KHM.18_1,377.0,0
KHM.15_1,KHM.2_1,1118.0,0
KHM.15_1,KHM.12_1,156.0,0
KHM.15_1,KHM.17_1,131.0,0
KHM.15_1,KHM.6_1,196.0,0
KHM.15_1,KHM.4_1,89.0,0
KHM.15_1,KHM.22_1,32.0,0
KHM.15_1,KHM.3_1,153.0,0
KHM.15_1,KHM.5_1,113.0,0
KHM.15_1,KHM.9_1,18.0,0
KHM.15_1,KHM.11_1,53.0,0
KHM.15_1,KHM.16_1,212.0,0
KHM.15_1,KHM.8_1,115.0,0
KHM.15_1,KHM.25_1,60.0,0
KHM.15_1,KHM.19_1,49.0,0
KHM.15_1,KHM.20_1,13.0,0
KHM.15_1,KHM.24_1,45.0,0
KHM.15_1,KHM.7_1,32.0,0
KHM.15_1,KHM.14_1,8.0,0
KHM.15_1,KHM.13_1,14.0,0
KHM.15_1,KHM.23_1,18.0,0
KHM.15_1,KHM.10_1,3.0,0
KHM.16_1,KHM.8_1,18398.0,0
KHM.16_1,KHM.5_1,4882.0,0
KHM.16_1,KHM.19_1,3651.0,0
KHM.16_1,KHM.24_1,2591.0,0
KHM.16_1,KHM.4_1,1172.0,0
KHM.16_1,KHM.3_1,1665.0,0
KHM.16_1,KHM.7_1,1143.0,0
KHM.16_1,KHM.23_1,613.0,0
KHM.16_1,KHM.25_1,1065.0,0
KHM.16_1,KHM.10_1,46.0,0
KHM.16_1,KHM.6_1,659.0,0
KHM.16_1,KHM.9_1,143.0,0
KHM.16_1,KHM.13_1,207.0,0
KHM.16_1,KHM.17_1,332.0,0
KHM.16_1,KHM.11_1,333.0,0
KHM.16_1,KHM.21_1,992.0,0
KHM.16_1,KHM.2_1,910.0,0
KHM.16_1,KHM.18_1,169.0,0
KHM.16_1,KHM.14_1,70.0,0
KHM.16_1,KHM.12_1,138.0,0
KHM.16_1,KHM.22_1,69.0,0
KHM.16_1,KHM.1_1,289.0,0
KHM.16_1,KHM.15_1,268.0,0
KHM.16_1,KHM.20_1,88.0,0
KHM.17_1,KHM.2_1,6461.0,0
KHM.17_1,KHM.9_1,89.0,0
