origin,destination,flow,time
KWT.1_1,KWT.2_1,64313.0,0
KWT.1_1,KWT.6_1,6954.0,0
KWT.1_1,KWT.5_1,8319.0,0
KWT.1_1,KWT.4_1,2955.0,0
KWT.1_1,KWT.3_1,2379.0,0
KWT.2_1,KWT.4_1,47066.0,0
KWT.2_1,KWT.6_1,27493.0,0
KWT.2_1,KWT.5_1,30237.0,0
KWT.2_1,KWT.1_1,18009.0,0
KWT.2_1,KWT.3_1,6460.0,0
KWT.3_1,KWT.4_1,24016.0,0
KWT.3_1,KWT.2_1,13836.0,0
KWT.3_1,KWT.5_1,2580.0,0
KWT.3_1,KWT.6_1,872.0,0
KWT.3_1,KWT.1_1,1219.0,0
KWT.4_1,KWT.5_1,31749.0,0
KWT.4_1,KWT.2_1,8721.0,0
KWT.4_1,KWT.6_1,1215.0,0
KWT.4_1,KWT.3_1,934.0,0
KWT.4_1,KWT.1_1,1278.0,0
KWT.5_1,KWT.6_1,34919.0,0
KWT.5_1,KWT.4_1,16876.0,0
KWT.5_1,KWT.2_1,20964.0,0
KWT.5_1,KWT.1_1,5972.0,0
KWT.5_1,KWT.3_1,2136.0,0
KWT.6_1,KWT.5_1,31504.0,0
KWT.6_1,KWT.2_1,8465.0,0
KWT.6_1,KWT.4_1,1197.0,0
KWT.6_1,KWT.1_1,1597.0,0
KWT.6_1,KWT.3_1,526.0,0
KWT.1_1,KWT.1_1,764288.4540756221,0
KWT.2_1,KWT.2_1,1163389.342016601,0
KWT.3_1,KWT.3_1,382715.31811702234,0
KWT.4_1,KWT.4_1,395076.86213378946,0
KWT.5_1,KWT.5_1,727807.0662597653,0
KWT.6_1,KWT.6_1,389605.7118164058,0
