origin,destination,flow,time
LAO.2.2_1,LAO.2.6_1,1969.0,0
LAO.2.2_1,LAO.2.1_1,2277.0,0
LAO.2.2_1,LAO.7.1_1,137.0,0
LAO.2.2_1,LAO.2.3_1,66.0,0
LAO.2.2_1,LAO.7.5_1,45.0,0
LAO.2.2_1,LAO.2.5_1,40.0,0
LAO.2.2_1,LAO.2.4_1,13.0,0
LAO.2.2_1,LAO.7.4_1,36.0,0
LAO.2.2_1,LAO.7.2_1,14.0,0
LAO.2.2_1,LAO.9.6_1,9.0,0
LAO.2.2_1,LAO.7.3_1,14.0,0
LAO.2.2_1,LAO.15.4_1,5.0,0
LAO.2.2_1,LAO.15.10_1,8.0,0
LAO.2.2_1,LAO.9.2_1,10.0,0
LAO.2.2_1,LAO.15.5_1,2.0,0
LAO.2.2_1,LAO.9.4_1,4.0,0
LAO.2.2_1,LAO.9.1_1,6.0,0
LAO.2.2_1,LAO.9.7_1,7.0,0
LAO.2.2_1,LAO.15.2_1,2.0,0
LAO.2.2_1,LAO.9.5_1,4.0,0
LAO.2.2_1,LAO.10.2_1,1.0,0
LAO.2.2_1,LAO.8.1_1,2.0,0
LAO.2.2_1,LAO.10.1_1,1.0,0
LAO.2.2_1,LAO.15.9_1,6.0,0
LAO.2.2_1,LAO.8.2_1,3.0,0
LAO.2.2_1,LAO.8.3_1,1.0,0
LAO.2.2_1,LAO.8.7_1,1.0,0
LAO.2.2_1,LAO.10.3_1,1.0,0
LAO.2.2_1,LAO.8.4_1,1.0,0
LAO.2.2_1,LAO.8.11_1,3.0,0
LAO.2.2_1,LAO.10.5_1,2.0,0
LAO.2.2_1,LAO.10.7_1,1.0,0
LAO.2.2_1,LAO.14.3_1,1.0,0
LAO.2.2_1,LAO.8.8_1,1.0,0
LAO.2.2_1,LAO.8.10_1,1.0,0
LAO.2.2_1,LAO.15.6_1,1.0,0
LAO.2.2_1,LAO.14.1_1,1.0,0
LAO.2.2_1,LAO.14.8_1,1.0,0
LAO.2.2_1,LAO.14.10_1,2.0,0
LAO.2.2_1,LAO.18.5_1,2.0,0
LAO.2.2_1,LAO.15.3_1,1.0,0
LAO.2.2_1,LAO.13.4_1,1.0,0
