origin,destination,flow,time
LBN.3.1_1,LBN.5.2_1,20114.0,0
LBN.3.1_1,LBN.5.1_1,955.0,0
LBN.3.1_1,LBN.5.5_1,1699.0,0
LBN.3.1_1,LBN.5.4_1,474.0,0
LBN.3.1_1,LBN.5.8_1,313.0,0
LBN.3.1_1,LBN.4.2_1,56.0,0
LBN.3.1_1,LBN.5.7_1,59.0,0
LBN.3.1_1,LBN.4.3_1,312.0,0
LBN.3.1_1,LBN.8.1_1,87.0,0
LBN.3.1_1,LBN.8.2_1,1.0,0
LBN.3.1_1,LBN.7.1_1,121.0,0
LBN.3.1_1,LBN.8.3_1,358.0,0
LBN.3.1_1,LBN.4.1_1,31.0,0
LBN.3.1_1,LBN.7.3_1,57.0,0
LBN.3.1_1,LBN.6.4_1,228.0,0
LBN.3.1_1,LBN.7.2_1,27.0,0
LBN.3.1_1,LBN.6.2_1,25.0,0
LBN.3.1_1,LBN.7.6_1,53.0,0
LBN.3.1_1,LBN.7.5_1,182.0,0
LBN.3.1_1,LBN.6.3_1,61.0,0
LBN.3.1_1,LBN.7.4_1,112.0,0
LBN.3.1_1,LBN.2.1_1,161.0,0
LBN.3.1_1,LBN.8.4_1,136.0,0
LBN.3.1_1,LBN.6.1_1,32.0,0
LBN.3.1_1,LBN.2.2_1,18.0,0
LBN.3.1_1,LBN.1.1_1,45.0,0
LBN.4.1_1,LBN.4.2_1,938.0,0
LBN.4.1_1,LBN.6.2_1,235.0,0
LBN.4.1_1,LBN.8.1_1,273.0,0
LBN.4.1_1,LBN.5.4_1,234.0,0
LBN.4.1_1,LBN.4.3_1,37.0,0
LBN.4.1_1,LBN.5.1_1,22.0,0
LBN.4.1_1,LBN.5.2_1,39.0,0
LBN.4.1_1,LBN.6.4_1,3.0,0
LBN.4.1_1,LBN.6.3_1,2.0,0
LBN.4.1_1,LBN.5.5_1,5.0,0
LBN.4.1_1,LBN.8.3_1,1.0,0
LBN.4.1_1,LBN.3.1_1,2.0,0
LBN.4.1_1,LBN.6.1_1,1.0,0
LBN.4.1_1,LBN.8.4_1,3.0,0
LBN.4.1_1,LBN.7.4_1,1.0,0
LBN.4.1_1,LBN.7.5_1,2.0,0
LBN.4.2_1,LBN.4.1_1,951.0,0
LBN.4.2_1,LBN.5.4_1,880.0,0
LBN.4.2_1,LBN.5.1_1,102.0,0
LBN.4.2_1,LBN.8.1_1,20.0,0
LBN.4.2_1,LBN.5.2_1,86.0,0
LBN.4.2_1,LBN.4.3_1,6.0,0
LBN.4.2_1,LBN.5.5_1,8.0,0
LBN.4.2_1,LBN.6.4_1,1.0,0
LBN.4.2_1,LBN.3.1_1,1.0,0
LBN.4.2_1,LBN.8.3_1,1.0,0
LBN.4.2_1,LBN.5.8_1,2.0,0
LBN.4.2_1,LBN.8.4_1,1.0,0
LBN.4.2_1,LBN.7.1_1,1.0,0
LBN.4.2_1,LBN.7.6_1,1.0,0
LBN.4.2_1,LBN.7.4_1,2.0,0
LBN.4.3_1,LBN.5.5_1,8850.0,0
LBN.4.3_1,LBN.5.2_1,1841.0,0
LBN.4.3_1,LBN.5.8_1,84.0,0
LBN.4.3_1,LBN.4.2_1,18.0,0
LBN.4.3_1,LBN.5.1_1,107.0,0
LBN.4.3_1,LBN.4.1_1,14.0,0
LBN.4.3_1,LBN.5.7_1,15.0,0
LBN.4.3_1,LBN.5.4_1,78.0,0
LBN.4.3_1,LBN.3.1_1,151.0,0
LBN.4.3_1,LBN.2.1_1,70.0,0
LBN.4.3_1,LBN.7.1_1,24.0,0
LBN.4.3_1,LBN.7.2_1,4.0,0
LBN.4.3_1,LBN.8.1_1,15.0,0
LBN.4.3_1,LBN.6.2_1,10.0,0
LBN.4.3_1,LBN.7.3_1,11.0,0
LBN.4.3_1,LBN.7.6_1,16.0,0
LBN.4.3_1,LBN.7.4_1,27.0,0
LBN.4.3_1,LBN.6.4_1,43.0,0
LBN.4.3_1,LBN.8.3_1,39.0,0
LBN.4.3_1,LBN.7.5_1,26.0,0
LBN.4.3_1,LBN.6.3_1,7.0,0
LBN.4.3_1,LBN.2.2_1,1.0,0
LBN.4.3_1,LBN.1.1_1,15.0,0
LBN.4.3_1,LBN.6.1_1,7.0,0
LBN.4.3_1,LBN.8.4_1,28.0,0
LBN.5.1_1,LBN.5.2_1,10033.0,0
LBN.5.1_1,LBN.5.4_1,256.0,0
LBN.5.1_1,LBN.3.1_1,287.0,0
LBN.5.1_1,LBN.5.5_1,251.0,0
LBN.5.1_1,LBN.4.2_1,8.0,0
LBN.5.1_1,LBN.4.3_1,68.0,0
LBN.5.1_1,LBN.5.8_1,45.0,0
LBN.5.1_1,LBN.8.1_1,23.0,0
LBN.5.1_1,LBN.4.1_1,3.0,0
LBN.5.1_1,LBN.8.3_1,66.0,0
LBN.5.1_1,LBN.5.7_1,9.0,0
LBN.5.1_1,LBN.6.4_1,47.0,0
LBN.5.1_1,LBN.6.2_1,7.0,0
LBN.5.1_1,LBN.7.1_1,26.0,0
LBN.5.1_1,LBN.6.3_1,8.0,0
LBN.5.1_1,LBN.7.2_1,5.0,0
LBN.5.1_1,LBN.7.3_1,10.0,0
LBN.5.1_1,LBN.8.4_1,28.0,0
LBN.5.1_1,LBN.2.1_1,30.0,0
LBN.5.1_1,LBN.7.6_1,6.0,0
LBN.5.1_1,LBN.6.1_1,6.0,0
LBN.5.1_1,LBN.7.5_1,22.0,0
LBN.5.1_1,LBN.7.4_1,12.0,0
LBN.5.1_1,LBN.2.2_1,4.0,0
LBN.5.1_1,LBN.1.1_1,16.0,0
LBN.5.2_1,LBN.5.5_1,27650.0,0
LBN.5.2_1,LBN.5.1_1,5893.0,0
LBN.5.2_1,LBN.3.1_1,9620.0,0
LBN.5.2_1,LBN.5.8_1,2701.0,0
LBN.5.2_1,LBN.5.4_1,3243.0,0
LBN.5.2_1,LBN.4.3_1,2329.0,0
LBN.5.2_1,LBN.4.2_1,402.0,0
LBN.5.2_1,LBN.5.7_1,401.0,0
LBN.5.2_1,LBN.5.6_1,5.0,0
LBN.5.2_1,LBN.4.1_1,340.0,0
LBN.5.2_1,LBN.8.1_1,679.0,0
LBN.5.2_1,LBN.5.3_1,1.0,0
LBN.5.2_1,LBN.8.2_1,9.0,0
LBN.5.2_1,LBN.7.1_1,854.0,0
LBN.5.2_1,LBN.8.3_1,2571.0,0
LBN.5.2_1,LBN.6.2_1,188.0,0
LBN.5.2_1,LBN.7.2_1,181.0,0
LBN.5.2_1,LBN.6.4_1,1630.0,0
LBN.5.2_1,LBN.7.3_1,347.0,0
LBN.5.2_1,LBN.2.1_1,1533.0,0
LBN.5.2_1,LBN.7.6_1,356.0,0
LBN.5.2_1,LBN.6.3_1,379.0,0
LBN.5.2_1,LBN.7.5_1,1095.0,0
LBN.5.2_1,LBN.7.4_1,703.0,0
LBN.5.2_1,LBN.1.2_1,2.0,0
LBN.5.2_1,LBN.8.4_1,1252.0,0
LBN.5.2_1,LBN.6.1_1,203.0,0
LBN.5.2_1,LBN.2.2_1,114.0,0
LBN.5.2_1,LBN.1.1_1,382.0,0
LBN.1.1_1,LBN.1.2_1,48.0,0
LBN.1.1_1,LBN.2.2_1,1304.0,0
LBN.1.1_1,LBN.7.4_1,2478.0,0
LBN.1.1_1,LBN.7.6_1,422.0,0
LBN.1.1_1,LBN.7.5_1,675.0,0
LBN.1.1_1,LBN.7.2_1,36.0,0
LBN.1.1_1,LBN.7.3_1,86.0,0
LBN.1.1_1,LBN.7.1_1,117.0,0
LBN.1.1_1,LBN.2.1_1,229.0,0
LBN.1.1_1,LBN.5.7_1,19.0,0
LBN.1.1_1,LBN.5.8_1,69.0,0
LBN.1.1_1,LBN.5.5_1,170.0,0
LBN.1.1_1,LBN.4.3_1,27.0,0
LBN.1.1_1,LBN.5.2_1,108.0,0
LBN.1.1_1,LBN.3.1_1,31.0,0
LBN.1.1_1,LBN.5.1_1,10.0,0
LBN.1.1_1,LBN.4.2_1,1.0,0
LBN.1.1_1,LBN.5.4_1,14.0,0
LBN.1.1_1,LBN.4.1_1,2.0,0
LBN.1.1_1,LBN.8.1_1,4.0,0
LBN.1.1_1,LBN.6.2_1,2.0,0
LBN.1.1_1,LBN.8.3_1,11.0,0
