origin,destination,flow,time
LBR.3.1_1,LBR.3.2_1,2626.0,0
LBR.3.1_1,LBR.8.4_1,982.0,0
LBR.3.1_1,LBR.8.2_1,768.0,0
LBR.3.1_1,LBR.2.6_1,126.0,0
LBR.3.1_1,LBR.8.6_1,114.0,0
LBR.3.1_1,LBR.3.5_1,25.0,0
LBR.3.1_1,LBR.3.3_1,51.0,0
LBR.3.1_1,LBR.2.1_1,51.0,0
LBR.3.1_1,LBR.2.8_1,15.0,0
LBR.3.1_1,LBR.8.3_1,20.0,0
LBR.3.1_1,LBR.2.5_1,32.0,0
LBR.3.1_1,LBR.8.5_1,37.0,0
LBR.3.1_1,LBR.2.7_1,28.0,0
LBR.3.1_1,LBR.3.4_1,9.0,0
LBR.3.1_1,LBR.2.2_1,22.0,0
LBR.3.1_1,LBR.8.1_1,19.0,0
LBR.3.1_1,LBR.9.2_1,4.0,0
LBR.3.1_1,LBR.2.4_1,10.0,0
LBR.3.1_1,LBR.9.3_1,12.0,0
LBR.3.1_1,LBR.4.4_1,2.0,0
LBR.3.1_1,LBR.1.2_1,5.0,0
LBR.3.1_1,LBR.4.3_1,3.0,0
LBR.3.1_1,LBR.11.4_1,8.0,0
LBR.3.1_1,LBR.2.3_1,1.0,0
LBR.3.1_1,LBR.5.2_1,4.0,0
LBR.3.1_1,LBR.12.2_1,8.0,0
LBR.3.1_1,LBR.1.1_1,8.0,0
LBR.3.1_1,LBR.9.1_1,5.0,0
LBR.3.1_1,LBR.11.1_1,1.0,0
LBR.3.1_1,LBR.12.3_1,7.0,0
LBR.3.1_1,LBR.5.1_1,1.0,0
LBR.3.1_1,LBR.11.3_1,9.0,0
LBR.3.1_1,LBR.12.5_1,1.0,0
LBR.3.1_1,LBR.5.3_1,1.0,0
LBR.3.1_1,LBR.9.4_1,3.0,0
LBR.3.1_1,LBR.5.5_1,1.0,0
LBR.3.1_1,LBR.4.5_1,1.0,0
LBR.3.1_1,LBR.11.2_1,15.0,0
LBR.3.1_1,LBR.12.6_1,1.0,0
LBR.3.1_1,LBR.12.4_1,1.0,0
LBR.3.1_1,LBR.13.2_1,1.0,0
LBR.3.1_1,LBR.15.1_1,1.0,0
LBR.3.1_1,LBR.15.5_1,1.0,0
LBR.3.1_1,LBR.14.1_1,1.0,0
LBR.3.1_1,LBR.10.2_1,1.0,0
LBR.3.2_1,LBR.2.6_1,3147.0,0
LBR.3.2_1,LBR.3.1_1,650.0,0
LBR.3.2_1,LBR.2.1_1,526.0,0
LBR.3.2_1,LBR.3.3_1,209.0,0
LBR.3.2_1,LBR.2.5_1,192.0,0
LBR.3.2_1,LBR.2.7_1,163.0,0
LBR.3.2_1,LBR.8.4_1,60.0,0
LBR.3.2_1,LBR.9.2_1,30.0,0
LBR.3.2_1,LBR.3.4_1,33.0,0
LBR.3.2_1,LBR.9.3_1,57.0,0
LBR.3.2_1,LBR.3.5_1,11.0,0
LBR.3.2_1,LBR.2.8_1,12.0,0
LBR.3.2_1,LBR.2.2_1,45.0,0
LBR.3.2_1,LBR.1.2_1,2.0,0
LBR.3.2_1,LBR.11.4_1,31.0,0
LBR.3.2_1,LBR.8.6_1,14.0,0
LBR.3.2_1,LBR.8.2_1,23.0,0
LBR.3.2_1,LBR.5.2_1,2.0,0
LBR.3.2_1,LBR.2.4_1,4.0,0
LBR.3.2_1,LBR.4.3_1,7.0,0
LBR.3.2_1,LBR.2.3_1,5.0,0
LBR.3.2_1,LBR.9.1_1,9.0,0
LBR.3.2_1,LBR.8.3_1,4.0,0
LBR.3.2_1,LBR.4.4_1,6.0,0
LBR.3.2_1,LBR.11.1_1,4.0,0
LBR.3.2_1,LBR.1.1_1,16.0,0
LBR.3.2_1,LBR.11.3_1,18.0,0
LBR.3.2_1,LBR.5.3_1,6.0,0
LBR.3.2_1,LBR.8.5_1,2.0,0
LBR.3.2_1,LBR.9.4_1,14.0,0
LBR.3.2_1,LBR.12.2_1,5.0,0
LBR.3.2_1,LBR.11.2_1,19.0,0
LBR.3.2_1,LBR.8.1_1,2.0,0
LBR.3.2_1,LBR.12.5_1,1.0,0
LBR.3.2_1,LBR.4.2_1,1.0,0
LBR.3.2_1,LBR.12.3_1,1.0,0
LBR.3.2_1,LBR.5.4_1,1.0,0
LBR.3.2_1,LBR.12.4_1,1.0,0
LBR.3.2_1,LBR.12.6_1,4.0,0
LBR.3.2_1,LBR.12.1_1,3.0,0
LBR.3.2_1,LBR.13.2_1,1.0,0
LBR.3.2_1,LBR.6.3_1,1.0,0
LBR.3.2_1,LBR.10.1_1,1.0,0
LBR.3.2_1,LBR.10.2_1,2.0,0
LBR.3.3_1,LBR.3.4_1,2914.0,0
LBR.3.3_1,LBR.2.1_1,1677.0,0
LBR.3.3_1,LBR.3.2_1,373.0,0
LBR.3.3_1,LBR.1.2_1,144.0,0
LBR.3.3_1,LBR.4.3_1,305.0,0
LBR.3.3_1,LBR.3.5_1,95.0,0
LBR.3.3_1,LBR.11.4_1,369.0,0
LBR.3.3_1,LBR.4.4_1,108.0,0
LBR.3.3_1,LBR.2.6_1,61.0,0
LBR.3.3_1,LBR.2.5_1,65.0,0
LBR.3.3_1,LBR.9.3_1,72.0,0
LBR.3.3_1,LBR.3.1_1,14.0,0
LBR.3.3_1,LBR.1.1_1,59.0,0
LBR.3.3_1,LBR.11.1_1,12.0,0
LBR.3.3_1,LBR.9.2_1,10.0,0
LBR.3.3_1,LBR.11.3_1,68.0,0
LBR.3.3_1,LBR.9.1_1,15.0,0
LBR.3.3_1,LBR.4.2_1,8.0,0
LBR.3.3_1,LBR.2.7_1,9.0,0
LBR.3.3_1,LBR.8.3_1,3.0,0
LBR.3.3_1,LBR.11.2_1,78.0,0
LBR.3.3_1,LBR.9.4_1,6.0,0
LBR.3.3_1,LBR.4.5_1,1.0,0
LBR.3.3_1,LBR.8.2_1,2.0,0
LBR.3.3_1,LBR.5.5_1,1.0,0
LBR.3.3_1,LBR.2.8_1,1.0,0
LBR.3.3_1,LBR.8.6_1,1.0,0
LBR.3.3_1,LBR.5.6_1,1.0,0
LBR.3.3_1,LBR.5.3_1,1.0,0
LBR.3.3_1,LBR.8.1_1,3.0,0
LBR.3.3_1,LBR.8.5_1,2.0,0
LBR.3.3_1,LBR.12.2_1,4.0,0
LBR.3.3_1,LBR.12.3_1,3.0,0
LBR.3.3_1,LBR.12.6_1,3.0,0
LBR.3.3_1,LBR.6.1_1,2.0,0
LBR.3.3_1,LBR.15.5_1,1.0,0
LBR.3.3_1,LBR.6.3_1,1.0,0
LBR.3.3_1,LBR.15.3_1,1.0,0
LBR.3.3_1,LBR.6.2_1,1.0,0
LBR.3.3_1,LBR.14.1_1,3.0,0
LBR.3.3_1,LBR.7.4_1,1.0,0
LBR.3.3_1,LBR.14.2_1,2.0,0
LBR.3.3_1,LBR.10.2_1,2.0,0
LBR.3.4_1,LBR.3.3_1,2848.0,0
LBR.3.4_1,LBR.4.3_1,857.0,0
LBR.3.4_1,LBR.4.4_1,552.0,0
LBR.3.4_1,LBR.1.2_1,59.0,0
LBR.3.4_1,LBR.2.1_1,189.0,0
LBR.3.4_1,LBR.1.1_1,245.0,0
LBR.3.4_1,LBR.3.5_1,22.0,0
LBR.3.4_1,LBR.11.4_1,63.0,0
LBR.3.4_1,LBR.3.2_1,24.0,0
LBR.3.4_1,LBR.4.2_1,21.0,0
LBR.3.4_1,LBR.9.3_1,33.0,0
LBR.3.4_1,LBR.4.5_1,6.0,0
LBR.3.4_1,LBR.11.3_1,70.0,0
LBR.3.4_1,LBR.11.1_1,1.0,0
LBR.3.4_1,LBR.2.5_1,7.0,0
LBR.3.4_1,LBR.4.1_1,1.0,0
LBR.3.4_1,LBR.3.1_1,2.0,0
LBR.3.4_1,LBR.2.6_1,4.0,0
LBR.3.4_1,LBR.9.1_1,6.0,0
LBR.3.4_1,LBR.11.2_1,46.0,0
LBR.3.4_1,LBR.9.4_1,6.0,0
LBR.3.4_1,LBR.9.2_1,1.0,0
LBR.3.4_1,LBR.8.2_1,2.0,0
LBR.3.4_1,LBR.2.7_1,4.0,0
LBR.3.4_1,LBR.5.2_1,1.0,0
LBR.3.4_1,LBR.8.4_1,1.0,0
LBR.3.4_1,LBR.5.6_1,1.0,0
LBR.3.4_1,LBR.8.6_1,2.0,0
LBR.3.4_1,LBR.8.1_1,3.0,0
LBR.3.4_1,LBR.2.3_1,1.0,0
LBR.3.4_1,LBR.8.5_1,1.0,0
LBR.3.4_1,LBR.5.3_1,1.0,0
LBR.3.4_1,LBR.12.3_1,2.0,0
LBR.3.4_1,LBR.12.4_1,1.0,0
LBR.3.4_1,LBR.12.1_1,1.0,0
LBR.3.4_1,LBR.15.7_1,1.0,0
LBR.3.4_1,LBR.6.2_1,1.0,0
LBR.3.4_1,LBR.14.2_1,1.0,0
LBR.3.4_1,LBR.10.2_1,1.0,0
LBR.8.4_1,LBR.2.8_1,2816.0,0
LBR.8.4_1,LBR.3.1_1,1288.0,0
LBR.8.4_1,LBR.8.6_1,1202.0,0
LBR.8.4_1,LBR.2.6_1,409.0,0
LBR.8.4_1,LBR.3.2_1,203.0,0
LBR.8.4_1,LBR.2.4_1,228.0,0
LBR.8.4_1,LBR.2.2_1,255.0,0
LBR.8.4_1,LBR.2.7_1,136.0,0
