origin,destination,flow,time
LBY.1_1,LBY.13_1,4533.0,0
LBY.1_1,LBY.9_1,2086.0,0
LBY.1_1,LBY.2_1,842.0,0
LBY.1_1,LBY.7_1,519.0,0
LBY.1_1,LBY.12_1,818.0,0
LBY.1_1,LBY.19_1,88.0,0
LBY.1_1,LBY.5_1,26.0,0
LBY.1_1,LBY.6_1,29.0,0
LBY.1_1,LBY.15_1,157.0,0
LBY.1_1,LBY.18_1,36.0,0
LBY.1_1,LBY.8_1,103.0,0
LBY.1_1,LBY.16_1,15.0,0
LBY.1_1,LBY.20_1,161.0,0
LBY.1_1,LBY.3_1,21.0,0
LBY.1_1,LBY.4_1,13.0,0
LBY.1_1,LBY.22_1,6.0,0
LBY.1_1,LBY.11_1,20.0,0
LBY.1_1,LBY.21_1,9.0,0
LBY.1_1,LBY.10_1,18.0,0
LBY.1_1,LBY.17_1,5.0,0
LBY.1_1,LBY.14_1,1.0,0
LBY.2_1,LBY.7_1,5647.0,0
LBY.2_1,LBY.13_1,1557.0,0
LBY.2_1,LBY.12_1,2477.0,0
LBY.2_1,LBY.1_1,218.0,0
LBY.2_1,LBY.9_1,187.0,0
LBY.2_1,LBY.19_1,129.0,0
LBY.2_1,LBY.5_1,38.0,0
LBY.2_1,LBY.15_1,255.0,0
LBY.2_1,LBY.8_1,150.0,0
LBY.2_1,LBY.20_1,272.0,0
LBY.2_1,LBY.4_1,22.0,0
LBY.2_1,LBY.3_1,32.0,0
LBY.2_1,LBY.18_1,16.0,0
LBY.2_1,LBY.11_1,39.0,0
LBY.2_1,LBY.10_1,29.0,0
LBY.2_1,LBY.6_1,5.0,0
LBY.2_1,LBY.22_1,5.0,0
LBY.2_1,LBY.16_1,9.0,0
LBY.2_1,LBY.17_1,10.0,0
LBY.2_1,LBY.21_1,6.0,0
LBY.2_1,LBY.14_1,2.0,0
LBY.3_1,LBY.15_1,12627.0,0
LBY.3_1,LBY.17_1,989.0,0
LBY.3_1,LBY.4_1,1521.0,0
LBY.3_1,LBY.11_1,1360.0,0
LBY.3_1,LBY.8_1,1115.0,0
LBY.3_1,LBY.20_1,1531.0,0
LBY.3_1,LBY.22_1,72.0,0
LBY.3_1,LBY.10_1,192.0,0
LBY.3_1,LBY.19_1,70.0,0
LBY.3_1,LBY.18_1,62.0,0
LBY.3_1,LBY.21_1,34.0,0
LBY.3_1,LBY.5_1,21.0,0
LBY.3_1,LBY.14_1,15.0,0
LBY.3_1,LBY.16_1,39.0,0
LBY.3_1,LBY.12_1,259.0,0
LBY.3_1,LBY.7_1,37.0,0
LBY.3_1,LBY.9_1,58.0,0
LBY.3_1,LBY.2_1,50.0,0
LBY.3_1,LBY.13_1,38.0,0
LBY.3_1,LBY.1_1,44.0,0
LBY.3_1,LBY.6_1,14.0,0
LBY.4_1,LBY.11_1,8208.0,0
LBY.4_1,LBY.20_1,3882.0,0
LBY.4_1,LBY.8_1,321.0,0
LBY.4_1,LBY.10_1,135.0,0
LBY.4_1,LBY.15_1,178.0,0
LBY.4_1,LBY.3_1,118.0,0
LBY.4_1,LBY.17_1,33.0,0
LBY.4_1,LBY.19_1,29.0,0
LBY.4_1,LBY.22_1,29.0,0
LBY.4_1,LBY.18_1,23.0,0
LBY.4_1,LBY.5_1,13.0,0
LBY.4_1,LBY.21_1,16.0,0
LBY.4_1,LBY.12_1,115.0,0
LBY.4_1,LBY.14_1,2.0,0
LBY.4_1,LBY.7_1,23.0,0
LBY.4_1,LBY.2_1,28.0,0
LBY.4_1,LBY.9_1,13.0,0
LBY.4_1,LBY.13_1,19.0,0
LBY.4_1,LBY.16_1,12.0,0
LBY.4_1,LBY.1_1,16.0,0
LBY.4_1,LBY.6_1,10.0,0
LBY.5_1,LBY.18_1,2325.0,0
LBY.5_1,LBY.19_1,491.0,0
LBY.5_1,LBY.16_1,122.0,0
LBY.5_1,LBY.22_1,79.0,0
LBY.5_1,LBY.9_1,100.0,0
LBY.5_1,LBY.21_1,32.0,0
LBY.5_1,LBY.15_1,92.0,0
LBY.5_1,LBY.3_1,43.0,0
LBY.5_1,LBY.12_1,38.0,0
LBY.5_1,LBY.8_1,14.0,0
LBY.5_1,LBY.7_1,6.0,0
LBY.5_1,LBY.20_1,12.0,0
LBY.5_1,LBY.4_1,1.0,0
LBY.5_1,LBY.6_1,1.0,0
LBY.5_1,LBY.10_1,5.0,0
LBY.6_1,LBY.9_1,2432.0,0
LBY.6_1,LBY.16_1,151.0,0
LBY.6_1,LBY.5_1,67.0,0
LBY.6_1,LBY.1_1,133.0,0
LBY.6_1,LBY.18_1,44.0,0
LBY.6_1,LBY.19_1,45.0,0
LBY.6_1,LBY.12_1,94.0,0
LBY.6_1,LBY.13_1,7.0,0
LBY.6_1,LBY.7_1,8.0,0
LBY.6_1,LBY.2_1,9.0,0
LBY.6_1,LBY.21_1,4.0,0
LBY.6_1,LBY.22_1,3.0,0
LBY.6_1,LBY.15_1,14.0,0
LBY.6_1,LBY.3_1,5.0,0
LBY.6_1,LBY.8_1,5.0,0
LBY.6_1,LBY.20_1,10.0,0
LBY.6_1,LBY.4_1,2.0,0
LBY.6_1,LBY.11_1,2.0,0
LBY.6_1,LBY.10_1,2.0,0
LBY.7_1,LBY.2_1,5629.0,0
LBY.7_1,LBY.12_1,3651.0,0
LBY.7_1,LBY.13_1,228.0,0
LBY.7_1,LBY.1_1,223.0,0
LBY.7_1,LBY.9_1,204.0,0
LBY.7_1,LBY.19_1,131.0,0
LBY.7_1,LBY.5_1,45.0,0
LBY.7_1,LBY.15_1,255.0,0
LBY.7_1,LBY.8_1,146.0,0
LBY.7_1,LBY.20_1,253.0,0
LBY.7_1,LBY.4_1,26.0,0
LBY.7_1,LBY.3_1,36.0,0
LBY.7_1,LBY.18_1,15.0,0
LBY.7_1,LBY.11_1,39.0,0
LBY.7_1,LBY.10_1,26.0,0
LBY.7_1,LBY.6_1,4.0,0
LBY.7_1,LBY.22_1,5.0,0
LBY.7_1,LBY.16_1,8.0,0
LBY.7_1,LBY.17_1,8.0,0
LBY.7_1,LBY.21_1,3.0,0
LBY.7_1,LBY.14_1,1.0,0
LBY.8_1,LBY.20_1,19883.0,0
LBY.8_1,LBY.4_1,785.0,0
LBY.8_1,LBY.15_1,1191.0,0
LBY.8_1,LBY.11_1,580.0,0
LBY.8_1,LBY.10_1,431.0,0
LBY.8_1,LBY.3_1,339.0,0
LBY.8_1,LBY.19_1,129.0,0
LBY.8_1,LBY.17_1,93.0,0
LBY.8_1,LBY.22_1,67.0,0
LBY.8_1,LBY.5_1,27.0,0
LBY.8_1,LBY.18_1,101.0,0
LBY.8_1,LBY.12_1,466.0,0
LBY.8_1,LBY.21_1,47.0,0
