origin,destination,flow,time
LIE.1_1,LIE.9_1,249.0,0
LIE.1_1,LIE.10_1,59.0,0
LIE.1_1,LIE.11_1,67.0,0
LIE.1_1,LIE.7_1,33.0,0
LIE.1_1,LIE.5_1,2.0,0
LIE.1_1,LIE.2_1,14.0,0
LIE.1_1,LIE.4_1,7.0,0
LIE.1_1,LIE.3_1,2.0,0
LIE.1_1,LIE.6_1,4.0,0
LIE.2_1,LIE.3_1,140.0,0
LIE.2_1,LIE.4_1,149.0,0
LIE.2_1,LIE.5_1,13.0,0
LIE.2_1,LIE.8_1,18.0,0
LIE.2_1,LIE.6_1,21.0,0
LIE.2_1,LIE.7_1,30.0,0
LIE.2_1,LIE.11_1,23.0,0
LIE.2_1,LIE.10_1,7.0,0
LIE.2_1,LIE.1_1,9.0,0
LIE.2_1,LIE.9_1,5.0,0
LIE.3_1,LIE.2_1,132.0,0
LIE.3_1,LIE.4_1,29.0,0
LIE.3_1,LIE.8_1,4.0,0
LIE.3_1,LIE.6_1,6.0,0
LIE.3_1,LIE.5_1,1.0,0
LIE.3_1,LIE.7_1,6.0,0
LIE.3_1,LIE.11_1,4.0,0
LIE.3_1,LIE.10_1,2.0,0
LIE.3_1,LIE.1_1,1.0,0
LIE.4_1,LIE.2_1,252.0,0
LIE.4_1,LIE.8_1,34.0,0
LIE.4_1,LIE.3_1,35.0,0
LIE.4_1,LIE.5_1,15.0,0
LIE.4_1,LIE.6_1,36.0,0
LIE.4_1,LIE.7_1,42.0,0
LIE.4_1,LIE.11_1,29.0,0
LIE.4_1,LIE.10_1,7.0,0
LIE.4_1,LIE.1_1,12.0,0
LIE.4_1,LIE.9_1,12.0,0
LIE.5_1,LIE.7_1,66.0,0
LIE.5_1,LIE.2_1,3.0,0
LIE.5_1,LIE.4_1,1.0,0
LIE.5_1,LIE.3_1,1.0,0
LIE.5_1,LIE.9_1,1.0,0
LIE.6_1,LIE.8_1,81.0,0
LIE.6_1,LIE.3_1,60.0,0
LIE.6_1,LIE.4_1,50.0,0
LIE.6_1,LIE.2_1,16.0,0
LIE.6_1,LIE.7_1,11.0,0
LIE.6_1,LIE.11_1,4.0,0
LIE.6_1,LIE.10_1,1.0,0
LIE.6_1,LIE.1_1,2.0,0
LIE.6_1,LIE.9_1,1.0,0
LIE.7_1,LIE.11_1,307.0,0
LIE.7_1,LIE.5_1,30.0,0
LIE.7_1,LIE.10_1,84.0,0
LIE.7_1,LIE.1_1,61.0,0
LIE.7_1,LIE.2_1,50.0,0
LIE.7_1,LIE.4_1,31.0,0
LIE.7_1,LIE.9_1,24.0,0
LIE.7_1,LIE.3_1,4.0,0
LIE.7_1,LIE.8_1,4.0,0
LIE.7_1,LIE.6_1,14.0,0
LIE.8_1,LIE.6_1,78.0,0
LIE.8_1,LIE.4_1,25.0,0
LIE.8_1,LIE.3_1,5.0,0
LIE.8_1,LIE.2_1,2.0,0
LIE.8_1,LIE.7_1,2.0,0
LIE.8_1,LIE.11_1,1.0,0
LIE.8_1,LIE.10_1,1.0,0
LIE.8_1,LIE.9_1,1.0,0
LIE.9_1,LIE.1_1,262.0,0
LIE.9_1,LIE.10_1,82.0,0
LIE.9_1,LIE.11_1,76.0,0
LIE.9_1,LIE.7_1,27.0,0
LIE.9_1,LIE.5_1,2.0,0
LIE.9_1,LIE.2_1,15.0,0
LIE.9_1,LIE.4_1,10.0,0
LIE.9_1,LIE.3_1,2.0,0
LIE.9_1,LIE.8_1,2.0,0
LIE.9_1,LIE.6_1,3.0,0
LIE.10_1,LIE.11_1,236.0,0
LIE.10_1,LIE.1_1,40.0,0
LIE.10_1,LIE.7_1,23.0,0
LIE.10_1,LIE.9_1,10.0,0
LIE.10_1,LIE.5_1,1.0,0
LIE.10_1,LIE.2_1,7.0,0
LIE.10_1,LIE.4_1,1.0,0
LIE.10_1,LIE.3_1,2.0,0
LIE.10_1,LIE.8_1,3.0,0
LIE.10_1,LIE.6_1,3.0,0
LIE.11_1,LIE.7_1,328.0,0
LIE.11_1,LIE.10_1,65.0,0
LIE.11_1,LIE.5_1,13.0,0
LIE.11_1,LIE.1_1,49.0,0
LIE.11_1,LIE.9_1,34.0,0
LIE.11_1,LIE.2_1,14.0,0
LIE.11_1,LIE.4_1,14.0,0
LIE.11_1,LIE.3_1,4.0,0
LIE.11_1,LIE.8_1,1.0,0
LIE.11_1,LIE.6_1,7.0,0
LIE.1_1,LIE.1_1,3940.356465911862,0
LIE.2_1,LIE.2_1,3740.3817626953087,0
LIE.3_1,LIE.3_1,1670.3325302124058,0
LIE.4_1,LIE.4_1,4270.058926391601,0
LIE.5_1,LIE.5_1,648.9274005889893,0
LIE.6_1,LIE.6_1,2039.8742248535193,0
LIE.7_1,LIE.7_1,5489.527484893796,0
LIE.8_1,LIE.8_1,1038.543434143065,0
LIE.9_1,LIE.9_1,4331.854515838626,0
LIE.10_1,LIE.10_1,2941.2866065978983,0
LIE.11_1,LIE.11_1,4763.737380981447,0
