origin,destination,flow,time
LKA.1.9_1,LKA.1.13_1,205.0,0
LKA.1.9_1,LKA.1.16_1,240.0,0
LKA.1.9_1,LKA.1.17_1,36.0,0
LKA.1.9_1,LKA.1.8_1,3.0,0
LKA.1.9_1,LKA.1.12_1,5.0,0
LKA.1.9_1,LKA.1.1_1,9.0,0
LKA.1.9_1,LKA.1.7_1,2.0,0
LKA.1.9_1,LKA.1.2_1,12.0,0
LKA.1.9_1,LKA.4.10_1,9.0,0
LKA.1.9_1,LKA.4.12_1,5.0,0
LKA.1.9_1,LKA.1.3_1,2.0,0
LKA.1.9_1,LKA.1.4_1,3.0,0
LKA.1.9_1,LKA.1.19_1,3.0,0
LKA.1.9_1,LKA.4.8_1,2.0,0
LKA.1.9_1,LKA.1.18_1,2.0,0
LKA.1.9_1,LKA.1.5_1,1.0,0
LKA.1.9_1,LKA.4.3_1,1.0,0
LKA.1.9_1,LKA.4.11_1,1.0,0
LKA.1.9_1,LKA.4.7_1,2.0,0
LKA.1.9_1,LKA.4.2_1,2.0,0
LKA.1.9_1,LKA.1.15_1,1.0,0
LKA.1.9_1,LKA.18.5_1,1.0,0
LKA.1.9_1,LKA.1.14_1,1.0,0
LKA.1.9_1,LKA.4.4_1,1.0,0
LKA.1.9_1,LKA.3.9_1,2.0,0
LKA.1.9_1,LKA.3.11_1,2.0,0
LKA.1.9_1,LKA.21.1_1,1.0,0
LKA.1.9_1,LKA.21.7_1,1.0,0
LKA.1.9_1,LKA.3.4_1,1.0,0
LKA.1.9_1,LKA.24.8_1,1.0,0
LKA.1.9_1,LKA.8.6_1,1.0,0
LKA.1.9_1,LKA.20.1_1,1.0,0
LKA.1.10_1,LKA.18.9_1,200.0,0
LKA.1.10_1,LKA.1.15_1,6.0,0
LKA.1.10_1,LKA.1.18_1,1.0,0
LKA.1.10_1,LKA.18.7_1,10.0,0
LKA.1.10_1,LKA.1.5_1,3.0,0
LKA.1.10_1,LKA.1.3_1,2.0,0
LKA.1.10_1,LKA.18.4_1,1.0,0
LKA.1.10_1,LKA.18.3_1,1.0,0
LKA.1.10_1,LKA.1.2_1,1.0,0
LKA.1.10_1,LKA.18.5_1,1.0,0
LKA.1.10_1,LKA.8.10_1,1.0,0
LKA.1.10_1,LKA.18.1_1,1.0,0
LKA.1.10_1,LKA.18.2_1,1.0,0
LKA.1.10_1,LKA.3.1_1,1.0,0
LKA.1.10_1,LKA.3.4_1,1.0,0
LKA.1.4_1,LKA.1.5_1,412.0,0
LKA.1.4_1,LKA.1.7_1,57.0,0
LKA.1.4_1,LKA.1.19_1,170.0,0
LKA.1.4_1,LKA.1.2_1,63.0,0
LKA.1.4_1,LKA.1.17_1,54.0,0
LKA.1.4_1,LKA.1.3_1,16.0,0
LKA.1.4_1,LKA.1.1_1,10.0,0
LKA.1.4_1,LKA.18.5_1,6.0,0
LKA.1.4_1,LKA.1.12_1,5.0,0
