origin,destination,flow,time
LSO.1_1,LSO.3_1,1969.0,0
LSO.1_1,LSO.5_1,886.0,0
LSO.1_1,LSO.2_1,91.0,0
LSO.1_1,LSO.4_1,136.0,0
LSO.1_1,LSO.10_1,64.0,0
LSO.1_1,LSO.6_1,94.0,0
LSO.1_1,LSO.7_1,49.0,0
LSO.1_1,LSO.8_1,31.0,0
LSO.1_1,LSO.9_1,42.0,0
LSO.2_1,LSO.3_1,956.0,0
LSO.2_1,LSO.7_1,91.0,0
LSO.2_1,LSO.1_1,109.0,0
LSO.2_1,LSO.10_1,24.0,0
LSO.2_1,LSO.5_1,55.0,0
LSO.2_1,LSO.8_1,6.0,0
LSO.2_1,LSO.4_1,10.0,0
LSO.2_1,LSO.6_1,7.0,0
LSO.2_1,LSO.9_1,7.0,0
LSO.3_1,LSO.2_1,1043.0,0
LSO.3_1,LSO.1_1,1198.0,0
LSO.3_1,LSO.10_1,288.0,0
LSO.3_1,LSO.5_1,446.0,0
LSO.3_1,LSO.7_1,73.0,0
LSO.3_1,LSO.4_1,95.0,0
LSO.3_1,LSO.8_1,35.0,0
LSO.3_1,LSO.6_1,65.0,0
LSO.3_1,LSO.9_1,38.0,0
LSO.4_1,LSO.5_1,1657.0,0
LSO.4_1,LSO.6_1,140.0,0
LSO.4_1,LSO.1_1,133.0,0
LSO.4_1,LSO.9_1,51.0,0
LSO.4_1,LSO.10_1,31.0,0
LSO.4_1,LSO.3_1,47.0,0
LSO.4_1,LSO.8_1,5.0,0
LSO.4_1,LSO.2_1,8.0,0
LSO.4_1,LSO.7_1,13.0,0
LSO.5_1,LSO.4_1,1931.0,0
LSO.5_1,LSO.1_1,1586.0,0
LSO.5_1,LSO.6_1,507.0,0
LSO.5_1,LSO.3_1,621.0,0
LSO.5_1,LSO.10_1,224.0,0
LSO.5_1,LSO.9_1,164.0,0
LSO.5_1,LSO.8_1,85.0,0
LSO.5_1,LSO.2_1,115.0,0
LSO.5_1,LSO.7_1,115.0,0
LSO.6_1,LSO.9_1,877.0,0
LSO.6_1,LSO.4_1,454.0,0
LSO.6_1,LSO.5_1,365.0,0
LSO.6_1,LSO.8_1,24.0,0
LSO.6_1,LSO.10_1,37.0,0
LSO.6_1,LSO.1_1,63.0,0
LSO.6_1,LSO.3_1,40.0,0
LSO.6_1,LSO.7_1,7.0,0
LSO.6_1,LSO.2_1,5.0,0
LSO.7_1,LSO.10_1,754.0,0
LSO.7_1,LSO.2_1,196.0,0
LSO.7_1,LSO.3_1,191.0,0
LSO.7_1,LSO.8_1,27.0,0
LSO.7_1,LSO.1_1,87.0,0
LSO.7_1,LSO.5_1,59.0,0
LSO.7_1,LSO.6_1,15.0,0
LSO.7_1,LSO.4_1,10.0,0
LSO.7_1,LSO.9_1,10.0,0
LSO.8_1,LSO.10_1,557.0,0
LSO.8_1,LSO.9_1,122.0,0
LSO.8_1,LSO.7_1,41.0,0
LSO.8_1,LSO.6_1,36.0,0
LSO.8_1,LSO.5_1,42.0,0
LSO.8_1,LSO.3_1,7.0,0
LSO.8_1,LSO.1_1,6.0,0
LSO.8_1,LSO.4_1,4.0,0
LSO.9_1,LSO.6_1,856.0,0
LSO.9_1,LSO.4_1,255.0,0
LSO.9_1,LSO.8_1,60.0,0
LSO.9_1,LSO.5_1,159.0,0
LSO.9_1,LSO.10_1,30.0,0
LSO.9_1,LSO.1_1,31.0,0
LSO.9_1,LSO.3_1,15.0,0
LSO.9_1,LSO.7_1,10.0,0
LSO.9_1,LSO.2_1,3.0,0
LSO.10_1,LSO.8_1,552.0,0
LSO.10_1,LSO.7_1,373.0,0
LSO.10_1,LSO.3_1,323.0,0
LSO.10_1,LSO.5_1,178.0,0
LSO.10_1,LSO.1_1,45.0,0
LSO.10_1,LSO.2_1,6.0,0
LSO.10_1,LSO.6_1,12.0,0
LSO.10_1,LSO.9_1,7.0,0
LSO.10_1,LSO.4_1,8.0,0
LSO.1_1,LSO.1_1,332935.16560088395,0
LSO.2_1,LSO.2_1,125296.68218822469,0
LSO.3_1,LSO.3_1,324855.35902192426,0
LSO.4_1,LSO.4_1,206507.98993469536,0
LSO.5_1,LSO.5_1,529508.1994760062,0
LSO.6_1,LSO.6_1,185359.7571864776,0
LSO.7_1,LSO.7_1,133617.57600774628,0
LSO.8_1,LSO.8_1,80770.57983266599,0
LSO.9_1,LSO.9_1,140513.53631560048,0
LSO.10_1,LSO.10_1,148948.3483940628,0
