origin,destination,flow,time
LTU.2.1_1,LTU.2.6_1,21.0,0
LTU.2.1_1,LTU.1.1_1,1.0,0
LTU.2.1_1,LTU.2.3_1,1.0,0
LTU.2.2_1,LTU.2.3_1,925.0,0
LTU.2.2_1,LTU.10.5_1,367.0,0
LTU.2.2_1,LTU.2.5_1,262.0,0
LTU.2.2_1,LTU.2.4_1,419.0,0
LTU.2.2_1,LTU.10.2_1,7.0,0
LTU.2.2_1,LTU.2.6_1,3.0,0
LTU.2.2_1,LTU.5.3_1,23.0,0
LTU.2.2_1,LTU.10.4_1,22.0,0
LTU.2.2_1,LTU.9.1_1,7.0,0
LTU.2.2_1,LTU.9.3_1,1.0,0
LTU.2.2_1,LTU.2.7_1,6.0,0
LTU.2.2_1,LTU.6.5_1,1.0,0
LTU.2.2_1,LTU.4.2_1,2.0,0
LTU.2.2_1,LTU.10.6_1,48.0,0
LTU.2.2_1,LTU.1.1_1,7.0,0
LTU.2.2_1,LTU.4.1_1,2.0,0
LTU.2.2_1,LTU.7.1_1,2.0,0
LTU.2.2_1,LTU.9.4_1,2.0,0
LTU.2.2_1,LTU.10.1_1,1.0,0
LTU.2.2_1,LTU.10.3_1,1.0,0
LTU.2.2_1,LTU.1.3_1,1.0,0
LTU.2.2_1,LTU.6.6_1,2.0,0
LTU.2.2_1,LTU.7.2_1,1.0,0
LTU.2.2_1,LTU.8.1_1,1.0,0
LTU.2.2_1,LTU.3.1_1,1.0,0
LTU.1.1_1,LTU.2.1_1,28.0,0
LTU.1.1_1,LTU.2.6_1,1083.0,0
LTU.1.1_1,LTU.1.3_1,611.0,0
LTU.1.1_1,LTU.1.4_1,389.0,0
LTU.1.1_1,LTU.1.2_1,13.0,0
LTU.1.1_1,LTU.4.1_1,578.0,0
LTU.1.1_1,LTU.10.4_1,351.0,0
LTU.1.1_1,LTU.2.3_1,87.0,0
LTU.1.1_1,LTU.2.4_1,394.0,0
LTU.1.1_1,LTU.4.3_1,23.0,0
LTU.1.1_1,LTU.10.1_1,17.0,0
LTU.1.1_1,LTU.2.2_1,16.0,0
LTU.1.1_1,LTU.4.2_1,11.0,0
LTU.1.1_1,LTU.10.2_1,4.0,0
LTU.1.1_1,LTU.10.6_1,157.0,0
LTU.1.1_1,LTU.2.5_1,12.0,0
LTU.1.1_1,LTU.10.5_1,4.0,0
LTU.1.1_1,LTU.7.1_1,2.0,0
LTU.1.1_1,LTU.2.7_1,2.0,0
LTU.1.1_1,LTU.9.3_1,1.0,0
LTU.1.1_1,LTU.5.3_1,12.0,0
LTU.1.1_1,LTU.9.1_1,3.0,0
LTU.1.1_1,LTU.6.5_1,2.0,0
LTU.1.1_1,LTU.7.3_1,4.0,0
LTU.1.1_1,LTU.6.3_1,3.0,0
LTU.1.1_1,LTU.9.4_1,3.0,0
LTU.1.1_1,LTU.7.2_1,2.0,0
LTU.1.1_1,LTU.3.5_1,4.0,0
LTU.1.1_1,LTU.9.2_1,2.0,0
LTU.1.1_1,LTU.6.4_1,1.0,0
LTU.1.1_1,LTU.6.6_1,8.0,0
LTU.1.1_1,LTU.9.5_1,2.0,0
LTU.1.1_1,LTU.5.5_1,2.0,0
LTU.1.1_1,LTU.6.2_1,2.0,0
LTU.1.1_1,LTU.8.2_1,2.0,0
LTU.1.1_1,LTU.3.1_1,7.0,0
LTU.1.1_1,LTU.8.1_1,2.0,0
LTU.1.1_1,LTU.3.6_1,1.0,0
LTU.1.1_1,LTU.3.4_1,1.0,0
LTU.1.2_1,LTU.1.3_1,40.0,0
LTU.1.2_1,LTU.1.4_1,1.0,0
LTU.1.3_1,LTU.1.2_1,45.0,0
LTU.1.3_1,LTU.1.1_1,1063.0,0
LTU.1.3_1,LTU.4.1_1,158.0,0
LTU.1.3_1,LTU.1.4_1,32.0,0
LTU.1.3_1,LTU.2.1_1,1.0,0
LTU.1.3_1,LTU.2.6_1,26.0,0
LTU.1.3_1,LTU.4.3_1,24.0,0
LTU.1.3_1,LTU.10.4_1,33.0,0
LTU.1.3_1,LTU.2.3_1,7.0,0
LTU.1.3_1,LTU.2.4_1,40.0,0
LTU.1.3_1,LTU.10.1_1,1.0,0
LTU.1.3_1,LTU.2.2_1,2.0,0
LTU.1.3_1,LTU.7.1_1,1.0,0
LTU.1.3_1,LTU.10.2_1,1.0,0
LTU.1.3_1,LTU.10.6_1,13.0,0
LTU.1.3_1,LTU.2.5_1,3.0,0
LTU.1.3_1,LTU.10.5_1,2.0,0
LTU.1.3_1,LTU.7.3_1,2.0,0
LTU.1.3_1,LTU.6.5_1,1.0,0
LTU.1.3_1,LTU.5.3_1,1.0,0
LTU.1.3_1,LTU.9.4_1,1.0,0
LTU.1.4_1,LTU.1.2_1,40.0,0
LTU.1.4_1,LTU.1.1_1,1064.0,0
LTU.1.4_1,LTU.1.3_1,92.0,0
LTU.1.4_1,LTU.10.4_1,126.0,0
LTU.1.4_1,LTU.10.1_1,32.0,0
LTU.1.4_1,LTU.2.6_1,14.0,0
LTU.1.4_1,LTU.2.3_1,19.0,0
LTU.1.4_1,LTU.4.1_1,32.0,0
LTU.1.4_1,LTU.10.6_1,79.0,0
LTU.1.4_1,LTU.2.4_1,11.0,0
LTU.1.4_1,LTU.2.2_1,2.0,0
LTU.1.4_1,LTU.4.3_1,1.0,0
LTU.1.4_1,LTU.4.2_1,1.0,0
LTU.1.4_1,LTU.7.1_1,1.0,0
LTU.1.4_1,LTU.2.7_1,1.0,0
LTU.1.4_1,LTU.9.2_1,1.0,0
LTU.1.4_1,LTU.7.3_1,1.0,0
LTU.1.4_1,LTU.9.5_1,1.0,0
LTU.1.4_1,LTU.3.5_1,1.0,0
LTU.1.4_1,LTU.6.6_1,5.0,0
LTU.1.4_1,LTU.8.3_1,2.0,0
LTU.1.4_1,LTU.3.1_1,2.0,0
LTU.2.3_1,LTU.2.2_1,946.0,0
LTU.2.3_1,LTU.10.4_1,390.0,0
LTU.2.3_1,LTU.2.6_1,43.0,0
LTU.2.3_1,LTU.10.2_1,19.0,0
LTU.2.3_1,LTU.2.4_1,135.0,0
LTU.2.3_1,LTU.10.5_1,3.0,0
LTU.2.3_1,LTU.1.1_1,7.0,0
LTU.2.3_1,LTU.10.6_1,44.0,0
LTU.2.3_1,LTU.4.1_1,2.0,0
LTU.2.3_1,LTU.1.4_1,3.0,0
LTU.2.3_1,LTU.10.1_1,1.0,0
