origin,destination,flow,time
LUX.1.1_1,LUX.1.5_1,908.0,0
LUX.1.1_1,LUX.1.4_1,132.0,0
LUX.1.1_1,LUX.1.2_1,356.0,0
LUX.1.1_1,LUX.1.3_1,101.0,0
LUX.1.1_1,LUX.3.4_1,83.0,0
LUX.1.1_1,LUX.2.1_1,34.0,0
LUX.1.1_1,LUX.3.1_1,67.0,0
LUX.1.1_1,LUX.2.2_1,21.0,0
LUX.1.1_1,LUX.3.3_1,74.0,0
LUX.1.1_1,LUX.3.2_1,26.0,0
LUX.1.1_1,LUX.2.3_1,1.0,0
LUX.1.2_1,LUX.1.4_1,481.0,0
LUX.1.2_1,LUX.3.4_1,1401.0,0
LUX.1.2_1,LUX.1.5_1,294.0,0
LUX.1.2_1,LUX.1.3_1,264.0,0
LUX.1.2_1,LUX.2.1_1,181.0,0
LUX.1.2_1,LUX.1.1_1,117.0,0
LUX.1.2_1,LUX.2.2_1,153.0,0
LUX.1.2_1,LUX.3.3_1,324.0,0
LUX.1.2_1,LUX.3.1_1,25.0,0
LUX.1.2_1,LUX.2.3_1,12.0,0
LUX.1.2_1,LUX.3.2_1,81.0,0
LUX.1.3_1,LUX.1.5_1,919.0,0
LUX.1.3_1,LUX.3.4_1,521.0,0
LUX.1.3_1,LUX.3.1_1,235.0,0
LUX.1.3_1,LUX.1.2_1,54.0,0
LUX.1.3_1,LUX.1.4_1,6.0,0
LUX.1.3_1,LUX.3.3_1,158.0,0
LUX.1.3_1,LUX.1.1_1,7.0,0
LUX.1.3_1,LUX.3.2_1,41.0,0
LUX.1.3_1,LUX.2.1_1,1.0,0
LUX.1.3_1,LUX.2.2_1,2.0,0
LUX.1.3_1,LUX.2.3_1,3.0,0
LUX.1.4_1,LUX.1.2_1,471.0,0
LUX.1.4_1,LUX.1.5_1,16.0,0
LUX.1.4_1,LUX.1.1_1,18.0,0
LUX.1.4_1,LUX.3.4_1,11.0,0
LUX.1.4_1,LUX.2.1_1,2.0,0
LUX.1.4_1,LUX.1.3_1,5.0,0
LUX.1.4_1,LUX.2.2_1,4.0,0
LUX.1.4_1,LUX.3.3_1,7.0,0
LUX.1.4_1,LUX.3.1_1,1.0,0
LUX.1.4_1,LUX.3.2_1,1.0,0
LUX.1.5_1,LUX.1.3_1,922.0,0
LUX.1.5_1,LUX.1.1_1,285.0,0
LUX.1.5_1,LUX.1.2_1,197.0,0
LUX.1.5_1,LUX.1.4_1,24.0,0
LUX.1.5_1,LUX.3.4_1,80.0,0
LUX.1.5_1,LUX.3.1_1,49.0,0
LUX.1.5_1,LUX.2.1_1,16.0,0
LUX.1.5_1,LUX.3.3_1,81.0,0
LUX.1.5_1,LUX.2.2_1,8.0,0
LUX.1.5_1,LUX.3.2_1,12.0,0
LUX.1.5_1,LUX.2.3_1,2.0,0
LUX.2.1_1,LUX.2.2_1,1179.0,0
LUX.2.1_1,LUX.3.4_1,295.0,0
LUX.2.1_1,LUX.1.2_1,138.0,0
LUX.2.1_1,LUX.1.4_1,15.0,0
LUX.2.1_1,LUX.3.3_1,192.0,0
LUX.2.1_1,LUX.2.3_1,8.0,0
LUX.2.1_1,LUX.3.1_1,14.0,0
LUX.2.1_1,LUX.1.3_1,2.0,0
LUX.2.1_1,LUX.1.5_1,4.0,0
LUX.2.1_1,LUX.3.2_1,36.0,0
LUX.2.1_1,LUX.1.1_1,3.0,0
LUX.2.2_1,LUX.2.1_1,1212.0,0
LUX.2.2_1,LUX.3.3_1,1631.0,0
LUX.2.2_1,LUX.2.3_1,32.0,0
LUX.2.2_1,LUX.3.4_1,44.0,0
LUX.2.2_1,LUX.1.2_1,36.0,0
LUX.2.2_1,LUX.3.1_1,40.0,0
LUX.2.2_1,LUX.3.2_1,84.0,0
LUX.2.2_1,LUX.1.4_1,2.0,0
LUX.2.2_1,LUX.1.3_1,7.0,0
LUX.2.2_1,LUX.1.5_1,7.0,0
LUX.2.2_1,LUX.1.1_1,6.0,0
LUX.2.3_1,LUX.3.3_1,2186.0,0
LUX.2.3_1,LUX.2.2_1,33.0,0
LUX.2.3_1,LUX.3.2_1,94.0,0
LUX.2.3_1,LUX.2.1_1,6.0,0
LUX.2.3_1,LUX.3.1_1,12.0,0
LUX.2.3_1,LUX.3.4_1,6.0,0
LUX.2.3_1,LUX.1.2_1,3.0,0
LUX.2.3_1,LUX.1.3_1,7.0,0
LUX.2.3_1,LUX.1.4_1,2.0,0
LUX.2.3_1,LUX.1.5_1,3.0,0
LUX.2.3_1,LUX.1.1_1,2.0,0
LUX.3.1_1,LUX.3.2_1,3916.0,0
LUX.3.1_1,LUX.3.3_1,527.0,0
LUX.3.1_1,LUX.3.4_1,46.0,0
LUX.3.1_1,LUX.1.3_1,15.0,0
LUX.3.1_1,LUX.2.3_1,28.0,0
LUX.3.1_1,LUX.1.2_1,23.0,0
LUX.3.1_1,LUX.2.2_1,29.0,0
LUX.3.1_1,LUX.1.5_1,13.0,0
LUX.3.1_1,LUX.2.1_1,14.0,0
LUX.3.1_1,LUX.1.4_1,3.0,0
LUX.3.1_1,LUX.1.1_1,11.0,0
LUX.3.2_1,LUX.3.1_1,5004.0,0
LUX.3.2_1,LUX.3.3_1,8574.0,0
LUX.3.2_1,LUX.2.3_1,560.0,0
LUX.3.2_1,LUX.3.4_1,640.0,0
LUX.3.2_1,LUX.2.2_1,595.0,0
LUX.3.2_1,LUX.1.3_1,344.0,0
LUX.3.2_1,LUX.2.1_1,282.0,0
LUX.3.2_1,LUX.1.2_1,433.0,0
LUX.3.2_1,LUX.1.4_1,78.0,0
LUX.3.2_1,LUX.1.5_1,210.0,0
LUX.3.2_1,LUX.1.1_1,213.0,0
LUX.3.3_1,LUX.2.3_1,3027.0,0
LUX.3.3_1,LUX.3.2_1,10467.0,0
LUX.3.3_1,LUX.3.1_1,1483.0,0
LUX.3.3_1,LUX.2.2_1,820.0,0
LUX.3.3_1,LUX.3.4_1,718.0,0
LUX.3.3_1,LUX.2.1_1,392.0,0
LUX.3.3_1,LUX.1.2_1,644.0,0
LUX.3.3_1,LUX.1.3_1,319.0,0
LUX.3.3_1,LUX.1.4_1,82.0,0
LUX.3.3_1,LUX.1.5_1,268.0,0
