origin,destination,flow,time
LVA.1_1,LVA.3_1,11481.0,0
LVA.1_1,LVA.5_1,498.0,0
LVA.1_1,LVA.4_1,314.0,0
LVA.1_1,LVA.2_1,356.0,0
LVA.2_1,LVA.4_1,6964.0,0
LVA.2_1,LVA.5_1,3349.0,0
LVA.2_1,LVA.3_1,3634.0,0
LVA.2_1,LVA.1_1,384.0,0
LVA.3_1,LVA.5_1,18747.0,0
LVA.3_1,LVA.4_1,10362.0,0
LVA.3_1,LVA.1_1,9589.0,0
LVA.3_1,LVA.2_1,7839.0,0
LVA.4_1,LVA.3_1,9212.0,0
LVA.4_1,LVA.5_1,335.0,0
LVA.4_1,LVA.2_1,278.0,0
LVA.4_1,LVA.1_1,179.0,0
LVA.5_1,LVA.3_1,10874.0,0
LVA.5_1,LVA.4_1,437.0,0
LVA.5_1,LVA.2_1,460.0,0
LVA.5_1,LVA.1_1,254.0,0
LVA.1_1,LVA.1_1,240348.93676041227,0
LVA.2_1,LVA.2_1,272294.27774685284,0
LVA.3_1,LVA.3_1,884221.3152258991,0
LVA.4_1,LVA.4_1,190089.56330606787,0
LVA.5_1,LVA.5_1,228488.0718914397,0
