origin,destination,flow,time
MAC.1.2_1,MAC.1.1_1,419.0,0
MAC.1.2_1,MAC.1.3_1,989.0,0
MAC.1.2_1,MAC.2.5_1,11309.0,0
MAC.1.2_1,MAC.2.3_1,2673.0,0
MAC.1.2_1,MAC.2.2_1,3887.0,0
MAC.1.2_1,MAC.2.1_1,2511.0,0
MAC.1.3_1,MAC.1.1_1,224.0,0
MAC.1.3_1,MAC.1.2_1,610.0,0
MAC.1.3_1,MAC.2.5_1,14.0,0
MAC.1.3_1,MAC.2.3_1,2.0,0
MAC.1.3_1,MAC.2.2_1,5.0,0
MAC.1.3_1,MAC.2.1_1,2.0,0
MAC.2.1_1,MAC.2.3_1,11651.0,0
MAC.2.1_1,MAC.2.2_1,15789.0,0
MAC.2.1_1,MAC.2.5_1,5657.0,0
MAC.2.1_1,MAC.1.2_1,4487.0,0
MAC.2.1_1,MAC.1.1_1,52.0,0
MAC.2.1_1,MAC.1.3_1,141.0,0
MAC.2.2_1,MAC.2.3_1,9035.0,0
MAC.2.2_1,MAC.2.5_1,7935.0,0
MAC.2.2_1,MAC.2.1_1,6521.0,0
MAC.2.2_1,MAC.1.2_1,1746.0,0
MAC.2.2_1,MAC.1.1_1,29.0,0
MAC.2.2_1,MAC.1.3_1,54.0,0
MAC.2.3_1,MAC.2.2_1,7756.0,0
MAC.2.3_1,MAC.2.5_1,1033.0,0
MAC.2.3_1,MAC.2.1_1,792.0,0
MAC.2.3_1,MAC.1.2_1,221.0,0
MAC.2.3_1,MAC.1.1_1,1.0,0
MAC.2.3_1,MAC.1.3_1,3.0,0
MAC.2.5_1,MAC.2.3_1,7417.0,0
MAC.2.5_1,MAC.2.2_1,6597.0,0
MAC.2.5_1,MAC.2.1_1,2989.0,0
MAC.2.5_1,MAC.1.2_1,802.0,0
MAC.2.5_1,MAC.1.1_1,9.0,0
MAC.2.5_1,MAC.1.3_1,27.0,0
MAC.1.1_1,MAC.1.2_1,331.0,0
MAC.1.1_1,MAC.2.5_1,4.0,0
MAC.1.1_1,MAC.2.2_1,1.0,0
MAC.1.1_1,MAC.2.1_1,1.0,0
MAC.1.2_1,MAC.1.2_1,87153.783572388,0
MAC.1.3_1,MAC.1.3_1,3431.214013671872,0
MAC.2.1_1,MAC.2.1_1,151109.3507812496,0
MAC.2.2_1,MAC.2.2_1,101280.6625,0
MAC.2.3_1,MAC.2.3_1,39224.025,0
MAC.2.4_1,MAC.2.4_1,,0
MAC.2.5_1,MAC.2.5_1,71365.39414062495,0
MAC.1.1_1,MAC.1.1_1,1351.9999755859362,0
