origin,destination,flow,time
MKD.1_1,MKD.34_1,6001.0,0
MKD.1_1,MKD.12_1,447.0,0
MKD.1_1,MKD.10_1,193.0,0
MKD.1_1,MKD.23_1,1851.0,0
MKD.1_1,MKD.31_1,438.0,0
MKD.1_1,MKD.28_1,68.0,0
MKD.1_1,MKD.2_1,47.0,0
MKD.1_1,MKD.71_1,27.0,0
MKD.1_1,MKD.9_1,158.0,0
MKD.1_1,MKD.70_1,56.0,0
MKD.1_1,MKD.83_1,11.0,0
MKD.1_1,MKD.64_1,221.0,0
MKD.1_1,MKD.55_1,14.0,0
MKD.1_1,MKD.25_1,31.0,0
MKD.1_1,MKD.63_1,27.0,0
MKD.1_1,MKD.15_1,7.0,0
MKD.1_1,MKD.43_1,13.0,0
MKD.1_1,MKD.41_1,41.0,0
MKD.1_1,MKD.84_1,8.0,0
MKD.1_1,MKD.77_1,13.0,0
MKD.1_1,MKD.29_1,2.0,0
MKD.1_1,MKD.8_1,8.0,0
MKD.1_1,MKD.72_1,4.0,0
MKD.1_1,MKD.73_1,8.0,0
MKD.1_1,MKD.11_1,2.0,0
MKD.1_1,MKD.46_1,3.0,0
MKD.1_1,MKD.66_1,2.0,0
MKD.1_1,MKD.74_1,15.0,0
MKD.1_1,MKD.6_1,5.0,0
MKD.1_1,MKD.27_1,1.0,0
MKD.1_1,MKD.81_1,5.0,0
MKD.1_1,MKD.26_1,10.0,0
MKD.1_1,MKD.53_1,3.0,0
MKD.1_1,MKD.58_1,4.0,0
MKD.1_1,MKD.60_1,1.0,0
MKD.1_1,MKD.82_1,7.0,0
MKD.1_1,MKD.67_1,4.0,0
MKD.1_1,MKD.80_1,1.0,0
MKD.1_1,MKD.14_1,2.0,0
MKD.1_1,MKD.33_1,2.0,0
MKD.1_1,MKD.49_1,1.0,0
MKD.1_1,MKD.38_1,3.0,0
MKD.1_1,MKD.35_1,2.0,0
MKD.1_1,MKD.57_1,6.0,0
MKD.1_1,MKD.85_1,1.0,0
MKD.1_1,MKD.32_1,3.0,0
MKD.1_1,MKD.20_1,1.0,0
MKD.1_1,MKD.59_1,3.0,0
MKD.1_1,MKD.16_1,3.0,0
MKD.1_1,MKD.18_1,1.0,0
MKD.1_1,MKD.68_1,3.0,0
MKD.1_1,MKD.4_1,5.0,0
MKD.1_1,MKD.52_1,2.0,0
MKD.1_1,MKD.78_1,1.0,0
MKD.1_1,MKD.24_1,1.0,0
MKD.1_1,MKD.69_1,5.0,0
MKD.1_1,MKD.61_1,1.0,0
MKD.2_1,MKD.23_1,5673.0,0
MKD.2_1,MKD.28_1,137.0,0
MKD.2_1,MKD.1_1,126.0,0
MKD.2_1,MKD.9_1,200.0,0
MKD.2_1,MKD.10_1,14.0,0
MKD.2_1,MKD.34_1,74.0,0
MKD.2_1,MKD.71_1,12.0,0
MKD.2_1,MKD.12_1,14.0,0
MKD.2_1,MKD.43_1,47.0,0
MKD.2_1,MKD.31_1,58.0,0
MKD.2_1,MKD.41_1,63.0,0
MKD.2_1,MKD.55_1,5.0,0
MKD.2_1,MKD.15_1,9.0,0
MKD.2_1,MKD.25_1,20.0,0
MKD.2_1,MKD.70_1,7.0,0
MKD.2_1,MKD.63_1,14.0,0
MKD.2_1,MKD.64_1,42.0,0
MKD.2_1,MKD.66_1,1.0,0
MKD.2_1,MKD.77_1,4.0,0
MKD.2_1,MKD.72_1,5.0,0
MKD.2_1,MKD.29_1,1.0,0
MKD.2_1,MKD.84_1,6.0,0
MKD.2_1,MKD.44_1,1.0,0
MKD.2_1,MKD.73_1,3.0,0
MKD.2_1,MKD.58_1,1.0,0
MKD.2_1,MKD.46_1,1.0,0
MKD.2_1,MKD.27_1,1.0,0
MKD.2_1,MKD.74_1,3.0,0
MKD.2_1,MKD.67_1,3.0,0
MKD.2_1,MKD.81_1,1.0,0
MKD.2_1,MKD.38_1,1.0,0
MKD.2_1,MKD.26_1,5.0,0
MKD.2_1,MKD.21_1,2.0,0
MKD.2_1,MKD.35_1,2.0,0
MKD.2_1,MKD.33_1,2.0,0
MKD.2_1,MKD.45_1,1.0,0
MKD.2_1,MKD.57_1,2.0,0
MKD.2_1,MKD.47_1,1.0,0
MKD.2_1,MKD.59_1,3.0,0
MKD.2_1,MKD.32_1,1.0,0
MKD.2_1,MKD.18_1,1.0,0
MKD.2_1,MKD.69_1,3.0,0
MKD.2_1,MKD.4_1,2.0,0
MKD.2_1,MKD.68_1,1.0,0
MKD.2_1,MKD.7_1,1.0,0
MKD.2_1,MKD.52_1,6.0,0
MKD.2_1,MKD.78_1,1.0,0
MKD.3_1,MKD.54_1,1791.0,0
MKD.3_1,MKD.76_1,2059.0,0
MKD.3_1,MKD.7_1,807.0,0
MKD.3_1,MKD.59_1,670.0,0
MKD.3_1,MKD.51_1,133.0,0
MKD.3_1,MKD.79_1,176.0,0
MKD.3_1,MKD.18_1,116.0,0
MKD.3_1,MKD.69_1,229.0,0
MKD.3_1,MKD.85_1,6.0,0
MKD.3_1,MKD.36_1,16.0,0
MKD.3_1,MKD.75_1,32.0,0
MKD.3_1,MKD.30_1,12.0,0
MKD.3_1,MKD.65_1,8.0,0
MKD.3_1,MKD.14_1,11.0,0
MKD.3_1,MKD.35_1,48.0,0
MKD.3_1,MKD.45_1,11.0,0
MKD.3_1,MKD.67_1,47.0,0
MKD.3_1,MKD.5_1,13.0,0
MKD.3_1,MKD.20_1,2.0,0
MKD.3_1,MKD.24_1,19.0,0
MKD.3_1,MKD.49_1,18.0,0
MKD.3_1,MKD.58_1,12.0,0
MKD.3_1,MKD.37_1,3.0,0
MKD.3_1,MKD.72_1,14.0,0
MKD.3_1,MKD.38_1,11.0,0
MKD.3_1,MKD.27_1,5.0,0
MKD.3_1,MKD.62_1,1.0,0
MKD.3_1,MKD.32_1,4.0,0
MKD.3_1,MKD.60_1,1.0,0
MKD.3_1,MKD.77_1,23.0,0
MKD.3_1,MKD.55_1,3.0,0
MKD.3_1,MKD.41_1,36.0,0
MKD.3_1,MKD.11_1,2.0,0
MKD.3_1,MKD.57_1,13.0,0
MKD.3_1,MKD.83_1,1.0,0
MKD.3_1,MKD.28_1,3.0,0
MKD.3_1,MKD.2_1,2.0,0
MKD.3_1,MKD.1_1,6.0,0
MKD.3_1,MKD.34_1,6.0,0
MKD.3_1,MKD.23_1,16.0,0
MKD.3_1,MKD.43_1,5.0,0
MKD.3_1,MKD.21_1,2.0,0
MKD.3_1,MKD.9_1,2.0,0
MKD.3_1,MKD.31_1,2.0,0
MKD.3_1,MKD.64_1,8.0,0
MKD.3_1,MKD.15_1,1.0,0
MKD.3_1,MKD.40_1,2.0,0
MKD.3_1,MKD.63_1,2.0,0
MKD.3_1,MKD.84_1,1.0,0
MKD.3_1,MKD.4_1,4.0,0
MKD.3_1,MKD.29_1,2.0,0
MKD.3_1,MKD.8_1,1.0,0
MKD.3_1,MKD.73_1,1.0,0
MKD.3_1,MKD.82_1,1.0,0
