origin,destination,flow,time
MLI.1_1,MLI.5_1,38520.0,0
MLI.1_1,MLI.8_1,9525.0,0
MLI.1_1,MLI.7_1,3975.0,0
MLI.1_1,MLI.3_1,2259.0,0
MLI.1_1,MLI.6_1,1627.0,0
MLI.1_1,MLI.9_1,522.0,0
MLI.1_1,MLI.2_1,386.0,0
MLI.1_1,MLI.4_1,50.0,0
MLI.2_1,MLI.4_1,2013.0,0
MLI.2_1,MLI.6_1,10805.0,0
MLI.2_1,MLI.9_1,853.0,0
MLI.2_1,MLI.7_1,1141.0,0
MLI.2_1,MLI.5_1,650.0,0
MLI.2_1,MLI.8_1,300.0,0
MLI.2_1,MLI.1_1,168.0,0
MLI.2_1,MLI.3_1,90.0,0
MLI.3_1,MLI.5_1,36108.0,0
MLI.3_1,MLI.1_1,7047.0,0
MLI.3_1,MLI.8_1,4559.0,0
MLI.3_1,MLI.7_1,2282.0,0
MLI.3_1,MLI.6_1,1375.0,0
MLI.3_1,MLI.9_1,440.0,0
MLI.3_1,MLI.2_1,308.0,0
MLI.3_1,MLI.4_1,26.0,0
MLI.4_1,MLI.2_1,2065.0,0
MLI.4_1,MLI.9_1,129.0,0
MLI.4_1,MLI.6_1,66.0,0
MLI.4_1,MLI.7_1,26.0,0
MLI.4_1,MLI.5_1,18.0,0
MLI.4_1,MLI.8_1,10.0,0
MLI.4_1,MLI.1_1,4.0,0
MLI.5_1,MLI.1_1,41414.0,0
MLI.5_1,MLI.7_1,17544.0,0
MLI.5_1,MLI.8_1,10927.0,0
MLI.5_1,MLI.3_1,4917.0,0
MLI.5_1,MLI.6_1,3432.0,0
MLI.5_1,MLI.9_1,1044.0,0
MLI.5_1,MLI.2_1,793.0,0
MLI.5_1,MLI.4_1,125.0,0
MLI.6_1,MLI.7_1,31221.0,0
MLI.6_1,MLI.5_1,11713.0,0
MLI.6_1,MLI.8_1,4277.0,0
MLI.6_1,MLI.1_1,2076.0,0
MLI.6_1,MLI.2_1,401.0,0
MLI.6_1,MLI.9_1,473.0,0
MLI.6_1,MLI.4_1,47.0,0
MLI.6_1,MLI.3_1,1059.0,0
MLI.7_1,MLI.5_1,39600.0,0
MLI.7_1,MLI.6_1,8005.0,0
MLI.7_1,MLI.8_1,5831.0,0
MLI.7_1,MLI.1_1,2765.0,0
MLI.7_1,MLI.3_1,1867.0,0
MLI.7_1,MLI.9_1,547.0,0
MLI.7_1,MLI.2_1,408.0,0
MLI.7_1,MLI.4_1,53.0,0
MLI.8_1,MLI.1_1,38606.0,0
MLI.8_1,MLI.5_1,18680.0,0
MLI.8_1,MLI.7_1,6606.0,0
MLI.8_1,MLI.3_1,3764.0,0
MLI.8_1,MLI.6_1,2669.0,0
MLI.8_1,MLI.9_1,861.0,0
MLI.8_1,MLI.2_1,620.0,0
MLI.8_1,MLI.4_1,76.0,0
MLI.9_1,MLI.4_1,2166.0,0
MLI.9_1,MLI.6_1,12943.0,0
MLI.9_1,MLI.2_1,975.0,0
MLI.9_1,MLI.7_1,1735.0,0
MLI.9_1,MLI.5_1,951.0,0
MLI.9_1,MLI.1_1,314.0,0
MLI.9_1,MLI.3_1,212.0,0
MLI.9_1,MLI.8_1,197.0,0
MLI.1_1,MLI.1_1,2786353.930643098,0
MLI.2_1,MLI.2_1,784997.4219864453,0
MLI.3_1,MLI.3_1,2555108.306427527,0
MLI.4_1,MLI.4_1,113593.1181112651,0
MLI.5_1,MLI.5_1,3929648.843172955,0
MLI.6_1,MLI.6_1,2512087.0070344075,0
MLI.7_1,MLI.7_1,2894743.47658027,0
MLI.8_1,MLI.8_1,3522256.72469803,0
MLI.9_1,MLI.9_1,955192.5656644327,0
