origin,destination,flow,time
MLT.1_1,MLT.3_1,637.0,0
MLT.1_1,MLT.4_1,218.0,0
MLT.1_1,MLT.5_1,102.0,0
MLT.1_1,MLT.2_1,29.0,0
MLT.2_1,MLT.4_1,237.0,0
MLT.2_1,MLT.1_1,34.0,0
MLT.2_1,MLT.3_1,10.0,0
MLT.2_1,MLT.5_1,9.0,0
MLT.3_1,MLT.1_1,589.0,0
MLT.3_1,MLT.5_1,162.0,0
MLT.3_1,MLT.4_1,93.0,0
MLT.3_1,MLT.2_1,20.0,0
MLT.4_1,MLT.1_1,649.0,0
MLT.4_1,MLT.3_1,213.0,0
MLT.4_1,MLT.5_1,80.0,0
MLT.4_1,MLT.2_1,29.0,0
MLT.5_1,MLT.3_1,580.0,0
MLT.5_1,MLT.1_1,222.0,0
MLT.5_1,MLT.4_1,95.0,0
MLT.5_1,MLT.2_1,24.0,0
MLT.1_1,MLT.1_1,97665.8279260254,0
MLT.2_1,MLT.2_1,28752.74810211177,0
MLT.3_1,MLT.3_1,85613.33441436772,0
MLT.4_1,MLT.4_1,96160.83477813716,0
MLT.5_1,MLT.5_1,91271.89588623046,0
