origin,destination,flow,time
MMR.1.1_1,MMR.1.4_1,159684.0,0
MMR.1.1_1,MMR.1.3_1,44347.0,0
MMR.1.1_1,MMR.1.5_1,24057.0,0
MMR.1.1_1,MMR.1.2_1,16851.0,0
MMR.1.1_1,MMR.15.2_1,26795.0,0
MMR.1.1_1,MMR.15.1_1,5853.0,0
MMR.1.1_1,MMR.15.4_1,6353.0,0
MMR.1.1_1,MMR.15.3_1,4256.0,0
MMR.1.1_1,MMR.2.4_1,2154.0,0
MMR.1.1_1,MMR.11.5_1,625.0,0
MMR.1.1_1,MMR.2.2_1,1492.0,0
MMR.1.1_1,MMR.2.1_1,2608.0,0
MMR.1.1_1,MMR.9.2_1,966.0,0
MMR.1.1_1,MMR.2.3_1,1257.0,0
MMR.1.1_1,MMR.7.4_1,775.0,0
MMR.1.1_1,MMR.6.2_1,792.0,0
MMR.1.1_1,MMR.11.2_1,371.0,0
MMR.1.1_1,MMR.10.1_1,41.0,0
MMR.1.1_1,MMR.9.1_1,951.0,0
MMR.1.1_1,MMR.5.1_1,49.0,0
MMR.1.1_1,MMR.8.6_1,580.0,0
MMR.1.1_1,MMR.7.1_1,890.0,0
MMR.1.1_1,MMR.6.1_1,333.0,0
MMR.1.1_1,MMR.7.2_1,406.0,0
MMR.1.1_1,MMR.5.2_1,147.0,0
MMR.1.1_1,MMR.6.3_1,121.0,0
MMR.1.1_1,MMR.11.4_1,425.0,0
MMR.1.1_1,MMR.8.3_1,535.0,0
MMR.1.1_1,MMR.11.1_1,190.0,0
MMR.1.1_1,MMR.8.4_1,566.0,0
MMR.1.1_1,MMR.13.11_1,847.0,0
MMR.1.1_1,MMR.14.1_1,194.0,0
MMR.1.1_1,MMR.11.3_1,15.0,0
MMR.1.1_1,MMR.7.3_1,473.0,0
MMR.1.1_1,MMR.3.1_1,111.0,0
MMR.1.1_1,MMR.8.1_1,277.0,0
MMR.1.1_1,MMR.13.6_1,308.0,0
MMR.1.1_1,MMR.12.6_1,243.0,0
MMR.1.1_1,MMR.8.2_1,624.0,0
MMR.1.1_1,MMR.12.5_1,395.0,0
MMR.1.1_1,MMR.13.8_1,70.0,0
MMR.1.1_1,MMR.14.3_1,190.0,0
MMR.1.1_1,MMR.8.5_1,205.0,0
MMR.1.1_1,MMR.12.7_1,360.0,0
MMR.1.1_1,MMR.12.2_1,107.0,0
MMR.1.1_1,MMR.3.2_1,89.0,0
MMR.1.1_1,MMR.13.10_1,36.0,0
MMR.1.1_1,MMR.13.3_1,192.0,0
MMR.1.1_1,MMR.13.1_1,83.0,0
MMR.1.1_1,MMR.13.4_1,293.0,0
MMR.1.1_1,MMR.13.7_1,38.0,0
MMR.1.1_1,MMR.14.2_1,56.0,0
MMR.1.1_1,MMR.12.4_1,46.0,0
MMR.1.1_1,MMR.12.3_1,167.0,0
MMR.1.1_1,MMR.12.8_1,13.0,0
MMR.1.1_1,MMR.13.9_1,92.0,0
MMR.1.1_1,MMR.13.2_1,29.0,0
MMR.1.1_1,MMR.4.1_1,73.0,0
MMR.1.1_1,MMR.13.5_1,14.0,0
MMR.1.1_1,MMR.12.1_1,81.0,0
MMR.1.1_1,MMR.4.2_1,242.0,0
MMR.1.1_1,MMR.4.3_1,16.0,0
MMR.1.2_1,MMR.2.4_1,124033.0,0
MMR.1.2_1,MMR.2.2_1,36426.0,0
MMR.1.2_1,MMR.11.5_1,9729.0,0
MMR.1.2_1,MMR.1.3_1,19780.0,0
MMR.1.2_1,MMR.15.2_1,27482.0,0
MMR.1.2_1,MMR.1.1_1,5447.0,0
MMR.1.2_1,MMR.2.1_1,4700.0,0
MMR.1.2_1,MMR.15.1_1,2669.0,0
MMR.1.2_1,MMR.15.4_1,3122.0,0
MMR.1.2_1,MMR.2.3_1,1446.0,0
MMR.1.2_1,MMR.1.4_1,1484.0,0
MMR.1.2_1,MMR.7.4_1,674.0,0
