origin,destination,flow,time
MNG.1_1,MNG.4_1,3002.0,0
MNG.1_1,MNG.17_1,1949.0,0
MNG.1_1,MNG.16_1,903.0,0
MNG.1_1,MNG.14_1,464.0,0
MNG.1_1,MNG.3_1,178.0,0
MNG.1_1,MNG.9_1,89.0,0
MNG.1_1,MNG.20_1,137.0,0
MNG.1_1,MNG.18_1,93.0,0
MNG.1_1,MNG.5_1,78.0,0
MNG.1_1,MNG.21_1,396.0,0
MNG.1_1,MNG.8_1,3.0,0
MNG.1_1,MNG.10_1,2.0,0
MNG.1_1,MNG.15_1,2.0,0
MNG.1_1,MNG.11_1,1.0,0
MNG.1_1,MNG.22_1,3.0,0
MNG.1_1,MNG.13_1,5.0,0
MNG.1_1,MNG.12_1,2.0,0
MNG.1_1,MNG.7_1,4.0,0
MNG.1_1,MNG.2_1,8.0,0
MNG.1_1,MNG.19_1,5.0,0
MNG.1_1,MNG.6_1,1.0,0
MNG.2_1,MNG.22_1,3533.0,0
MNG.2_1,MNG.13_1,1509.0,0
MNG.2_1,MNG.9_1,563.0,0
MNG.2_1,MNG.10_1,380.0,0
MNG.2_1,MNG.14_1,612.0,0
MNG.2_1,MNG.3_1,248.0,0
MNG.2_1,MNG.1_1,185.0,0
MNG.2_1,MNG.4_1,98.0,0
MNG.2_1,MNG.17_1,145.0,0
MNG.2_1,MNG.16_1,144.0,0
MNG.2_1,MNG.18_1,80.0,0
MNG.2_1,MNG.5_1,65.0,0
MNG.2_1,MNG.20_1,53.0,0
MNG.2_1,MNG.15_1,43.0,0
MNG.2_1,MNG.21_1,340.0,0
MNG.2_1,MNG.8_1,2.0,0
MNG.2_1,MNG.12_1,5.0,0
MNG.2_1,MNG.7_1,3.0,0
MNG.2_1,MNG.19_1,6.0,0
MNG.2_1,MNG.6_1,4.0,0
MNG.3_1,MNG.17_1,3990.0,0
MNG.3_1,MNG.10_1,643.0,0
MNG.3_1,MNG.1_1,596.0,0
MNG.3_1,MNG.9_1,238.0,0
MNG.3_1,MNG.15_1,309.0,0
MNG.3_1,MNG.4_1,126.0,0
MNG.3_1,MNG.8_1,58.0,0
MNG.3_1,MNG.16_1,187.0,0
MNG.3_1,MNG.14_1,129.0,0
MNG.3_1,MNG.13_1,62.0,0
MNG.3_1,MNG.20_1,50.0,0
MNG.3_1,MNG.21_1,376.0,0
MNG.3_1,MNG.5_1,6.0,0
MNG.3_1,MNG.22_1,5.0,0
MNG.3_1,MNG.7_1,4.0,0
MNG.3_1,MNG.2_1,6.0,0
MNG.3_1,MNG.12_1,2.0,0
MNG.3_1,MNG.19_1,7.0,0
MNG.3_1,MNG.6_1,4.0,0
MNG.4_1,MNG.16_1,3359.0,0
MNG.4_1,MNG.18_1,553.0,0
MNG.4_1,MNG.1_1,199.0,0
MNG.4_1,MNG.5_1,173.0,0
MNG.4_1,MNG.20_1,82.0,0
MNG.4_1,MNG.14_1,81.0,0
MNG.4_1,MNG.21_1,275.0,0
MNG.4_1,MNG.17_1,4.0,0
MNG.4_1,MNG.8_1,2.0,0
MNG.4_1,MNG.3_1,2.0,0
MNG.4_1,MNG.9_1,3.0,0
MNG.4_1,MNG.12_1,1.0,0
MNG.4_1,MNG.15_1,2.0,0
MNG.4_1,MNG.10_1,3.0,0
MNG.4_1,MNG.7_1,3.0,0
MNG.4_1,MNG.22_1,3.0,0
MNG.4_1,MNG.19_1,3.0,0
MNG.4_1,MNG.13_1,2.0,0
MNG.4_1,MNG.6_1,2.0,0
MNG.4_1,MNG.2_1,2.0,0
MNG.5_1,MNG.18_1,4950.0,0
MNG.5_1,MNG.16_1,1832.0,0
MNG.5_1,MNG.21_1,2877.0,0
MNG.5_1,MNG.20_1,18.0,0
MNG.5_1,MNG.4_1,8.0,0
MNG.5_1,MNG.12_1,8.0,0
MNG.5_1,MNG.11_1,3.0,0
MNG.5_1,MNG.1_1,18.0,0
MNG.5_1,MNG.8_1,5.0,0
