origin,destination,flow,time
MOZ.1_1,MOZ.7_1,179824.0,0
MOZ.1_1,MOZ.8_1,13748.0,0
MOZ.1_1,MOZ.11_1,18419.0,0
MOZ.1_1,MOZ.10_1,6031.0,0
MOZ.1_1,MOZ.9_1,2791.0,0
MOZ.1_1,MOZ.4_1,2340.0,0
MOZ.1_1,MOZ.3_1,1329.0,0
MOZ.1_1,MOZ.2_1,1137.0,0
MOZ.1_1,MOZ.6_1,592.0,0
MOZ.1_1,MOZ.5_1,1494.0,0
MOZ.2_1,MOZ.3_1,82746.0,0
MOZ.2_1,MOZ.6_1,18505.0,0
MOZ.2_1,MOZ.5_1,25755.0,0
MOZ.2_1,MOZ.4_1,10913.0,0
MOZ.2_1,MOZ.9_1,6166.0,0
MOZ.2_1,MOZ.11_1,7765.0,0
MOZ.2_1,MOZ.10_1,2683.0,0
MOZ.2_1,MOZ.7_1,2819.0,0
MOZ.2_1,MOZ.8_1,671.0,0
MOZ.2_1,MOZ.1_1,639.0,0
MOZ.3_1,MOZ.2_1,82253.0,0
MOZ.3_1,MOZ.6_1,17770.0,0
MOZ.3_1,MOZ.5_1,24573.0,0
MOZ.3_1,MOZ.9_1,10413.0,0
MOZ.3_1,MOZ.4_1,6056.0,0
MOZ.3_1,MOZ.11_1,7656.0,0
MOZ.3_1,MOZ.10_1,2525.0,0
MOZ.3_1,MOZ.7_1,2740.0,0
MOZ.3_1,MOZ.8_1,752.0,0
MOZ.3_1,MOZ.1_1,560.0,0
MOZ.4_1,MOZ.9_1,131770.0,0
MOZ.4_1,MOZ.10_1,57562.0,0
MOZ.4_1,MOZ.3_1,11739.0,0
MOZ.4_1,MOZ.11_1,23889.0,0
MOZ.4_1,MOZ.2_1,3704.0,0
MOZ.4_1,MOZ.6_1,1725.0,0
MOZ.4_1,MOZ.8_1,3782.0,0
MOZ.4_1,MOZ.7_1,7175.0,0
MOZ.4_1,MOZ.5_1,2051.0,0
MOZ.4_1,MOZ.1_1,1539.0,0
MOZ.6_1,MOZ.5_1,67619.0,0
MOZ.6_1,MOZ.2_1,7389.0,0
MOZ.6_1,MOZ.3_1,3813.0,0
MOZ.6_1,MOZ.4_1,3237.0,0
MOZ.6_1,MOZ.9_1,1848.0,0
MOZ.6_1,MOZ.11_1,2347.0,0
MOZ.6_1,MOZ.10_1,802.0,0
MOZ.6_1,MOZ.7_1,834.0,0
MOZ.6_1,MOZ.8_1,239.0,0
MOZ.6_1,MOZ.1_1,194.0,0
MOZ.5_1,MOZ.6_1,71770.0,0
MOZ.5_1,MOZ.2_1,65548.0,0
MOZ.5_1,MOZ.3_1,33945.0,0
MOZ.5_1,MOZ.4_1,29642.0,0
MOZ.5_1,MOZ.9_1,17009.0,0
MOZ.5_1,MOZ.11_1,21484.0,0
MOZ.5_1,MOZ.10_1,7075.0,0
MOZ.5_1,MOZ.7_1,8027.0,0
MOZ.5_1,MOZ.8_1,2073.0,0
MOZ.5_1,MOZ.1_1,1793.0,0
MOZ.7_1,MOZ.1_1,206796.0,0
MOZ.7_1,MOZ.11_1,234043.0,0
MOZ.7_1,MOZ.8_1,45380.0,0
MOZ.7_1,MOZ.9_1,36250.0,0
MOZ.7_1,MOZ.10_1,40488.0,0
MOZ.7_1,MOZ.4_1,20423.0,0
MOZ.7_1,MOZ.3_1,11065.0,0
MOZ.7_1,MOZ.2_1,10113.0,0
MOZ.7_1,MOZ.6_1,5067.0,0
MOZ.7_1,MOZ.5_1,13386.0,0
MOZ.8_1,MOZ.1_1,122733.0,0
MOZ.8_1,MOZ.7_1,70835.0,0
MOZ.8_1,MOZ.11_1,18478.0,0
MOZ.8_1,MOZ.10_1,5930.0,0
MOZ.8_1,MOZ.9_1,2819.0,0
MOZ.8_1,MOZ.4_1,2338.0,0
MOZ.8_1,MOZ.3_1,1274.0,0
MOZ.8_1,MOZ.2_1,1148.0,0
MOZ.8_1,MOZ.6_1,526.0,0
MOZ.8_1,MOZ.5_1,1467.0,0
MOZ.9_1,MOZ.4_1,132122.0,0
MOZ.9_1,MOZ.11_1,71819.0,0
MOZ.9_1,MOZ.3_1,7328.0,0
MOZ.9_1,MOZ.10_1,11524.0,0
MOZ.9_1,MOZ.2_1,3503.0,0
MOZ.9_1,MOZ.7_1,9273.0,0
MOZ.9_1,MOZ.8_1,2245.0,0
MOZ.9_1,MOZ.6_1,750.0,0
MOZ.9_1,MOZ.5_1,2034.0,0
MOZ.9_1,MOZ.1_1,1448.0,0
MOZ.10_1,MOZ.4_1,165790.0,0
MOZ.10_1,MOZ.9_1,69961.0,0
MOZ.10_1,MOZ.11_1,73387.0,0
MOZ.10_1,MOZ.8_1,14196.0,0
MOZ.10_1,MOZ.7_1,24492.0,0
MOZ.10_1,MOZ.1_1,5964.0,0
MOZ.10_1,MOZ.3_1,3384.0,0
MOZ.10_1,MOZ.2_1,3106.0,0
MOZ.10_1,MOZ.6_1,1550.0,0
MOZ.10_1,MOZ.5_1,4220.0,0
MOZ.11_1,MOZ.7_1,376505.0,0
MOZ.11_1,MOZ.9_1,59353.0,0
MOZ.11_1,MOZ.8_1,40608.0,0
MOZ.11_1,MOZ.4_1,32931.0,0
MOZ.11_1,MOZ.10_1,36140.0,0
MOZ.11_1,MOZ.1_1,17248.0,0
MOZ.11_1,MOZ.3_1,10070.0,0
MOZ.11_1,MOZ.2_1,9126.0,0
MOZ.11_1,MOZ.6_1,4580.0,0
MOZ.11_1,MOZ.5_1,12037.0,0
MOZ.1_1,MOZ.1_1,2049353.0600134232,0
MOZ.2_1,MOZ.2_1,1427962.088088144,0
MOZ.3_1,MOZ.3_1,1397688.048253566,0
MOZ.4_1,MOZ.4_1,2204431.920088407,0
MOZ.6_1,MOZ.6_1,794905.768323774,0
MOZ.5_1,MOZ.5_1,2325301.924352643,0
MOZ.7_1,MOZ.7_1,5607099.530004501,0
MOZ.8_1,MOZ.8_1,2047932.310091517,0
MOZ.9_1,MOZ.9_1,2178414.0431062113,0
MOZ.10_1,MOZ.10_1,3294453.20967018,0
MOZ.11_1,MOZ.11_1,5387390.406952299,0
