origin,destination,flow,time
MUS.1_1,MUS.9_1,4.0,0
MUS.2_1,MUS.7_1,1607.0,0
MUS.2_1,MUS.12_1,47.0,0
MUS.2_1,MUS.5_1,46.0,0
MUS.2_1,MUS.8_1,54.0,0
MUS.2_1,MUS.4_1,24.0,0
MUS.2_1,MUS.6_1,39.0,0
MUS.2_1,MUS.3_1,30.0,0
MUS.2_1,MUS.9_1,15.0,0
MUS.2_1,MUS.10_1,5.0,0
MUS.3_1,MUS.5_1,1284.0,0
MUS.3_1,MUS.4_1,643.0,0
MUS.3_1,MUS.6_1,348.0,0
MUS.3_1,MUS.9_1,161.0,0
MUS.3_1,MUS.8_1,108.0,0
MUS.3_1,MUS.7_1,231.0,0
MUS.3_1,MUS.2_1,40.0,0
MUS.3_1,MUS.12_1,17.0,0
MUS.3_1,MUS.10_1,14.0,0
MUS.4_1,MUS.12_1,931.0,0
MUS.4_1,MUS.5_1,507.0,0
MUS.4_1,MUS.7_1,520.0,0
MUS.4_1,MUS.3_1,66.0,0
MUS.4_1,MUS.2_1,45.0,0
MUS.4_1,MUS.8_1,28.0,0
MUS.4_1,MUS.6_1,38.0,0
MUS.4_1,MUS.9_1,18.0,0
MUS.4_1,MUS.10_1,8.0,0
MUS.5_1,MUS.8_1,1070.0,0
MUS.5_1,MUS.7_1,632.0,0
MUS.5_1,MUS.3_1,60.0,0
MUS.5_1,MUS.6_1,58.0,0
MUS.5_1,MUS.4_1,26.0,0
MUS.5_1,MUS.2_1,17.0,0
MUS.5_1,MUS.9_1,21.0,0
MUS.5_1,MUS.12_1,8.0,0
MUS.5_1,MUS.10_1,7.0,0
MUS.6_1,MUS.8_1,1445.0,0
MUS.6_1,MUS.9_1,541.0,0
MUS.6_1,MUS.5_1,304.0,0
MUS.6_1,MUS.3_1,272.0,0
MUS.6_1,MUS.7_1,282.0,0
MUS.6_1,MUS.2_1,36.0,0
MUS.6_1,MUS.4_1,36.0,0
MUS.6_1,MUS.12_1,23.0,0
MUS.6_1,MUS.10_1,9.0,0
MUS.7_1,MUS.2_1,2039.0,0
MUS.7_1,MUS.5_1,1372.0,0
MUS.7_1,MUS.12_1,727.0,0
MUS.7_1,MUS.8_1,860.0,0
MUS.7_1,MUS.4_1,656.0,0
MUS.7_1,MUS.3_1,653.0,0
MUS.7_1,MUS.6_1,483.0,0
MUS.7_1,MUS.9_1,286.0,0
MUS.7_1,MUS.10_1,80.0,0
MUS.8_1,MUS.6_1,1346.0,0
MUS.8_1,MUS.5_1,274.0,0
MUS.8_1,MUS.7_1,322.0,0
MUS.8_1,MUS.9_1,50.0,0
MUS.8_1,MUS.2_1,24.0,0
MUS.8_1,MUS.3_1,40.0,0
MUS.8_1,MUS.4_1,23.0,0
MUS.8_1,MUS.12_1,13.0,0
MUS.8_1,MUS.10_1,13.0,0
MUS.9_1,MUS.6_1,1392.0,0
MUS.9_1,MUS.8_1,267.0,0
MUS.9_1,MUS.3_1,212.0,0
MUS.9_1,MUS.5_1,61.0,0
MUS.9_1,MUS.7_1,164.0,0
MUS.9_1,MUS.4_1,31.0,0
MUS.9_1,MUS.2_1,14.0,0
MUS.9_1,MUS.12_1,11.0,0
MUS.9_1,MUS.10_1,10.0,0
MUS.10_1,MUS.3_1,663.0,0
MUS.10_1,MUS.9_1,82.0,0
MUS.10_1,MUS.4_1,34.0,0
MUS.10_1,MUS.5_1,16.0,0
MUS.10_1,MUS.6_1,19.0,0
MUS.10_1,MUS.8_1,13.0,0
MUS.10_1,MUS.7_1,15.0,0
MUS.10_1,MUS.12_1,1.0,0
MUS.10_1,MUS.2_1,4.0,0
MUS.12_1,MUS.7_1,1218.0,0
MUS.12_1,MUS.4_1,42.0,0
MUS.12_1,MUS.2_1,25.0,0
MUS.12_1,MUS.5_1,22.0,0
MUS.12_1,MUS.8_1,15.0,0
MUS.12_1,MUS.3_1,18.0,0
MUS.12_1,MUS.6_1,18.0,0
MUS.12_1,MUS.9_1,7.0,0
MUS.12_1,MUS.10_1,2.0,0
MUS.12_1,MUS.1_1,1.0,0
MUS.1_1,MUS.1_1,215.68532695293456,0
MUS.2_1,MUS.2_1,91483.04623283388,0
MUS.3_1,MUS.3_1,139473.55504196198,0
MUS.4_1,MUS.4_1,105892.49531738317,0
MUS.5_1,MUS.5_1,93061.03736244203,0
MUS.6_1,MUS.6_1,144474.1953491214,0
MUS.7_1,MUS.7_1,350671.67766899144,0
MUS.8_1,MUS.8_1,103171.86470458965,0
MUS.9_1,MUS.9_1,105965.30477821329,0
MUS.10_1,MUS.10_1,41546.12269538877,0
MUS.11_1,MUS.11_1,,0
MUS.12_1,MUS.12_1,67040.40456280472,0
