origin,destination,flow,time
MYS.1.3_1,MYS.1.1_1,18275.0,0
MYS.1.3_1,MYS.1.5_1,4076.0,0
MYS.1.3_1,MYS.1.7_1,425.0,0
MYS.1.3_1,MYS.1.9_1,789.0,0
MYS.1.3_1,MYS.1.10_1,794.0,0
MYS.1.3_1,MYS.1.8_1,801.0,0
MYS.1.3_1,MYS.1.4_1,474.0,0
MYS.1.3_1,MYS.1.2_1,2223.0,0
MYS.1.3_1,MYS.1.6_1,75.0,0
MYS.1.3_1,MYS.8.10_1,64.0,0
MYS.1.3_1,MYS.6.2_1,92.0,0
MYS.1.3_1,MYS.7.7_1,59.0,0
MYS.1.3_1,MYS.6.3_1,295.0,0
MYS.1.3_1,MYS.7.2_1,36.0,0
MYS.1.3_1,MYS.6.1_1,84.0,0
MYS.1.3_1,MYS.8.8_1,30.0,0
MYS.1.3_1,MYS.7.3_1,19.0,0
MYS.1.3_1,MYS.8.2_1,31.0,0
MYS.1.3_1,MYS.7.5_1,15.0,0
MYS.1.3_1,MYS.7.4_1,34.0,0
MYS.1.3_1,MYS.7.1_1,13.0,0
MYS.1.3_1,MYS.7.6_1,202.0,0
MYS.1.3_1,MYS.8.7_1,20.0,0
MYS.1.3_1,MYS.8.5_1,125.0,0
MYS.1.3_1,MYS.15.2_1,250.0,0
MYS.1.3_1,MYS.15.9_1,39.0,0
MYS.1.3_1,MYS.8.11_1,24.0,0
MYS.1.3_1,MYS.12.1_1,12.0,0
MYS.1.3_1,MYS.8.1_1,13.0,0
MYS.1.3_1,MYS.4.1_1,173.0,0
MYS.1.3_1,MYS.15.5_1,21.0,0
MYS.1.3_1,MYS.15.7_1,150.0,0
MYS.1.3_1,MYS.15.1_1,38.0,0
MYS.1.3_1,MYS.16.4_1,6.0,0
MYS.1.3_1,MYS.15.4_1,48.0,0
MYS.1.3_1,MYS.15.3_1,8.0,0
MYS.1.3_1,MYS.8.4_1,2.0,0
MYS.1.3_1,MYS.8.9_1,5.0,0
MYS.1.3_1,MYS.15.6_1,9.0,0
MYS.1.3_1,MYS.16.2_1,3.0,0
MYS.1.3_1,MYS.8.6_1,3.0,0
MYS.1.3_1,MYS.15.8_1,6.0,0
MYS.1.3_1,MYS.9.1_1,5.0,0
MYS.1.3_1,MYS.16.6_1,4.0,0
MYS.1.3_1,MYS.9.2_1,5.0,0
MYS.1.3_1,MYS.8.3_1,2.0,0
MYS.1.3_1,MYS.3.2_1,4.0,0
MYS.1.3_1,MYS.16.5_1,8.0,0
MYS.1.3_1,MYS.9.6_1,25.0,0
MYS.1.3_1,MYS.9.10_1,1.0,0
MYS.1.3_1,MYS.16.7_1,2.0,0
MYS.1.3_1,MYS.9.9_1,6.0,0
MYS.1.3_1,MYS.3.5_1,3.0,0
MYS.1.3_1,MYS.9.7_1,4.0,0
MYS.1.3_1,MYS.16.1_1,2.0,0
MYS.1.3_1,MYS.9.8_1,11.0,0
MYS.1.3_1,MYS.3.3_1,3.0,0
MYS.1.3_1,MYS.3.6_1,2.0,0
MYS.1.3_1,MYS.3.8_1,1.0,0
MYS.1.3_1,MYS.3.9_1,4.0,0
MYS.1.3_1,MYS.9.3_1,4.0,0
MYS.1.3_1,MYS.3.1_1,2.0,0
MYS.1.3_1,MYS.9.5_1,2.0,0
MYS.1.3_1,MYS.3.4_1,12.0,0
MYS.1.3_1,MYS.3.7_1,5.0,0
MYS.1.3_1,MYS.3.10_1,1.0,0
MYS.1.3_1,MYS.11.2_1,4.0,0
MYS.1.3_1,MYS.2.6_1,10.0,0
MYS.1.3_1,MYS.11.3_1,7.0,0
MYS.1.3_1,MYS.2.1_1,3.0,0
MYS.1.3_1,MYS.11.4_1,10.0,0
MYS.1.3_1,MYS.11.1_1,3.0,0
MYS.1.3_1,MYS.11.5_1,11.0,0
MYS.1.3_1,MYS.2.4_1,2.0,0
MYS.1.3_1,MYS.2.12_1,1.0,0
MYS.1.3_1,MYS.2.9_1,3.0,0
MYS.1.3_1,MYS.2.8_1,3.0,0
MYS.1.3_1,MYS.2.10_1,1.0,0
MYS.1.3_1,MYS.2.3_1,5.0,0
MYS.1.3_1,MYS.2.5_1,5.0,0
MYS.1.3_1,MYS.10.1_1,3.0,0
MYS.1.3_1,MYS.2.7_1,4.0,0
MYS.1.3_1,MYS.14.2_1,1.0,0
MYS.1.3_1,MYS.14.11_1,10.0,0
MYS.1.3_1,MYS.14.26_1,4.0,0
MYS.1.3_1,MYS.14.28_1,2.0,0
MYS.1.3_1,MYS.14.23_1,2.0,0
MYS.1.3_1,MYS.14.7_1,3.0,0
MYS.1.3_1,MYS.14.25_1,1.0,0
MYS.1.3_1,MYS.14.31_1,1.0,0
MYS.1.3_1,MYS.14.5_1,6.0,0
MYS.1.3_1,MYS.14.19_1,2.0,0
MYS.1.3_1,MYS.14.3_1,1.0,0
MYS.1.3_1,MYS.14.16_1,1.0,0
MYS.1.3_1,MYS.14.13_1,1.0,0
MYS.1.3_1,MYS.13.20_1,2.0,0
MYS.1.3_1,MYS.13.1_1,5.0,0
MYS.1.3_1,MYS.13.13_1,1.0,0
MYS.1.3_1,MYS.13.3_1,3.0,0
MYS.1.3_1,MYS.13.14_1,5.0,0
MYS.1.3_1,MYS.13.6_1,11.0,0
MYS.1.3_1,MYS.13.25_1,1.0,0
MYS.1.3_1,MYS.13.5_1,2.0,0
MYS.1.3_1,MYS.13.9_1,2.0,0
MYS.1.3_1,MYS.13.22_1,1.0,0
MYS.1.3_1,MYS.13.15_1,1.0,0
MYS.1.3_1,MYS.13.2_1,1.0,0
MYS.1.3_1,MYS.13.10_1,2.0,0
MYS.1.3_1,MYS.13.18_1,2.0,0
MYS.1.3_1,MYS.13.4_1,2.0,0
MYS.1.3_1,MYS.13.11_1,1.0,0
MYS.1.3_1,MYS.13.19_1,2.0,0
MYS.1.4_1,MYS.1.2_1,15810.0,0
MYS.1.4_1,MYS.1.5_1,269.0,0
MYS.1.4_1,MYS.1.9_1,68.0,0
MYS.1.4_1,MYS.1.7_1,37.0,0
MYS.1.4_1,MYS.1.3_1,147.0,0
MYS.1.4_1,MYS.1.1_1,128.0,0
MYS.1.4_1,MYS.1.10_1,45.0,0
MYS.1.4_1,MYS.1.8_1,76.0,0
MYS.1.4_1,MYS.8.10_1,20.0,0
MYS.1.4_1,MYS.1.6_1,18.0,0
MYS.1.4_1,MYS.6.2_1,35.0,0
MYS.1.4_1,MYS.7.7_1,16.0,0
MYS.1.4_1,MYS.8.8_1,19.0,0
MYS.1.4_1,MYS.6.3_1,85.0,0
MYS.1.4_1,MYS.7.2_1,13.0,0
MYS.1.4_1,MYS.6.1_1,25.0,0
MYS.1.4_1,MYS.8.2_1,11.0,0
MYS.1.4_1,MYS.7.3_1,6.0,0
MYS.1.4_1,MYS.7.5_1,3.0,0
MYS.1.4_1,MYS.7.4_1,11.0,0
MYS.1.4_1,MYS.7.1_1,3.0,0
MYS.1.4_1,MYS.8.7_1,11.0,0
MYS.1.4_1,MYS.7.6_1,52.0,0
MYS.1.4_1,MYS.8.5_1,33.0,0
MYS.1.4_1,MYS.15.2_1,83.0,0
MYS.1.4_1,MYS.8.11_1,4.0,0
MYS.1.4_1,MYS.15.9_1,10.0,0
MYS.1.4_1,MYS.8.1_1,4.0,0
MYS.1.4_1,MYS.12.1_1,6.0,0
MYS.1.4_1,MYS.16.4_1,8.0,0
MYS.1.4_1,MYS.4.1_1,49.0,0
MYS.1.4_1,MYS.15.5_1,6.0,0
MYS.1.4_1,MYS.15.7_1,41.0,0
MYS.1.4_1,MYS.15.1_1,13.0,0
MYS.1.4_1,MYS.8.4_1,3.0,0
MYS.1.4_1,MYS.15.4_1,10.0,0
MYS.1.4_1,MYS.15.3_1,3.0,0
MYS.1.4_1,MYS.8.9_1,1.0,0
MYS.1.4_1,MYS.16.2_1,3.0,0
MYS.1.4_1,MYS.15.6_1,9.0,0
MYS.1.4_1,MYS.8.6_1,4.0,0
MYS.1.4_1,MYS.16.6_1,1.0,0
MYS.1.4_1,MYS.9.1_1,3.0,0
MYS.1.4_1,MYS.9.2_1,3.0,0
MYS.1.4_1,MYS.16.5_1,5.0,0
