origin,destination,flow,time
MYT.1_1,MYT.11_1,1409.0,0
MYT.1_1,MYT.13_1,438.0,0
MYT.1_1,MYT.2_1,255.0,0
MYT.1_1,MYT.17_1,106.0,0
MYT.1_1,MYT.5_1,29.0,0
MYT.1_1,MYT.10_1,97.0,0
MYT.1_1,MYT.14_1,22.0,0
MYT.1_1,MYT.12_1,41.0,0
MYT.1_1,MYT.16_1,5.0,0
MYT.1_1,MYT.7_1,6.0,0
MYT.1_1,MYT.4_1,3.0,0
MYT.1_1,MYT.6_1,2.0,0
MYT.1_1,MYT.8_1,5.0,0
MYT.1_1,MYT.15_1,1.0,0
MYT.2_1,MYT.11_1,2404.0,0
MYT.2_1,MYT.1_1,881.0,0
MYT.2_1,MYT.13_1,866.0,0
MYT.2_1,MYT.17_1,916.0,0
MYT.2_1,MYT.10_1,934.0,0
MYT.2_1,MYT.5_1,85.0,0
MYT.2_1,MYT.12_1,408.0,0
MYT.2_1,MYT.14_1,60.0,0
MYT.2_1,MYT.16_1,42.0,0
MYT.2_1,MYT.7_1,43.0,0
MYT.2_1,MYT.8_1,25.0,0
MYT.2_1,MYT.15_1,22.0,0
MYT.2_1,MYT.6_1,18.0,0
MYT.2_1,MYT.4_1,10.0,0
MYT.2_1,MYT.3_1,20.0,0
MYT.2_1,MYT.9_1,5.0,0
MYT.3_1,MYT.6_1,2487.0,0
MYT.3_1,MYT.9_1,479.0,0
MYT.3_1,MYT.7_1,709.0,0
MYT.3_1,MYT.4_1,146.0,0
MYT.3_1,MYT.16_1,182.0,0
MYT.3_1,MYT.14_1,133.0,0
MYT.3_1,MYT.5_1,52.0,0
MYT.3_1,MYT.12_1,222.0,0
MYT.3_1,MYT.17_1,24.0,0
MYT.3_1,MYT.15_1,22.0,0
MYT.3_1,MYT.8_1,22.0,0
MYT.3_1,MYT.10_1,40.0,0
MYT.3_1,MYT.11_1,4.0,0
MYT.3_1,MYT.2_1,13.0,0
MYT.3_1,MYT.1_1,3.0,0
MYT.3_1,MYT.13_1,8.0,0
MYT.4_1,MYT.6_1,1985.0,0
MYT.4_1,MYT.9_1,372.0,0
MYT.4_1,MYT.16_1,365.0,0
MYT.4_1,MYT.3_1,110.0,0
MYT.4_1,MYT.14_1,116.0,0
MYT.4_1,MYT.5_1,40.0,0
MYT.4_1,MYT.7_1,67.0,0
MYT.4_1,MYT.17_1,47.0,0
MYT.4_1,MYT.12_1,100.0,0
MYT.4_1,MYT.11_1,6.0,0
MYT.4_1,MYT.10_1,28.0,0
MYT.4_1,MYT.1_1,3.0,0
MYT.4_1,MYT.2_1,5.0,0
MYT.4_1,MYT.15_1,7.0,0
MYT.4_1,MYT.8_1,8.0,0
MYT.4_1,MYT.13_1,3.0,0
MYT.5_1,MYT.14_1,2423.0,0
MYT.5_1,MYT.16_1,454.0,0
MYT.5_1,MYT.17_1,213.0,0
MYT.5_1,MYT.7_1,126.0,0
MYT.5_1,MYT.11_1,36.0,0
MYT.5_1,MYT.12_1,187.0,0
MYT.5_1,MYT.2_1,15.0,0
MYT.5_1,MYT.4_1,7.0,0
MYT.5_1,MYT.6_1,13.0,0
MYT.5_1,MYT.10_1,25.0,0
MYT.5_1,MYT.1_1,3.0,0
MYT.5_1,MYT.3_1,7.0,0
MYT.5_1,MYT.13_1,2.0,0
MYT.5_1,MYT.9_1,2.0,0
MYT.5_1,MYT.8_1,11.0,0
MYT.5_1,MYT.15_1,2.0,0
MYT.6_1,MYT.3_1,2463.0,0
MYT.6_1,MYT.4_1,721.0,0
MYT.6_1,MYT.9_1,341.0,0
MYT.6_1,MYT.16_1,491.0,0
MYT.6_1,MYT.7_1,277.0,0
MYT.6_1,MYT.14_1,143.0,0
MYT.6_1,MYT.5_1,66.0,0
MYT.6_1,MYT.12_1,278.0,0
MYT.6_1,MYT.17_1,34.0,0
MYT.6_1,MYT.10_1,62.0,0
MYT.6_1,MYT.11_1,14.0,0
MYT.6_1,MYT.15_1,12.0,0
MYT.6_1,MYT.8_1,11.0,0
MYT.6_1,MYT.2_1,14.0,0
MYT.6_1,MYT.1_1,1.0,0
MYT.6_1,MYT.13_1,6.0,0
MYT.7_1,MYT.14_1,4045.0,0
MYT.7_1,MYT.16_1,1307.0,0
MYT.7_1,MYT.12_1,1791.0,0
MYT.7_1,MYT.5_1,88.0,0
MYT.7_1,MYT.6_1,84.0,0
MYT.7_1,MYT.3_1,80.0,0
MYT.7_1,MYT.17_1,108.0,0
MYT.7_1,MYT.4_1,38.0,0
MYT.7_1,MYT.10_1,169.0,0
MYT.7_1,MYT.15_1,48.0,0
MYT.7_1,MYT.8_1,40.0,0
MYT.7_1,MYT.9_1,10.0,0
MYT.7_1,MYT.11_1,19.0,0
MYT.7_1,MYT.2_1,34.0,0
MYT.7_1,MYT.1_1,12.0,0
MYT.7_1,MYT.13_1,9.0,0
MYT.8_1,MYT.15_1,3144.0,0
MYT.8_1,MYT.12_1,2994.0,0
MYT.8_1,MYT.10_1,349.0,0
MYT.8_1,MYT.7_1,68.0,0
MYT.8_1,MYT.17_1,72.0,0
MYT.8_1,MYT.14_1,53.0,0
MYT.8_1,MYT.2_1,36.0,0
MYT.8_1,MYT.5_1,17.0,0
MYT.8_1,MYT.16_1,31.0,0
MYT.8_1,MYT.3_1,20.0,0
MYT.8_1,MYT.11_1,9.0,0
MYT.8_1,MYT.6_1,26.0,0
MYT.8_1,MYT.1_1,10.0,0
MYT.8_1,MYT.13_1,20.0,0
MYT.8_1,MYT.4_1,12.0,0
MYT.8_1,MYT.9_1,11.0,0
MYT.9_1,MYT.4_1,1547.0,0
MYT.9_1,MYT.6_1,540.0,0
MYT.9_1,MYT.3_1,217.0,0
MYT.9_1,MYT.16_1,125.0,0
MYT.9_1,MYT.7_1,96.0,0
MYT.9_1,MYT.14_1,47.0,0
MYT.9_1,MYT.5_1,16.0,0
MYT.9_1,MYT.17_1,33.0,0
MYT.9_1,MYT.12_1,48.0,0
MYT.9_1,MYT.11_1,5.0,0
MYT.9_1,MYT.15_1,10.0,0
MYT.9_1,MYT.10_1,18.0,0
MYT.9_1,MYT.8_1,2.0,0
MYT.9_1,MYT.2_1,2.0,0
MYT.9_1,MYT.1_1,3.0,0
MYT.10_1,MYT.12_1,14365.0,0
MYT.10_1,MYT.17_1,1083.0,0
MYT.10_1,MYT.2_1,810.0,0
MYT.10_1,MYT.8_1,664.0,0
MYT.10_1,MYT.11_1,273.0,0
MYT.10_1,MYT.14_1,509.0,0
MYT.10_1,MYT.5_1,215.0,0
MYT.10_1,MYT.7_1,432.0,0
MYT.10_1,MYT.15_1,272.0,0
MYT.10_1,MYT.1_1,126.0,0
MYT.10_1,MYT.13_1,153.0,0
MYT.10_1,MYT.16_1,229.0,0
MYT.10_1,MYT.6_1,186.0,0
MYT.10_1,MYT.3_1,128.0,0
MYT.10_1,MYT.4_1,90.0,0
MYT.10_1,MYT.9_1,84.0,0
MYT.11_1,MYT.1_1,1424.0,0
