origin,destination,flow,time
NAM.4.1_1,NAM.4.2_1,7782.0,0
NAM.4.1_1,NAM.4.4_1,2164.0,0
NAM.4.1_1,NAM.4.8_1,2372.0,0
NAM.4.1_1,NAM.4.9_1,652.0,0
NAM.4.1_1,NAM.4.7_1,502.0,0
NAM.4.1_1,NAM.12.1_1,344.0,0
NAM.4.1_1,NAM.4.3_1,210.0,0
NAM.4.1_1,NAM.11.2_1,126.0,0
NAM.4.1_1,NAM.11.10_1,204.0,0
NAM.4.1_1,NAM.11.1_1,200.0,0
NAM.4.1_1,NAM.7.6_1,182.0,0
NAM.4.1_1,NAM.11.3_1,97.0,0
NAM.4.1_1,NAM.12.7_1,42.0,0
NAM.4.1_1,NAM.4.6_1,69.0,0
NAM.4.1_1,NAM.12.5_1,37.0,0
NAM.4.1_1,NAM.12.3_1,42.0,0
NAM.4.1_1,NAM.7.4_1,57.0,0
NAM.4.1_1,NAM.11.6_1,87.0,0
NAM.4.1_1,NAM.7.8_1,11.0,0
NAM.4.1_1,NAM.11.9_1,41.0,0
NAM.4.1_1,NAM.7.1_1,44.0,0
NAM.4.1_1,NAM.11.7_1,21.0,0
NAM.4.1_1,NAM.11.5_1,44.0,0
NAM.4.1_1,NAM.8.5_1,12.0,0
NAM.4.1_1,NAM.11.4_1,21.0,0
NAM.4.1_1,NAM.7.9_1,38.0,0
NAM.4.1_1,NAM.11.8_1,36.0,0
NAM.4.1_1,NAM.7.7_1,48.0,0
NAM.4.1_1,NAM.4.5_1,45.0,0
NAM.4.1_1,NAM.8.2_1,6.0,0
NAM.4.1_1,NAM.10.3_1,5.0,0
NAM.4.1_1,NAM.10.1_1,18.0,0
NAM.4.1_1,NAM.10.9_1,14.0,0
NAM.4.1_1,NAM.10.5_1,42.0,0
NAM.4.1_1,NAM.7.11_1,23.0,0
NAM.4.1_1,NAM.6.5_1,17.0,0
NAM.4.1_1,NAM.10.6_1,29.0,0
NAM.4.1_1,NAM.7.5_1,5.0,0
NAM.4.1_1,NAM.7.2_1,14.0,0
NAM.4.1_1,NAM.10.7_1,15.0,0
NAM.4.1_1,NAM.10.10_1,2.0,0
NAM.4.1_1,NAM.10.4_1,3.0,0
NAM.4.1_1,NAM.7.3_1,15.0,0
NAM.4.1_1,NAM.10.8_1,11.0,0
NAM.4.1_1,NAM.7.10_1,10.0,0
NAM.4.1_1,NAM.10.2_1,4.0,0
NAM.4.1_1,NAM.12.4_1,8.0,0
NAM.4.1_1,NAM.9.3_1,25.0,0
NAM.4.1_1,NAM.8.6_1,2.0,0
NAM.4.1_1,NAM.9.2_1,6.0,0
NAM.4.1_1,NAM.12.6_1,15.0,0
NAM.4.1_1,NAM.9.9_1,9.0,0
NAM.4.1_1,NAM.9.8_1,4.0,0
NAM.4.1_1,NAM.9.6_1,11.0,0
NAM.4.1_1,NAM.8.7_1,5.0,0
NAM.4.1_1,NAM.9.4_1,3.0,0
NAM.4.1_1,NAM.9.1_1,7.0,0
NAM.4.1_1,NAM.6.2_1,1.0,0
NAM.4.1_1,NAM.9.5_1,4.0,0
NAM.4.1_1,NAM.9.12_1,10.0,0
NAM.4.1_1,NAM.9.10_1,16.0,0
NAM.4.1_1,NAM.2.4_1,5.0,0
NAM.4.1_1,NAM.9.7_1,2.0,0
NAM.4.1_1,NAM.12.2_1,8.0,0
NAM.4.1_1,NAM.9.11_1,2.0,0
NAM.4.1_1,NAM.8.4_1,1.0,0
NAM.4.1_1,NAM.8.3_1,6.0,0
NAM.4.1_1,NAM.5.4_1,14.0,0
NAM.4.1_1,NAM.5.6_1,5.0,0
NAM.4.1_1,NAM.5.2_1,4.0,0
NAM.4.1_1,NAM.5.5_1,7.0,0
NAM.4.1_1,NAM.5.1_1,7.0,0
NAM.4.1_1,NAM.5.7_1,21.0,0
NAM.4.1_1,NAM.13.5_1,2.0,0
NAM.4.1_1,NAM.5.3_1,7.0,0
NAM.4.1_1,NAM.5.8_1,2.0,0
NAM.4.1_1,NAM.5.10_1,16.0,0
NAM.4.1_1,NAM.2.2_1,2.0,0
NAM.4.1_1,NAM.5.9_1,3.0,0
NAM.4.1_1,NAM.6.3_1,1.0,0
NAM.4.1_1,NAM.2.3_1,2.0,0
NAM.4.1_1,NAM.13.6_1,1.0,0
NAM.4.1_1,NAM.6.6_1,2.0,0
NAM.4.1_1,NAM.8.1_1,1.0,0
NAM.4.1_1,NAM.13.3_1,4.0,0
NAM.4.1_1,NAM.3.4_1,2.0,0
NAM.4.1_1,NAM.3.6_1,1.0,0
NAM.4.1_1,NAM.13.2_1,2.0,0
NAM.4.1_1,NAM.6.4_1,2.0,0
NAM.4.1_1,NAM.2.1_1,2.0,0
