origin,destination,flow,time
NER.1_1,NER.2_1,4003.0,0
NER.1_1,NER.8_1,2339.0,0
NER.1_1,NER.4_1,291.0,0
NER.1_1,NER.6_1,127.0,0
NER.1_1,NER.3_1,33.0,0
NER.1_1,NER.7_1,43.0,0
NER.1_1,NER.5_1,10.0,0
NER.2_1,NER.8_1,8165.0,0
NER.2_1,NER.1_1,128.0,0
NER.2_1,NER.4_1,510.0,0
NER.2_1,NER.6_1,255.0,0
NER.2_1,NER.3_1,71.0,0
NER.2_1,NER.7_1,74.0,0
NER.2_1,NER.5_1,24.0,0
NER.3_1,NER.5_1,8731.0,0
NER.3_1,NER.7_1,10576.0,0
NER.3_1,NER.6_1,4003.0,0
NER.3_1,NER.4_1,1618.0,0
NER.3_1,NER.8_1,1005.0,0
NER.3_1,NER.1_1,103.0,0
NER.3_1,NER.2_1,125.0,0
NER.4_1,NER.6_1,30208.0,0
NER.4_1,NER.8_1,9942.0,0
NER.4_1,NER.3_1,2722.0,0
NER.4_1,NER.7_1,2747.0,0
NER.4_1,NER.5_1,593.0,0
NER.4_1,NER.2_1,479.0,0
NER.4_1,NER.1_1,302.0,0
NER.5_1,NER.7_1,9127.0,0
NER.5_1,NER.3_1,866.0,0
NER.5_1,NER.6_1,650.0,0
NER.5_1,NER.4_1,285.0,0
NER.5_1,NER.8_1,171.0,0
NER.5_1,NER.1_1,11.0,0
NER.5_1,NER.2_1,21.0,0
NER.6_1,NER.4_1,30844.0,0
NER.6_1,NER.3_1,7091.0,0
NER.6_1,NER.7_1,6181.0,0
NER.6_1,NER.5_1,1263.0,0
NER.6_1,NER.8_1,4365.0,0
NER.6_1,NER.1_1,392.0,0
NER.6_1,NER.2_1,512.0,0
NER.7_1,NER.5_1,10376.0,0
NER.7_1,NER.3_1,12390.0,0
NER.7_1,NER.6_1,9456.0,0
NER.7_1,NER.4_1,3727.0,0
NER.7_1,NER.8_1,2409.0,0
NER.7_1,NER.1_1,230.0,0
NER.7_1,NER.2_1,309.0,0
NER.8_1,NER.4_1,32127.0,0
NER.8_1,NER.2_1,3072.0,0
NER.8_1,NER.1_1,1938.0,0
NER.8_1,NER.6_1,9341.0,0
NER.8_1,NER.3_1,2911.0,0
NER.8_1,NER.7_1,3137.0,0
NER.8_1,NER.5_1,713.0,0
NER.1_1,NER.1_1,677808.7132714277,0
NER.2_1,NER.2_1,913553.9234432126,0
NER.3_1,NER.3_1,2589963.792564555,0
NER.4_1,NER.4_1,4652323.396912828,0
NER.5_1,NER.5_1,1102011.231845799,0
NER.6_1,NER.6_1,5014217.483434794,0
NER.7_1,NER.7_1,3850832.6108937133,0
NER.8_1,NER.8_1,5270749.435957213,0
