origin,destination,flow,time
NGA.1_1,NGA.17_1,119826.0,0
NGA.1_1,NGA.3_1,31442.0,0
NGA.1_1,NGA.33_1,17063.0,0
NGA.1_1,NGA.11_1,4199.0,0
NGA.1_1,NGA.4_1,5727.0,0
NGA.1_1,NGA.14_1,3186.0,0
NGA.1_1,NGA.9_1,2246.0,0
NGA.1_1,NGA.10_1,2585.0,0
NGA.1_1,NGA.6_1,883.0,0
NGA.1_1,NGA.12_1,1448.0,0
NGA.1_1,NGA.7_1,1606.0,0
NGA.1_1,NGA.23_1,977.0,0
NGA.1_1,NGA.29_1,870.0,0
NGA.1_1,NGA.26_1,484.0,0
NGA.1_1,NGA.13_1,503.0,0
NGA.1_1,NGA.15_1,626.0,0
NGA.1_1,NGA.30_1,606.0,0
NGA.1_1,NGA.25_1,1287.0,0
NGA.1_1,NGA.35_1,281.0,0
NGA.1_1,NGA.32_1,348.0,0
NGA.1_1,NGA.28_1,418.0,0
NGA.1_1,NGA.24_1,194.0,0
NGA.1_1,NGA.31_1,472.0,0
NGA.1_1,NGA.27_1,310.0,0
NGA.1_1,NGA.19_1,392.0,0
NGA.1_1,NGA.5_1,276.0,0
NGA.1_1,NGA.16_1,114.0,0
NGA.1_1,NGA.2_1,159.0,0
NGA.1_1,NGA.20_1,463.0,0
NGA.1_1,NGA.37_1,123.0,0
NGA.1_1,NGA.21_1,210.0,0
NGA.1_1,NGA.22_1,121.0,0
NGA.1_1,NGA.18_1,144.0,0
NGA.1_1,NGA.36_1,80.0,0
NGA.1_1,NGA.34_1,104.0,0
NGA.1_1,NGA.8_1,126.0,0
NGA.2_1,NGA.16_1,100459.0,0
NGA.2_1,NGA.35_1,36977.0,0
NGA.2_1,NGA.8_1,32893.0,0
NGA.2_1,NGA.5_1,16438.0,0
NGA.2_1,NGA.32_1,6479.0,0
NGA.2_1,NGA.36_1,3792.0,0
NGA.2_1,NGA.18_1,4809.0,0
NGA.2_1,NGA.7_1,3615.0,0
NGA.2_1,NGA.26_1,1293.0,0
NGA.2_1,NGA.20_1,4877.0,0
NGA.2_1,NGA.19_1,2133.0,0
NGA.2_1,NGA.9_1,768.0,0
NGA.2_1,NGA.15_1,801.0,0
NGA.2_1,NGA.11_1,498.0,0
NGA.2_1,NGA.21_1,1130.0,0
NGA.2_1,NGA.14_1,547.0,0
NGA.2_1,NGA.23_1,556.0,0
NGA.2_1,NGA.1_1,388.0,0
NGA.2_1,NGA.4_1,507.0,0
NGA.2_1,NGA.3_1,500.0,0
NGA.2_1,NGA.17_1,443.0,0
NGA.2_1,NGA.37_1,314.0,0
NGA.2_1,NGA.27_1,351.0,0
NGA.2_1,NGA.12_1,278.0,0
NGA.2_1,NGA.33_1,402.0,0
NGA.2_1,NGA.13_1,160.0,0
NGA.2_1,NGA.10_1,293.0,0
NGA.2_1,NGA.29_1,206.0,0
NGA.2_1,NGA.6_1,104.0,0
NGA.2_1,NGA.34_1,201.0,0
NGA.2_1,NGA.24_1,124.0,0
NGA.2_1,NGA.30_1,163.0,0
NGA.2_1,NGA.22_1,174.0,0
NGA.2_1,NGA.31_1,226.0,0
NGA.2_1,NGA.28_1,127.0,0
NGA.2_1,NGA.25_1,311.0,0
NGA.3_1,NGA.1_1,122269.0,0
NGA.3_1,NGA.33_1,76633.0,0
NGA.3_1,NGA.17_1,25092.0,0
NGA.3_1,NGA.9_1,11232.0,0
NGA.3_1,NGA.11_1,6365.0,0
NGA.3_1,NGA.4_1,9336.0,0
NGA.3_1,NGA.14_1,5686.0,0
NGA.3_1,NGA.6_1,2541.0,0
NGA.3_1,NGA.10_1,4914.0,0
NGA.3_1,NGA.12_1,3081.0,0
NGA.3_1,NGA.7_1,3336.0,0
NGA.3_1,NGA.23_1,2236.0,0
NGA.3_1,NGA.29_1,1923.0,0
NGA.3_1,NGA.26_1,989.0,0
NGA.3_1,NGA.13_1,1085.0,0
NGA.3_1,NGA.15_1,1360.0,0
NGA.3_1,NGA.30_1,1251.0,0
NGA.3_1,NGA.35_1,724.0,0
NGA.3_1,NGA.25_1,2610.0,0
NGA.3_1,NGA.32_1,716.0,0
NGA.3_1,NGA.28_1,817.0,0
NGA.3_1,NGA.31_1,1079.0,0
NGA.3_1,NGA.24_1,418.0,0
NGA.3_1,NGA.19_1,913.0,0
NGA.3_1,NGA.27_1,568.0,0
NGA.3_1,NGA.5_1,624.0,0
NGA.3_1,NGA.2_1,353.0,0
NGA.3_1,NGA.16_1,277.0,0
NGA.3_1,NGA.20_1,963.0,0
NGA.3_1,NGA.37_1,262.0,0
NGA.3_1,NGA.21_1,456.0,0
NGA.3_1,NGA.18_1,291.0,0
NGA.3_1,NGA.22_1,216.0,0
NGA.3_1,NGA.36_1,165.0,0
NGA.3_1,NGA.34_1,226.0,0
NGA.3_1,NGA.8_1,233.0,0
NGA.4_1,NGA.14_1,131602.0,0
NGA.4_1,NGA.17_1,58854.0,0
NGA.4_1,NGA.1_1,21359.0,0
NGA.4_1,NGA.11_1,11354.0,0
NGA.4_1,NGA.10_1,15289.0,0
NGA.4_1,NGA.12_1,7839.0,0
NGA.4_1,NGA.33_1,9114.0,0
NGA.4_1,NGA.23_1,4272.0,0
NGA.4_1,NGA.3_1,4273.0,0
NGA.4_1,NGA.6_1,1567.0,0
NGA.4_1,NGA.9_1,2157.0,0
NGA.4_1,NGA.29_1,2317.0,0
NGA.4_1,NGA.7_1,2411.0,0
NGA.4_1,NGA.13_1,1246.0,0
NGA.4_1,NGA.26_1,842.0,0
NGA.4_1,NGA.15_1,1339.0,0
NGA.4_1,NGA.30_1,1279.0,0
NGA.4_1,NGA.25_1,2708.0,0
NGA.4_1,NGA.28_1,1003.0,0
NGA.4_1,NGA.24_1,505.0,0
NGA.4_1,NGA.31_1,1125.0,0
NGA.4_1,NGA.27_1,730.0,0
NGA.4_1,NGA.32_1,459.0,0
NGA.4_1,NGA.19_1,870.0,0
NGA.4_1,NGA.35_1,276.0,0
NGA.4_1,NGA.5_1,600.0,0
NGA.4_1,NGA.20_1,1031.0,0
NGA.4_1,NGA.37_1,324.0,0
NGA.4_1,NGA.16_1,222.0,0
NGA.4_1,NGA.22_1,282.0,0
NGA.4_1,NGA.21_1,466.0,0
NGA.4_1,NGA.2_1,237.0,0
NGA.4_1,NGA.18_1,283.0,0
NGA.4_1,NGA.34_1,242.0,0
NGA.4_1,NGA.36_1,150.0,0
NGA.4_1,NGA.8_1,241.0,0
NGA.5_1,NGA.16_1,121048.0,0
NGA.5_1,NGA.18_1,87963.0,0
NGA.5_1,NGA.32_1,32446.0,0
NGA.5_1,NGA.20_1,47322.0,0
NGA.5_1,NGA.36_1,6532.0,0
NGA.5_1,NGA.19_1,11866.0,0
NGA.5_1,NGA.21_1,7767.0,0
NGA.5_1,NGA.2_1,3247.0,0
NGA.5_1,NGA.35_1,2035.0,0
NGA.5_1,NGA.26_1,1557.0,0
NGA.5_1,NGA.8_1,3209.0,0
NGA.5_1,NGA.15_1,1995.0,0
NGA.5_1,NGA.7_1,2390.0,0
NGA.5_1,NGA.37_1,1564.0,0
NGA.5_1,NGA.27_1,1781.0,0
NGA.5_1,NGA.23_1,1286.0,0
NGA.5_1,NGA.11_1,715.0,0
NGA.5_1,NGA.14_1,1091.0,0
NGA.5_1,NGA.34_1,1147.0,0
NGA.5_1,NGA.9_1,769.0,0
NGA.5_1,NGA.22_1,846.0,0
NGA.5_1,NGA.4_1,968.0,0
NGA.5_1,NGA.13_1,557.0,0
NGA.5_1,NGA.12_1,673.0,0
NGA.5_1,NGA.24_1,466.0,0
NGA.5_1,NGA.1_1,498.0,0
NGA.5_1,NGA.17_1,713.0,0
NGA.5_1,NGA.29_1,560.0,0
NGA.5_1,NGA.3_1,670.0,0
NGA.5_1,NGA.30_1,485.0,0
NGA.5_1,NGA.10_1,522.0,0
NGA.5_1,NGA.33_1,614.0,0
NGA.5_1,NGA.31_1,624.0,0
NGA.5_1,NGA.6_1,174.0,0
