origin,destination,flow,time
NIC.1_1,NIC.9_1,30764.0,0
NIC.1_1,NIC.15_1,11836.0,0
NIC.1_1,NIC.2_1,3872.0,0
NIC.1_1,NIC.16_1,1856.0,0
NIC.1_1,NIC.3_1,988.0,0
NIC.1_1,NIC.6_1,774.0,0
NIC.1_1,NIC.12_1,755.0,0
NIC.1_1,NIC.7_1,934.0,0
NIC.1_1,NIC.13_1,3759.0,0
NIC.1_1,NIC.14_1,548.0,0
NIC.1_1,NIC.10_1,54.0,0
NIC.1_1,NIC.11_1,473.0,0
NIC.1_1,NIC.8_1,185.0,0
NIC.1_1,NIC.17_1,210.0,0
NIC.1_1,NIC.4_1,199.0,0
NIC.1_1,NIC.5_1,349.0,0
NIC.1_1,NIC.18_1,135.0,0
NIC.2_1,NIC.6_1,11777.0,0
NIC.2_1,NIC.17_1,6768.0,0
NIC.2_1,NIC.3_1,4773.0,0
NIC.2_1,NIC.15_1,8450.0,0
NIC.2_1,NIC.10_1,276.0,0
NIC.2_1,NIC.1_1,3109.0,0
NIC.2_1,NIC.8_1,528.0,0
NIC.2_1,NIC.18_1,481.0,0
NIC.2_1,NIC.14_1,880.0,0
NIC.2_1,NIC.9_1,1070.0,0
NIC.2_1,NIC.13_1,1628.0,0
NIC.2_1,NIC.4_1,123.0,0
NIC.2_1,NIC.7_1,155.0,0
NIC.2_1,NIC.11_1,216.0,0
NIC.2_1,NIC.16_1,149.0,0
NIC.2_1,NIC.12_1,72.0,0
NIC.2_1,NIC.5_1,187.0,0
NIC.3_1,NIC.15_1,13695.0,0
NIC.3_1,NIC.6_1,564.0,0
NIC.3_1,NIC.14_1,845.0,0
NIC.3_1,NIC.8_1,238.0,0
NIC.3_1,NIC.13_1,1083.0,0
NIC.3_1,NIC.10_1,12.0,0
NIC.3_1,NIC.4_1,55.0,0
NIC.3_1,NIC.18_1,37.0,0
NIC.3_1,NIC.11_1,93.0,0
NIC.3_1,NIC.7_1,52.0,0
NIC.3_1,NIC.2_1,76.0,0
NIC.3_1,NIC.9_1,87.0,0
NIC.3_1,NIC.12_1,14.0,0
NIC.3_1,NIC.16_1,29.0,0
NIC.3_1,NIC.17_1,9.0,0
NIC.3_1,NIC.5_1,33.0,0
NIC.3_1,NIC.1_1,44.0,0
NIC.4_1,NIC.8_1,8211.0,0
NIC.4_1,NIC.14_1,5179.0,0
NIC.4_1,NIC.13_1,3383.0,0
NIC.4_1,NIC.18_1,73.0,0
NIC.4_1,NIC.10_1,17.0,0
NIC.4_1,NIC.11_1,181.0,0
