origin,destination,flow,time
NLD.14.50_1,NLD.14.51_1,128.0,0
NLD.14.50_1,NLD.14.4_1,70.0,0
NLD.14.50_1,NLD.14.36_1,40.0,0
NLD.14.50_1,NLD.14.59_1,6.0,0
NLD.14.50_1,NLD.14.9_1,16.0,0
NLD.14.50_1,NLD.14.63_1,11.0,0
NLD.14.50_1,NLD.14.18_1,14.0,0
NLD.14.50_1,NLD.14.52_1,1.0,0
NLD.14.50_1,NLD.14.31_1,3.0,0
NLD.14.50_1,NLD.14.60_1,2.0,0
NLD.14.50_1,NLD.14.48_1,1.0,0
NLD.14.50_1,NLD.14.91_1,1.0,0
NLD.14.50_1,NLD.14.27_1,2.0,0
NLD.14.50_1,NLD.14.10_1,1.0,0
NLD.14.50_1,NLD.14.29_1,1.0,0
NLD.14.50_1,NLD.14.13_1,1.0,0
NLD.14.50_1,NLD.14.5_1,1.0,0
NLD.14.50_1,NLD.14.70_1,1.0,0
NLD.14.50_1,NLD.14.75_1,1.0,0
NLD.14.50_1,NLD.14.89_1,1.0,0
NLD.14.50_1,NLD.14.26_1,1.0,0
NLD.14.50_1,NLD.14.65_1,1.0,0
NLD.14.50_1,NLD.11.27_1,1.0,0
NLD.14.51_1,NLD.14.50_1,117.0,0
NLD.14.51_1,NLD.14.4_1,39.0,0
NLD.14.51_1,NLD.14.31_1,20.0,0
NLD.14.51_1,NLD.14.60_1,3.0,0
NLD.14.51_1,NLD.14.63_1,1.0,0
NLD.14.51_1,NLD.14.36_1,3.0,0
NLD.14.51_1,NLD.14.59_1,1.0,0
NLD.14.51_1,NLD.14.28_1,1.0,0
NLD.14.51_1,NLD.14.73_1,1.0,0
NLD.14.51_1,NLD.14.91_1,2.0,0
NLD.14.51_1,NLD.14.18_1,3.0,0
NLD.14.51_1,NLD.14.23_1,2.0,0
NLD.14.51_1,NLD.14.8_1,1.0,0
NLD.14.51_1,NLD.14.82_1,2.0,0
NLD.14.52_1,NLD.14.59_1,102.0,0
NLD.14.52_1,NLD.14.48_1,43.0,0
NLD.14.52_1,NLD.14.18_1,63.0,0
NLD.14.52_1,NLD.14.36_1,6.0,0
NLD.14.52_1,NLD.14.88_1,1.0,0
NLD.14.52_1,NLD.14.50_1,3.0,0
NLD.14.52_1,NLD.14.10_1,1.0,0
NLD.14.52_1,NLD.14.27_1,5.0,0
NLD.14.52_1,NLD.14.14_1,1.0,0
NLD.14.52_1,NLD.14.63_1,1.0,0
NLD.14.52_1,NLD.14.11_1,3.0,0
NLD.14.52_1,NLD.14.89_1,2.0,0
NLD.14.52_1,NLD.14.31_1,1.0,0
NLD.14.52_1,NLD.14.8_1,3.0,0
NLD.14.52_1,NLD.14.61_1,1.0,0
NLD.14.52_1,NLD.14.21_1,1.0,0
NLD.14.52_1,NLD.14.2_1,1.0,0
NLD.14.53_1,NLD.14.41_1,124.0,0
NLD.14.53_1,NLD.14.76_1,20.0,0
NLD.14.53_1,NLD.14.15_1,30.0,0
NLD.14.53_1,NLD.11.31_1,17.0,0
NLD.14.53_1,NLD.14.7_1,6.0,0
NLD.14.53_1,NLD.11.9_1,2.0,0
NLD.14.53_1,NLD.9.50_1,3.0,0
NLD.14.53_1,NLD.14.33_1,1.0,0
NLD.14.53_1,NLD.14.62_1,1.0,0
NLD.14.53_1,NLD.9.1_1,1.0,0
NLD.14.53_1,NLD.14.65_1,1.0,0
NLD.14.53_1,NLD.9.3_1,3.0,0
NLD.14.53_1,NLD.9.23_1,3.0,0
NLD.14.53_1,NLD.14.43_1,1.0,0
NLD.14.53_1,NLD.14.72_1,1.0,0
NLD.14.53_1,NLD.14.89_1,1.0,0
NLD.14.53_1,NLD.11.6_1,1.0,0
NLD.14.59_1,NLD.14.52_1,114.0,0
NLD.14.59_1,NLD.14.48_1,24.0,0
NLD.14.59_1,NLD.14.50_1,20.0,0
NLD.14.59_1,NLD.14.9_1,4.0,0
NLD.14.59_1,NLD.14.36_1,9.0,0
NLD.14.59_1,NLD.14.18_1,10.0,0
NLD.14.59_1,NLD.14.27_1,2.0,0
NLD.14.59_1,NLD.14.79_1,2.0,0
NLD.14.59_1,NLD.14.82_1,1.0,0
NLD.14.59_1,NLD.14.89_1,2.0,0
NLD.14.59_1,NLD.14.61_1,1.0,0
NLD.14.59_1,NLD.14.13_1,1.0,0
NLD.14.59_1,NLD.14.78_1,1.0,0
NLD.14.59_1,NLD.11.27_1,1.0,0
NLD.14.60_1,NLD.14.4_1,236.0,0
NLD.14.60_1,NLD.14.31_1,123.0,0
NLD.14.60_1,NLD.14.73_1,38.0,0
NLD.14.60_1,NLD.14.23_1,76.0,0
NLD.14.60_1,NLD.14.51_1,3.0,0
NLD.14.60_1,NLD.14.91_1,15.0,0
NLD.14.60_1,NLD.14.28_1,1.0,0
NLD.14.60_1,NLD.14.63_1,5.0,0
NLD.14.60_1,NLD.14.50_1,7.0,0
NLD.14.60_1,NLD.14.29_1,3.0,0
NLD.14.60_1,NLD.14.36_1,2.0,0
NLD.14.60_1,NLD.14.8_1,6.0,0
NLD.14.60_1,NLD.14.13_1,3.0,0
NLD.14.60_1,NLD.14.18_1,4.0,0
NLD.14.60_1,NLD.8.19_1,2.0,0
NLD.14.60_1,NLD.14.48_1,2.0,0
NLD.14.60_1,NLD.14.26_1,1.0,0
NLD.14.60_1,NLD.14.19_1,1.0,0
NLD.14.60_1,NLD.14.58_1,1.0,0
NLD.14.60_1,NLD.8.68_1,1.0,0
NLD.14.60_1,NLD.11.23_1,1.0,0
NLD.14.60_1,NLD.14.70_1,1.0,0
NLD.14.60_1,NLD.8.46_1,1.0,0
NLD.14.60_1,NLD.14.74_1,2.0,0
NLD.14.60_1,NLD.8.2_1,1.0,0
NLD.14.60_1,NLD.14.67_1,2.0,0
NLD.14.60_1,NLD.14.89_1,1.0,0
NLD.14.60_1,NLD.14.7_1,1.0,0
NLD.14.60_1,NLD.8.26_1,1.0,0
NLD.14.60_1,NLD.14.2_1,1.0,0
NLD.14.60_1,NLD.9.49_1,1.0,0
NLD.11.5_1,NLD.11.20_1,231.0,0
NLD.11.5_1,NLD.11.17_1,82.0,0
NLD.11.5_1,NLD.11.9_1,76.0,0
NLD.11.5_1,NLD.11.31_1,72.0,0
NLD.11.5_1,NLD.9.59_1,14.0,0
NLD.11.5_1,NLD.11.27_1,69.0,0
NLD.11.5_1,NLD.11.1_1,1.0,0
NLD.11.5_1,NLD.14.53_1,1.0,0
NLD.11.5_1,NLD.11.21_1,1.0,0
NLD.11.5_1,NLD.9.29_1,4.0,0
NLD.11.5_1,NLD.9.50_1,1.0,0
NLD.11.5_1,NLD.11.14_1,4.0,0
NLD.11.5_1,NLD.9.3_1,1.0,0
NLD.11.5_1,NLD.11.22_1,3.0,0
NLD.11.5_1,NLD.9.13_1,1.0,0
NLD.11.5_1,NLD.9.1_1,1.0,0
NLD.11.5_1,NLD.11.4_1,1.0,0
NLD.11.5_1,NLD.9.31_1,1.0,0
NLD.11.5_1,NLD.11.13_1,1.0,0
NLD.11.5_1,NLD.9.4_1,8.0,0
NLD.11.5_1,NLD.9.23_1,1.0,0
NLD.11.5_1,NLD.2.1_1,1.0,0
NLD.11.5_1,NLD.14.38_1,1.0,0
NLD.11.5_1,NLD.9.63_1,1.0,0
NLD.11.5_1,NLD.14.29_1,1.0,0
NLD.11.5_1,NLD.4.60_1,1.0,0
NLD.8.16_1,NLD.7.28_1,116.0,0
NLD.8.16_1,NLD.8.41_1,100.0,0
NLD.8.16_1,NLD.4.32_1,70.0,0
NLD.8.16_1,NLD.8.28_1,36.0,0
NLD.8.16_1,NLD.4.27_1,24.0,0
NLD.8.16_1,NLD.7.9_1,27.0,0
NLD.8.16_1,NLD.8.54_1,11.0,0
NLD.8.16_1,NLD.8.12_1,18.0,0
NLD.8.16_1,NLD.8.36_1,4.0,0
NLD.8.16_1,NLD.4.44_1,47.0,0
NLD.8.16_1,NLD.4.65_1,4.0,0
NLD.8.16_1,NLD.8.59_1,2.0,0
NLD.8.16_1,NLD.4.57_1,2.0,0
NLD.8.16_1,NLD.4.7_1,1.0,0
NLD.8.16_1,NLD.8.47_1,4.0,0
NLD.8.16_1,NLD.8.25_1,1.0,0
NLD.8.16_1,NLD.4.37_1,2.0,0
NLD.8.16_1,NLD.7.5_1,1.0,0
NLD.8.16_1,NLD.8.8_1,1.0,0
NLD.8.16_1,NLD.8.61_1,3.0,0
NLD.8.16_1,NLD.4.47_1,1.0,0
NLD.8.16_1,NLD.7.45_1,1.0,0
NLD.8.16_1,NLD.8.35_1,1.0,0
NLD.8.16_1,NLD.4.17_1,1.0,0
NLD.8.16_1,NLD.4.34_1,1.0,0
NLD.8.16_1,NLD.8.32_1,1.0,0
NLD.8.16_1,NLD.4.60_1,2.0,0
NLD.8.16_1,NLD.4.4_1,3.0,0
NLD.8.16_1,NLD.7.16_1,1.0,0
NLD.8.16_1,NLD.4.62_1,1.0,0
NLD.8.16_1,NLD.8.1_1,1.0,0
NLD.8.16_1,NLD.8.55_1,1.0,0
NLD.8.16_1,NLD.8.21_1,2.0,0
NLD.8.16_1,NLD.4.24_1,1.0,0
NLD.8.16_1,NLD.4.42_1,1.0,0
NLD.8.16_1,NLD.11.24_1,1.0,0
NLD.8.23_1,NLD.8.46_1,283.0,0
NLD.8.23_1,NLD.8.66_1,26.0,0
NLD.8.23_1,NLD.8.19_1,20.0,0
NLD.8.23_1,NLD.8.18_1,10.0,0
NLD.8.23_1,NLD.8.65_1,18.0,0
NLD.8.23_1,NLD.8.68_1,5.0,0
NLD.8.23_1,NLD.8.38_1,9.0,0
NLD.8.23_1,NLD.8.2_1,2.0,0
NLD.8.23_1,NLD.8.14_1,19.0,0
NLD.8.23_1,NLD.14.23_1,2.0,0
NLD.8.23_1,NLD.8.26_1,1.0,0
NLD.8.23_1,NLD.14.73_1,1.0,0
