origin,destination,flow,time
NOR.1.1_1,NOR.1.8_1,102.0,0
NOR.1.1_1,NOR.1.18_1,45.0,0
NOR.1.1_1,NOR.1.21_1,9.0,0
NOR.1.1_1,NOR.1.15_1,14.0,0
NOR.1.1_1,NOR.4.9_1,2.0,0
NOR.1.1_1,NOR.1.6_1,1.0,0
NOR.1.1_1,NOR.4.20_1,1.0,0
NOR.1.1_1,NOR.2.2_1,3.0,0
NOR.1.1_1,NOR.2.11_1,3.0,0
NOR.1.1_1,NOR.2.22_1,1.0,0
NOR.1.1_1,NOR.1.11_1,3.0,0
NOR.1.1_1,NOR.1.2_1,2.0,0
NOR.1.1_1,NOR.19.9_1,1.0,0
NOR.1.1_1,NOR.1.7_1,2.0,0
NOR.1.1_1,NOR.2.17_1,2.0,0
NOR.1.1_1,NOR.1.4_1,5.0,0
NOR.1.1_1,NOR.12.1_1,2.0,0
NOR.1.1_1,NOR.4.2_1,1.0,0
NOR.1.1_1,NOR.6.16_1,1.0,0
NOR.1.1_1,NOR.6.17_1,1.0,0
NOR.1.3_1,NOR.2.16_1,10.0,0
NOR.1.3_1,NOR.1.7_1,71.0,0
NOR.1.3_1,NOR.2.21_1,18.0,0
NOR.1.3_1,NOR.1.19_1,24.0,0
NOR.1.3_1,NOR.1.6_1,9.0,0
NOR.1.3_1,NOR.1.16_1,9.0,0
NOR.1.3_1,NOR.1.13_1,10.0,0
NOR.1.3_1,NOR.1.17_1,9.0,0
NOR.1.3_1,NOR.2.2_1,1.0,0
NOR.1.3_1,NOR.2.20_1,1.0,0
NOR.1.3_1,NOR.1.18_1,1.0,0
NOR.1.3_1,NOR.1.20_1,2.0,0
NOR.1.3_1,NOR.6.16_1,1.0,0
NOR.1.3_1,NOR.1.15_1,1.0,0
NOR.1.3_1,NOR.1.14_1,1.0,0
NOR.1.3_1,NOR.12.1_1,2.0,0
NOR.1.3_1,NOR.19.12_1,1.0,0
NOR.1.3_1,NOR.19.14_1,1.0,0
NOR.1.10_1,NOR.1.5_1,25.0,0
