origin,destination,flow,time
NPL.1_1,NPL.5_1,51259.0,0
NPL.1_1,NPL.2_1,51152.0,0
NPL.1_1,NPL.4_1,11546.0,0
NPL.1_1,NPL.3_1,10979.0,0
NPL.2_1,NPL.1_1,63310.0,0
NPL.2_1,NPL.5_1,6170.0,0
NPL.2_1,NPL.4_1,3377.0,0
NPL.2_1,NPL.3_1,3239.0,0
NPL.3_1,NPL.4_1,17152.0,0
NPL.3_1,NPL.5_1,8063.0,0
NPL.3_1,NPL.1_1,6934.0,0
NPL.3_1,NPL.2_1,1442.0,0
NPL.4_1,NPL.3_1,16708.0,0
NPL.4_1,NPL.5_1,5568.0,0
NPL.4_1,NPL.1_1,4694.0,0
NPL.4_1,NPL.2_1,980.0,0
NPL.5_1,NPL.4_1,18691.0,0
NPL.5_1,NPL.1_1,17278.0,0
NPL.5_1,NPL.3_1,1440.0,0
NPL.5_1,NPL.2_1,1962.0,0
NPL.1_1,NPL.1_1,12368699.456963848,0
NPL.2_1,NPL.2_1,7533505.208963913,0
NPL.3_1,NPL.3_1,3325522.57465128,0
NPL.4_1,NPL.4_1,2767059.6069095,0
NPL.5_1,NPL.5_1,3897732.191155318,0
