origin,destination,flow,time
OMN.1_1,OMN.3_1,36834.0,0
OMN.1_1,OMN.7_1,12407.0,0
OMN.1_1,OMN.5_1,8016.0,0
OMN.1_1,OMN.11_1,16582.0,0
OMN.1_1,OMN.2_1,6009.0,0
OMN.1_1,OMN.8_1,904.0,0
OMN.1_1,OMN.6_1,1070.0,0
OMN.1_1,OMN.4_1,741.0,0
OMN.1_1,OMN.10_1,524.0,0
OMN.1_1,OMN.9_1,1887.0,0
OMN.2_1,OMN.4_1,15820.0,0
OMN.2_1,OMN.3_1,26714.0,0
OMN.2_1,OMN.5_1,8984.0,0
OMN.2_1,OMN.1_1,14448.0,0
OMN.2_1,OMN.10_1,1325.0,0
OMN.2_1,OMN.11_1,8158.0,0
OMN.2_1,OMN.7_1,1499.0,0
OMN.2_1,OMN.8_1,639.0,0
OMN.2_1,OMN.6_1,799.0,0
OMN.2_1,OMN.9_1,1531.0,0
OMN.3_1,OMN.11_1,37047.0,0
OMN.3_1,OMN.2_1,5369.0,0
OMN.3_1,OMN.1_1,2847.0,0
OMN.3_1,OMN.5_1,667.0,0
OMN.3_1,OMN.7_1,613.0,0
OMN.3_1,OMN.4_1,279.0,0
OMN.3_1,OMN.8_1,230.0,0
OMN.3_1,OMN.10_1,166.0,0
OMN.3_1,OMN.6_1,269.0,0
OMN.3_1,OMN.9_1,578.0,0
OMN.4_1,OMN.2_1,13433.0,0
OMN.4_1,OMN.5_1,612.0,0
OMN.4_1,OMN.10_1,159.0,0
OMN.4_1,OMN.3_1,501.0,0
OMN.4_1,OMN.1_1,446.0,0
OMN.4_1,OMN.11_1,252.0,0
OMN.4_1,OMN.7_1,55.0,0
OMN.4_1,OMN.6_1,32.0,0
OMN.4_1,OMN.8_1,19.0,0
OMN.4_1,OMN.9_1,66.0,0
OMN.5_1,OMN.2_1,22786.0,0
OMN.5_1,OMN.4_1,1047.0,0
OMN.5_1,OMN.1_1,2968.0,0
OMN.5_1,OMN.3_1,773.0,0
OMN.5_1,OMN.11_1,1096.0,0
OMN.5_1,OMN.6_1,97.0,0
OMN.5_1,OMN.7_1,164.0,0
OMN.5_1,OMN.10_1,66.0,0
OMN.5_1,OMN.8_1,81.0,0
OMN.5_1,OMN.9_1,207.0,0
OMN.6_1,OMN.1_1,17207.0,0
OMN.6_1,OMN.7_1,909.0,0
OMN.6_1,OMN.5_1,554.0,0
OMN.6_1,OMN.8_1,223.0,0
OMN.6_1,OMN.3_1,467.0,0
OMN.6_1,OMN.9_1,325.0,0
OMN.6_1,OMN.11_1,435.0,0
OMN.6_1,OMN.2_1,182.0,0
OMN.6_1,OMN.4_1,32.0,0
OMN.6_1,OMN.10_1,20.0,0
OMN.7_1,OMN.8_1,11235.0,0
OMN.7_1,OMN.1_1,14212.0,0
OMN.7_1,OMN.11_1,3562.0,0
OMN.7_1,OMN.3_1,705.0,0
OMN.7_1,OMN.6_1,251.0,0
OMN.7_1,OMN.5_1,300.0,0
OMN.7_1,OMN.2_1,569.0,0
OMN.7_1,OMN.4_1,91.0,0
OMN.7_1,OMN.10_1,70.0,0
OMN.7_1,OMN.9_1,268.0,0
OMN.8_1,OMN.7_1,10770.0,0
OMN.8_1,OMN.11_1,3931.0,0
OMN.8_1,OMN.1_1,568.0,0
OMN.8_1,OMN.3_1,190.0,0
OMN.8_1,OMN.6_1,77.0,0
OMN.8_1,OMN.5_1,80.0,0
OMN.8_1,OMN.2_1,164.0,0
OMN.8_1,OMN.4_1,19.0,0
OMN.8_1,OMN.10_1,13.0,0
OMN.8_1,OMN.9_1,57.0,0
OMN.9_1,OMN.6_1,15696.0,0
OMN.9_1,OMN.5_1,11135.0,0
OMN.9_1,OMN.1_1,11911.0,0
OMN.9_1,OMN.7_1,1998.0,0
OMN.9_1,OMN.8_1,785.0,0
OMN.9_1,OMN.3_1,1852.0,0
OMN.9_1,OMN.4_1,445.0,0
OMN.9_1,OMN.2_1,1724.0,0
OMN.9_1,OMN.11_1,1540.0,0
OMN.9_1,OMN.10_1,118.0,0
OMN.10_1,OMN.4_1,6796.0,0
OMN.10_1,OMN.2_1,3878.0,0
OMN.10_1,OMN.3_1,412.0,0
OMN.10_1,OMN.5_1,141.0,0
OMN.10_1,OMN.11_1,312.0,0
OMN.10_1,OMN.1_1,101.0,0
OMN.10_1,OMN.7_1,25.0,0
OMN.10_1,OMN.8_1,16.0,0
OMN.10_1,OMN.6_1,14.0,0
OMN.10_1,OMN.9_1,31.0,0
OMN.11_1,OMN.3_1,43050.0,0
OMN.11_1,OMN.7_1,16310.0,0
OMN.11_1,OMN.1_1,25443.0,0
OMN.11_1,OMN.8_1,3190.0,0
OMN.11_1,OMN.2_1,11488.0,0
OMN.11_1,OMN.5_1,3021.0,0
OMN.11_1,OMN.4_1,1432.0,0
OMN.11_1,OMN.6_1,1827.0,0
OMN.11_1,OMN.10_1,961.0,0
OMN.11_1,OMN.9_1,3281.0,0
OMN.1_1,OMN.1_1,764767.6273659464,0
OMN.2_1,OMN.2_1,719260.0917908904,0
OMN.3_1,OMN.3_1,432588.0502149579,0
OMN.4_1,OMN.4_1,140181.7209014655,0
OMN.5_1,OMN.5_1,263573.0897141043,0
OMN.6_1,OMN.6_1,183187.4059787751,0
OMN.7_1,OMN.7_1,281372.8053476574,0
OMN.8_1,OMN.8_1,142829.0133689403,0
OMN.9_1,OMN.9_1,424836.76586980856,0
OMN.10_1,OMN.10_1,105540.8457370518,0
OMN.11_1,OMN.11_1,990031.7994598352,0
