origin,destination,flow,time
PAN.9.3_1,PAN.7.1_1,9582.0,0
PAN.9.3_1,PAN.9.1_1,637.0,0
PAN.9.3_1,PAN.7.6_1,600.0,0
PAN.9.3_1,PAN.7.5_1,395.0,0
PAN.9.3_1,PAN.9.4_1,294.0,0
PAN.9.3_1,PAN.9.2_1,704.0,0
PAN.9.3_1,PAN.7.3_1,150.0,0
PAN.9.3_1,PAN.7.7_1,113.0,0
PAN.9.3_1,PAN.9.6_1,53.0,0
PAN.9.3_1,PAN.7.4_1,232.0,0
PAN.9.3_1,PAN.3.1_1,474.0,0
PAN.9.3_1,PAN.7.2_1,61.0,0
PAN.9.3_1,PAN.9.7_1,91.0,0
PAN.9.3_1,PAN.13.1_1,70.0,0
PAN.9.3_1,PAN.9.5_1,36.0,0
PAN.9.3_1,PAN.13.10_1,460.0,0
PAN.9.3_1,PAN.3.4_1,63.0,0
PAN.9.3_1,PAN.13.2_1,33.0,0
PAN.9.3_1,PAN.3.2_1,152.0,0
PAN.9.3_1,PAN.3.5_1,14.0,0
PAN.9.3_1,PAN.13.7_1,9.0,0
PAN.9.3_1,PAN.13.8_1,19.0,0
PAN.9.3_1,PAN.13.6_1,25.0,0
PAN.9.3_1,PAN.11.6_1,42.0,0
PAN.9.3_1,PAN.3.6_1,129.0,0
PAN.9.3_1,PAN.13.4_1,12.0,0
PAN.9.3_1,PAN.3.3_1,34.0,0
PAN.9.3_1,PAN.13.11_1,29.0,0
PAN.9.3_1,PAN.11.3_1,25.0,0
PAN.9.3_1,PAN.13.9_1,7.0,0
PAN.9.3_1,PAN.13.3_1,16.0,0
PAN.9.3_1,PAN.11.2_1,25.0,0
PAN.9.3_1,PAN.13.5_1,15.0,0
PAN.9.3_1,PAN.4.3_1,10.0,0
PAN.9.3_1,PAN.10.7_1,18.0,0
PAN.9.3_1,PAN.11.7_1,2.0,0
PAN.9.3_1,PAN.11.4_1,93.0,0
PAN.9.3_1,PAN.2.13_1,4.0,0
PAN.9.3_1,PAN.4.1_1,2.0,0
PAN.9.3_1,PAN.10.5_1,14.0,0
PAN.9.3_1,PAN.11.1_1,65.0,0
PAN.9.3_1,PAN.2.9_1,1.0,0
PAN.9.3_1,PAN.10.3_1,12.0,0
PAN.9.3_1,PAN.4.4_1,2.0,0
PAN.9.3_1,PAN.10.6_1,7.0,0
PAN.9.3_1,PAN.2.11_1,1.0,0
PAN.9.3_1,PAN.12.7_1,73.0,0
PAN.9.3_1,PAN.4.2_1,29.0,0
PAN.9.3_1,PAN.10.4_1,2.0,0
PAN.9.3_1,PAN.12.1_1,2.0,0
PAN.9.3_1,PAN.12.6_1,67.0,0
PAN.9.3_1,PAN.10.1_1,1.0,0
PAN.9.3_1,PAN.2.12_1,1.0,0
PAN.9.3_1,PAN.10.2_1,3.0,0
PAN.9.3_1,PAN.2.6_1,4.0,0
