origin,destination,flow,time
PER.2.14_1,PER.16.1_1,279.0,0
PER.2.14_1,PER.16.2_1,2.0,0
PER.2.14_1,PER.2.4_1,6.0,0
PER.2.14_1,PER.16.7_1,7.0,0
PER.2.14_1,PER.2.11_1,1.0,0
PER.2.14_1,PER.20.1_1,1.0,0
PER.2.14_1,PER.2.9_1,1.0,0
PER.2.14_1,PER.16.5_1,3.0,0
PER.2.14_1,PER.2.10_1,1.0,0
PER.2.14_1,PER.7.1_1,2.0,0
PER.2.14_1,PER.2.18_1,1.0,0
PER.2.15_1,PER.2.8_1,123.0,0
PER.2.15_1,PER.13.10_1,261.0,0
PER.2.15_1,PER.2.19_1,42.0,0
PER.2.15_1,PER.13.9_1,88.0,0
PER.2.15_1,PER.13.5_1,8.0,0
PER.2.15_1,PER.13.8_1,15.0,0
PER.2.15_1,PER.2.16_1,1.0,0
PER.2.15_1,PER.2.12_1,3.0,0
PER.2.15_1,PER.13.12_1,16.0,0
PER.2.15_1,PER.2.18_1,18.0,0
PER.2.15_1,PER.13.6_1,1.0,0
PER.2.15_1,PER.2.20_1,2.0,0
PER.2.15_1,PER.13.11_1,3.0,0
PER.2.15_1,PER.6.2_1,1.0,0
PER.2.15_1,PER.14.1_1,1.0,0
PER.2.15_1,PER.23.6_1,1.0,0
PER.2.15_1,PER.7.1_1,1.0,0
PER.2.16_1,PER.2.13_1,254.0,0
PER.2.16_1,PER.2.19_1,90.0,0
PER.2.16_1,PER.2.6_1,53.0,0
PER.2.16_1,PER.2.12_1,52.0,0
PER.2.16_1,PER.2.8_1,3.0,0
PER.2.16_1,PER.2.3_1,5.0,0
PER.2.16_1,PER.2.2_1,9.0,0
PER.2.16_1,PER.2.20_1,18.0,0
PER.2.16_1,PER.2.5_1,9.0,0
PER.2.16_1,PER.13.8_1,7.0,0
PER.2.16_1,PER.2.15_1,3.0,0
PER.2.16_1,PER.10.3_1,2.0,0
PER.2.16_1,PER.10.8_1,4.0,0
PER.2.16_1,PER.2.10_1,2.0,0
PER.2.16_1,PER.2.9_1,9.0,0
PER.2.16_1,PER.2.18_1,13.0,0
PER.2.16_1,PER.13.10_1,1.0,0
PER.2.16_1,PER.23.10_1,2.0,0
PER.2.16_1,PER.13.9_1,1.0,0
PER.2.16_1,PER.2.7_1,1.0,0
PER.2.16_1,PER.13.12_1,1.0,0
PER.2.16_1,PER.13.6_1,1.0,0
PER.2.16_1,PER.10.7_1,1.0,0
PER.2.16_1,PER.23.1_1,1.0,0
PER.2.16_1,PER.13.11_1,3.0,0
PER.2.16_1,PER.16.1_1,1.0,0
PER.2.16_1,PER.6.11_1,1.0,0
PER.2.16_1,PER.15.1_1,2.0,0
PER.2.17_1,PER.2.1_1,104.0,0
PER.2.17_1,PER.2.4_1,149.0,0
PER.2.17_1,PER.2.9_1,90.0,0
