origin,destination,flow,time
POL.1_1,POL.8_1,15801.0,0
POL.1_1,POL.5_1,10486.0,0
POL.1_1,POL.15_1,16757.0,0
POL.1_1,POL.12_1,8456.0,0
POL.1_1,POL.3_1,2588.0,0
POL.1_1,POL.2_1,1631.0,0
POL.1_1,POL.16_1,1091.0,0
POL.1_1,POL.6_1,1645.0,0
POL.1_1,POL.13_1,468.0,0
POL.1_1,POL.7_1,1586.0,0
POL.1_1,POL.11_1,548.0,0
POL.1_1,POL.9_1,403.0,0
POL.1_1,POL.14_1,256.0,0
POL.1_1,POL.4_1,348.0,0
POL.1_1,POL.10_1,154.0,0
POL.2_1,POL.15_1,27664.0,0
POL.2_1,POL.11_1,4945.0,0
POL.2_1,POL.3_1,2674.0,0
POL.2_1,POL.14_1,1065.0,0
POL.2_1,POL.7_1,2498.0,0
POL.2_1,POL.16_1,452.0,0
POL.2_1,POL.5_1,268.0,0
POL.2_1,POL.1_1,657.0,0
POL.2_1,POL.8_1,163.0,0
POL.2_1,POL.10_1,158.0,0
POL.2_1,POL.13_1,178.0,0
POL.2_1,POL.12_1,481.0,0
POL.2_1,POL.4_1,198.0,0
POL.2_1,POL.6_1,222.0,0
POL.2_1,POL.9_1,157.0,0
POL.3_1,POL.13_1,17495.0,0
POL.3_1,POL.7_1,20337.0,0
POL.3_1,POL.12_1,4546.0,0
POL.3_1,POL.8_1,582.0,0
POL.3_1,POL.15_1,1681.0,0
POL.3_1,POL.2_1,768.0,0
POL.3_1,POL.6_1,901.0,0
POL.3_1,POL.1_1,615.0,0
POL.3_1,POL.4_1,357.0,0
POL.3_1,POL.9_1,307.0,0
POL.3_1,POL.14_1,195.0,0
POL.3_1,POL.5_1,126.0,0
POL.3_1,POL.11_1,216.0,0
POL.3_1,POL.10_1,110.0,0
POL.3_1,POL.16_1,158.0,0
POL.4_1,POL.9_1,22365.0,0
POL.4_1,POL.13_1,5078.0,0
POL.4_1,POL.7_1,8495.0,0
POL.4_1,POL.10_1,895.0,0
POL.4_1,POL.6_1,1674.0,0
POL.4_1,POL.3_1,893.0,0
POL.4_1,POL.12_1,992.0,0
POL.4_1,POL.14_1,258.0,0
POL.4_1,POL.8_1,183.0,0
POL.4_1,POL.2_1,285.0,0
POL.4_1,POL.15_1,378.0,0
POL.4_1,POL.1_1,285.0,0
POL.4_1,POL.11_1,175.0,0
POL.4_1,POL.5_1,72.0,0
POL.4_1,POL.16_1,135.0,0
POL.5_1,POL.15_1,16112.0,0
POL.5_1,POL.1_1,1904.0,0
POL.5_1,POL.16_1,523.0,0
POL.5_1,POL.2_1,437.0,0
POL.5_1,POL.8_1,122.0,0
POL.5_1,POL.11_1,285.0,0
POL.5_1,POL.3_1,183.0,0
POL.5_1,POL.12_1,257.0,0
POL.5_1,POL.7_1,182.0,0
POL.5_1,POL.13_1,26.0,0
POL.5_1,POL.14_1,46.0,0
POL.5_1,POL.6_1,60.0,0
POL.5_1,POL.10_1,25.0,0
POL.5_1,POL.4_1,16.0,0
POL.5_1,POL.9_1,31.0,0
POL.6_1,POL.12_1,41875.0,0
POL.6_1,POL.13_1,4389.0,0
POL.6_1,POL.9_1,5177.0,0
POL.6_1,POL.8_1,1802.0,0
POL.6_1,POL.3_1,3382.0,0
POL.6_1,POL.4_1,2201.0,0
POL.6_1,POL.7_1,3691.0,0
POL.6_1,POL.1_1,1419.0,0
POL.6_1,POL.15_1,1178.0,0
POL.6_1,POL.2_1,587.0,0
POL.6_1,POL.10_1,287.0,0
POL.6_1,POL.5_1,279.0,0
POL.6_1,POL.14_1,320.0,0
POL.6_1,POL.11_1,416.0,0
POL.6_1,POL.16_1,274.0,0
POL.7_1,POL.3_1,38601.0,0
POL.7_1,POL.10_1,11319.0,0
POL.7_1,POL.14_1,10324.0,0
POL.7_1,POL.4_1,10769.0,0
POL.7_1,POL.13_1,4920.0,0
POL.7_1,POL.2_1,6464.0,0
POL.7_1,POL.15_1,7833.0,0
POL.7_1,POL.12_1,6476.0,0
POL.7_1,POL.9_1,2350.0,0
POL.7_1,POL.6_1,2902.0,0
POL.7_1,POL.11_1,1693.0,0
POL.7_1,POL.8_1,652.0,0
POL.7_1,POL.1_1,1816.0,0
POL.7_1,POL.5_1,529.0,0
POL.7_1,POL.16_1,820.0,0
POL.8_1,POL.12_1,16061.0,0
POL.8_1,POL.1_1,1293.0,0
POL.8_1,POL.3_1,484.0,0
POL.8_1,POL.6_1,381.0,0
POL.8_1,POL.15_1,243.0,0
POL.8_1,POL.13_1,63.0,0
POL.8_1,POL.5_1,45.0,0
POL.8_1,POL.2_1,80.0,0
POL.8_1,POL.7_1,158.0,0
POL.8_1,POL.9_1,58.0,0
POL.8_1,POL.4_1,50.0,0
POL.8_1,POL.16_1,30.0,0
POL.8_1,POL.11_1,42.0,0
POL.8_1,POL.14_1,26.0,0
POL.8_1,POL.10_1,12.0,0
POL.9_1,POL.13_1,16410.0,0
POL.9_1,POL.6_1,14438.0,0
POL.9_1,POL.4_1,3429.0,0
POL.9_1,POL.12_1,3436.0,0
POL.9_1,POL.3_1,1095.0,0
POL.9_1,POL.7_1,1479.0,0
POL.9_1,POL.8_1,167.0,0
POL.9_1,POL.10_1,210.0,0
POL.9_1,POL.1_1,454.0,0
POL.9_1,POL.2_1,254.0,0
POL.9_1,POL.15_1,356.0,0
POL.9_1,POL.14_1,148.0,0
POL.9_1,POL.5_1,85.0,0
POL.9_1,POL.11_1,194.0,0
POL.9_1,POL.16_1,100.0,0
POL.10_1,POL.14_1,13342.0,0
POL.10_1,POL.7_1,7251.0,0
POL.10_1,POL.4_1,715.0,0
POL.10_1,POL.2_1,478.0,0
POL.10_1,POL.3_1,408.0,0
POL.10_1,POL.13_1,163.0,0
POL.10_1,POL.11_1,234.0,0
POL.10_1,POL.9_1,160.0,0
POL.10_1,POL.15_1,225.0,0
POL.10_1,POL.6_1,145.0,0
POL.10_1,POL.12_1,142.0,0
POL.10_1,POL.8_1,26.0,0
POL.10_1,POL.16_1,41.0,0
POL.10_1,POL.1_1,72.0,0
POL.10_1,POL.5_1,17.0,0
POL.11_1,POL.2_1,23387.0,0
POL.11_1,POL.16_1,7300.0,0
