origin,destination,flow,time
PRT.1_1,PRT.20_1,2381.0,0
PRT.1_1,PRT.15_1,2968.0,0
PRT.1_1,PRT.7_1,229.0,0
PRT.1_1,PRT.4_1,290.0,0
PRT.1_1,PRT.10_1,54.0,0
PRT.1_1,PRT.11_1,105.0,0
PRT.1_1,PRT.19_1,47.0,0
PRT.1_1,PRT.6_1,43.0,0
PRT.1_1,PRT.18_1,52.0,0
PRT.1_1,PRT.16_1,67.0,0
PRT.1_1,PRT.5_1,21.0,0
PRT.1_1,PRT.14_1,20.0,0
PRT.1_1,PRT.12_1,234.0,0
PRT.1_1,PRT.8_1,13.0,0
PRT.1_1,PRT.17_1,62.0,0
PRT.1_1,PRT.3_1,5.0,0
PRT.1_1,PRT.9_1,16.0,0
PRT.1_1,PRT.13_1,9.0,0
PRT.1_1,PRT.2_1,7.0,0
PRT.2_1,PRT.13_1,1204.0,0
PRT.2_1,PRT.12_1,857.0,0
PRT.2_1,PRT.11_1,27.0,0
PRT.2_1,PRT.17_1,36.0,0
PRT.2_1,PRT.16_1,9.0,0
PRT.2_1,PRT.1_1,12.0,0
PRT.2_1,PRT.18_1,5.0,0
PRT.2_1,PRT.7_1,6.0,0
PRT.2_1,PRT.15_1,27.0,0
PRT.2_1,PRT.4_1,13.0,0
PRT.2_1,PRT.20_1,2.0,0
PRT.2_1,PRT.8_1,2.0,0
PRT.2_1,PRT.3_1,1.0,0
PRT.2_1,PRT.14_1,2.0,0
PRT.2_1,PRT.19_1,2.0,0
PRT.2_1,PRT.6_1,2.0,0
PRT.2_1,PRT.10_1,1.0,0
PRT.2_1,PRT.5_1,2.0,0
PRT.3_1,PRT.9_1,1111.0,0
PRT.3_1,PRT.17_1,169.0,0
PRT.3_1,PRT.8_1,9.0,0
PRT.3_1,PRT.14_1,8.0,0
PRT.3_1,PRT.12_1,57.0,0
PRT.3_1,PRT.16_1,5.0,0
PRT.3_1,PRT.11_1,3.0,0
PRT.3_1,PRT.6_1,1.0,0
PRT.3_1,PRT.7_1,4.0,0
PRT.3_1,PRT.10_1,2.0,0
PRT.3_1,PRT.1_1,2.0,0
PRT.3_1,PRT.20_1,4.0,0
PRT.3_1,PRT.15_1,4.0,0
PRT.3_1,PRT.4_1,1.0,0
PRT.3_1,PRT.5_1,1.0,0
PRT.3_1,PRT.13_1,1.0,0
PRT.4_1,PRT.15_1,5979.0,0
PRT.4_1,PRT.18_1,220.0,0
PRT.4_1,PRT.19_1,155.0,0
PRT.4_1,PRT.20_1,253.0,0
PRT.4_1,PRT.1_1,335.0,0
PRT.4_1,PRT.5_1,50.0,0
PRT.4_1,PRT.10_1,56.0,0
PRT.4_1,PRT.7_1,160.0,0
PRT.4_1,PRT.6_1,53.0,0
PRT.4_1,PRT.11_1,133.0,0
PRT.4_1,PRT.16_1,99.0,0
PRT.4_1,PRT.14_1,16.0,0
PRT.4_1,PRT.12_1,309.0,0
PRT.4_1,PRT.8_1,18.0,0
PRT.4_1,PRT.17_1,89.0,0
PRT.4_1,PRT.3_1,11.0,0
PRT.4_1,PRT.9_1,36.0,0
PRT.4_1,PRT.13_1,15.0,0
PRT.4_1,PRT.2_1,17.0,0
PRT.5_1,PRT.19_1,744.0,0
PRT.5_1,PRT.10_1,128.0,0
PRT.5_1,PRT.20_1,137.0,0
PRT.5_1,PRT.4_1,112.0,0
PRT.5_1,PRT.15_1,51.0,0
PRT.5_1,PRT.18_1,4.0,0
PRT.5_1,PRT.1_1,10.0,0
PRT.5_1,PRT.7_1,3.0,0
PRT.5_1,PRT.11_1,2.0,0
PRT.5_1,PRT.16_1,6.0,0
PRT.5_1,PRT.12_1,12.0,0
PRT.5_1,PRT.17_1,3.0,0
PRT.5_1,PRT.2_1,1.0,0
PRT.6_1,PRT.7_1,1258.0,0
PRT.6_1,PRT.10_1,111.0,0
PRT.6_1,PRT.14_1,55.0,0
PRT.6_1,PRT.20_1,125.0,0
PRT.6_1,PRT.16_1,66.0,0
PRT.6_1,PRT.11_1,39.0,0
PRT.6_1,PRT.1_1,46.0,0
PRT.6_1,PRT.8_1,5.0,0
PRT.6_1,PRT.15_1,43.0,0
PRT.6_1,PRT.12_1,18.0,0
PRT.6_1,PRT.5_1,1.0,0
PRT.6_1,PRT.4_1,4.0,0
PRT.6_1,PRT.17_1,3.0,0
PRT.6_1,PRT.9_1,2.0,0
PRT.6_1,PRT.13_1,2.0,0
PRT.7_1,PRT.1_1,2596.0,0
PRT.7_1,PRT.11_1,446.0,0
PRT.7_1,PRT.6_1,105.0,0
PRT.7_1,PRT.20_1,190.0,0
PRT.7_1,PRT.16_1,144.0,0
PRT.7_1,PRT.10_1,39.0,0
PRT.7_1,PRT.15_1,259.0,0
PRT.7_1,PRT.14_1,7.0,0
PRT.7_1,PRT.4_1,54.0,0
PRT.7_1,PRT.12_1,96.0,0
PRT.7_1,PRT.19_1,7.0,0
PRT.7_1,PRT.8_1,3.0,0
PRT.7_1,PRT.18_1,10.0,0
PRT.7_1,PRT.5_1,2.0,0
PRT.7_1,PRT.17_1,22.0,0
PRT.7_1,PRT.3_1,1.0,0
PRT.7_1,PRT.9_1,5.0,0
PRT.7_1,PRT.13_1,2.0,0
PRT.8_1,PRT.14_1,644.0,0
PRT.8_1,PRT.17_1,716.0,0
PRT.8_1,PRT.3_1,25.0,0
PRT.8_1,PRT.16_1,39.0,0
PRT.8_1,PRT.12_1,80.0,0
PRT.8_1,PRT.11_1,7.0,0
PRT.8_1,PRT.6_1,3.0,0
PRT.8_1,PRT.9_1,4.0,0
PRT.8_1,PRT.7_1,2.0,0
PRT.8_1,PRT.1_1,2.0,0
PRT.8_1,PRT.20_1,1.0,0
PRT.8_1,PRT.15_1,8.0,0
PRT.8_1,PRT.19_1,1.0,0
PRT.8_1,PRT.4_1,4.0,0
PRT.8_1,PRT.5_1,1.0,0
PRT.9_1,PRT.3_1,1098.0,0
PRT.9_1,PRT.17_1,2302.0,0
PRT.9_1,PRT.8_1,152.0,0
PRT.9_1,PRT.12_1,837.0,0
PRT.9_1,PRT.14_1,13.0,0
PRT.9_1,PRT.16_1,63.0,0
PRT.9_1,PRT.11_1,65.0,0
PRT.9_1,PRT.6_1,14.0,0
PRT.9_1,PRT.7_1,42.0,0
PRT.9_1,PRT.10_1,14.0,0
PRT.9_1,PRT.1_1,45.0,0
PRT.9_1,PRT.20_1,16.0,0
PRT.9_1,PRT.15_1,66.0,0
PRT.9_1,PRT.4_1,17.0,0
PRT.9_1,PRT.19_1,6.0,0
PRT.9_1,PRT.5_1,6.0,0
PRT.9_1,PRT.18_1,9.0,0
PRT.9_1,PRT.13_1,9.0,0
PRT.9_1,PRT.2_1,6.0,0
PRT.10_1,PRT.20_1,1005.0,0
PRT.10_1,PRT.6_1,100.0,0
PRT.10_1,PRT.5_1,51.0,0
PRT.10_1,PRT.1_1,112.0,0
PRT.10_1,PRT.7_1,45.0,0
PRT.10_1,PRT.19_1,16.0,0
PRT.10_1,PRT.15_1,33.0,0
PRT.10_1,PRT.4_1,11.0,0
PRT.10_1,PRT.14_1,1.0,0
PRT.10_1,PRT.11_1,6.0,0
PRT.10_1,PRT.16_1,1.0,0
PRT.10_1,PRT.8_1,1.0,0
PRT.10_1,PRT.12_1,9.0,0
PRT.10_1,PRT.17_1,3.0,0
PRT.10_1,PRT.9_1,2.0,0
PRT.11_1,PRT.16_1,2366.0,0
PRT.11_1,PRT.7_1,723.0,0
PRT.11_1,PRT.12_1,1071.0,0
PRT.11_1,PRT.6_1,28.0,0
