origin,destination,flow,time
PRY.1_1,PRY.5_1,1454.0,0
PRY.1_1,PRY.10_1,325.0,0
PRY.1_1,PRY.17_1,33.0,0
PRY.1_1,PRY.3_1,27.0,0
PRY.1_1,PRY.18_1,23.0,0
PRY.1_1,PRY.4_1,14.0,0
PRY.1_1,PRY.11_1,3.0,0
PRY.1_1,PRY.9_1,14.0,0
PRY.1_1,PRY.16_1,1.0,0
PRY.1_1,PRY.15_1,1.0,0
PRY.1_1,PRY.7_1,1.0,0
PRY.2_1,PRY.6_1,37137.0,0
PRY.2_1,PRY.8_1,8689.0,0
PRY.2_1,PRY.12_1,5726.0,0
PRY.2_1,PRY.7_1,3858.0,0
PRY.2_1,PRY.13_1,8796.0,0
PRY.2_1,PRY.11_1,3088.0,0
PRY.2_1,PRY.18_1,3387.0,0
PRY.2_1,PRY.16_1,1764.0,0
PRY.2_1,PRY.9_1,8524.0,0
PRY.2_1,PRY.4_1,1151.0,0
PRY.2_1,PRY.14_1,223.0,0
PRY.2_1,PRY.3_1,319.0,0
PRY.2_1,PRY.15_1,155.0,0
PRY.2_1,PRY.10_1,424.0,0
PRY.2_1,PRY.17_1,228.0,0
PRY.2_1,PRY.1_1,24.0,0
PRY.2_1,PRY.5_1,103.0,0
PRY.3_1,PRY.10_1,10218.0,0
PRY.3_1,PRY.18_1,3687.0,0
PRY.3_1,PRY.8_1,858.0,0
PRY.3_1,PRY.6_1,1035.0,0
PRY.3_1,PRY.11_1,301.0,0
PRY.3_1,PRY.17_1,107.0,0
PRY.3_1,PRY.2_1,436.0,0
PRY.3_1,PRY.4_1,176.0,0
PRY.3_1,PRY.12_1,58.0,0
PRY.3_1,PRY.9_1,342.0,0
PRY.3_1,PRY.16_1,18.0,0
PRY.3_1,PRY.7_1,25.0,0
PRY.3_1,PRY.1_1,3.0,0
PRY.3_1,PRY.13_1,42.0,0
PRY.3_1,PRY.14_1,9.0,0
PRY.3_1,PRY.15_1,3.0,0
PRY.3_1,PRY.5_1,4.0,0
PRY.4_1,PRY.9_1,43961.0,0
PRY.4_1,PRY.11_1,993.0,0
PRY.4_1,PRY.16_1,698.0,0
PRY.4_1,PRY.12_1,523.0,0
PRY.4_1,PRY.18_1,879.0,0
