origin,destination,flow,time
PYF.1_1,PYF.5_1,2001.0,0
PYF.1_1,PYF.2_1,1323.0,0
PYF.1_1,PYF.4_1,23.0,0
PYF.1_1,PYF.3_1,1.0,0
PYF.2_1,PYF.4_1,68323.0,0
PYF.2_1,PYF.5_1,16441.0,0
PYF.2_1,PYF.1_1,10685.0,0
PYF.2_1,PYF.3_1,10771.0,0
PYF.3_1,PYF.5_1,2161.0,0
PYF.3_1,PYF.2_1,1412.0,0
PYF.3_1,PYF.4_1,10.0,0
PYF.3_1,PYF.1_1,2.0,0
PYF.4_1,PYF.2_1,16555.0,0
PYF.4_1,PYF.5_1,91.0,0
PYF.4_1,PYF.1_1,65.0,0
PYF.4_1,PYF.3_1,66.0,0
PYF.5_1,PYF.2_1,4853.0,0
PYF.5_1,PYF.4_1,24.0,0
PYF.5_1,PYF.1_1,2.0,0
PYF.5_1,PYF.3_1,4.0,0
PYF.1_1,PYF.1_1,3348.6723053641604,0
PYF.2_1,PYF.2_1,106220.67626571651,0
PYF.3_1,PYF.3_1,3585.66050994396,0
PYF.4_1,PYF.4_1,16777.0072311163,0
PYF.5_1,PYF.5_1,4883.175213493405,0
