origin,destination,flow,time
QAT.1_1,QAT.7_1,26656.0,0
QAT.1_1,QAT.2_1,10867.0,0
QAT.1_1,QAT.5_1,123198.0,0
QAT.1_1,QAT.4_1,26577.0,0
QAT.1_1,QAT.3_1,22420.0,0
QAT.1_1,QAT.6_1,721.0,0
QAT.2_1,QAT.7_1,5176.0,0
QAT.2_1,QAT.1_1,2057.0,0
QAT.2_1,QAT.3_1,50.0,0
QAT.2_1,QAT.5_1,60.0,0
QAT.2_1,QAT.4_1,15.0,0
QAT.3_1,QAT.6_1,2503.0,0
QAT.3_1,QAT.2_1,6946.0,0
QAT.3_1,QAT.7_1,11286.0,0
QAT.3_1,QAT.1_1,34223.0,0
QAT.3_1,QAT.5_1,4574.0,0
QAT.3_1,QAT.4_1,1094.0,0
QAT.4_1,QAT.5_1,43963.0,0
QAT.4_1,QAT.1_1,9131.0,0
QAT.4_1,QAT.7_1,337.0,0
QAT.4_1,QAT.2_1,122.0,0
QAT.4_1,QAT.3_1,1016.0,0
QAT.4_1,QAT.6_1,49.0,0
QAT.5_1,QAT.7_1,20319.0,0
QAT.5_1,QAT.1_1,99046.0,0
QAT.5_1,QAT.4_1,9656.0,0
QAT.5_1,QAT.2_1,1062.0,0
QAT.5_1,QAT.3_1,7769.0,0
QAT.5_1,QAT.6_1,277.0,0
QAT.6_1,QAT.3_1,2220.0,0
QAT.6_1,QAT.2_1,16.0,0
QAT.6_1,QAT.7_1,12.0,0
QAT.6_1,QAT.1_1,37.0,0
QAT.6_1,QAT.5_1,5.0,0
QAT.6_1,QAT.4_1,1.0,0
QAT.7_1,QAT.2_1,5267.0,0
QAT.7_1,QAT.1_1,10521.0,0
QAT.7_1,QAT.3_1,226.0,0
QAT.7_1,QAT.5_1,302.0,0
QAT.7_1,QAT.6_1,4.0,0
QAT.7_1,QAT.4_1,73.0,0
QAT.1_1,QAT.1_1,841758.60459356,0
QAT.2_1,QAT.2_1,29432.322035980236,0
QAT.3_1,QAT.3_1,242505.68179244958,0
QAT.4_1,QAT.4_1,218472.48206723284,0
QAT.5_1,QAT.5_1,552516.1266666712,0
QAT.6_1,QAT.6_1,9167.896393585199,0
QAT.7_1,QAT.7_1,65573.69101562497,0
