origin,destination,flow,time
REU.3.2_1,REU.3.1_1,142.0,0
REU.3.2_1,REU.3.4_1,67.0,0
REU.3.2_1,REU.4.6_1,21.0,0
REU.3.2_1,REU.3.3_1,1.0,0
REU.3.2_1,REU.4.1_1,2.0,0
REU.3.2_1,REU.4.8_1,7.0,0
REU.3.2_1,REU.3.5_1,6.0,0
REU.3.2_1,REU.4.3_1,1.0,0
REU.3.2_1,REU.4.4_1,1.0,0
REU.3.2_1,REU.2.3_1,1.0,0
REU.1.1_1,REU.1.3_1,242.0,0
REU.1.1_1,REU.1.4_1,18.0,0
REU.1.1_1,REU.2.5_1,9.0,0
REU.1.1_1,REU.1.6_1,1.0,0
REU.1.1_1,REU.2.4_1,7.0,0
REU.1.1_1,REU.2.3_1,10.0,0
REU.1.1_1,REU.2.1_1,5.0,0
REU.1.1_1,REU.4.3_1,5.0,0
REU.1.1_1,REU.3.3_1,1.0,0
REU.1.1_1,REU.3.4_1,1.0,0
REU.1.1_1,REU.4.8_1,1.0,0
REU.1.1_1,REU.3.1_1,1.0,0
REU.1.2_1,REU.1.4_1,131.0,0
REU.1.2_1,REU.4.3_1,21.0,0
REU.1.2_1,REU.4.5_1,2.0,0
REU.1.2_1,REU.1.6_1,1.0,0
REU.1.2_1,REU.4.1_1,2.0,0
REU.1.2_1,REU.4.7_1,1.0,0
REU.1.2_1,REU.1.3_1,1.0,0
REU.2.3_1,REU.2.1_1,828.0,0
REU.2.3_1,REU.2.4_1,403.0,0
REU.2.3_1,REU.1.6_1,76.0,0
REU.2.3_1,REU.2.2_1,261.0,0
REU.2.3_1,REU.2.5_1,169.0,0
REU.2.3_1,REU.3.5_1,508.0,0
REU.2.3_1,REU.1.3_1,156.0,0
REU.2.3_1,REU.1.1_1,40.0,0
REU.2.3_1,REU.3.3_1,17.0,0
REU.2.3_1,REU.4.1_1,10.0,0
REU.2.3_1,REU.1.4_1,69.0,0
REU.2.3_1,REU.3.4_1,70.0,0
REU.2.3_1,REU.4.2_1,9.0,0
REU.2.3_1,REU.1.2_1,16.0,0
REU.2.3_1,REU.3.2_1,16.0,0
REU.2.3_1,REU.4.6_1,66.0,0
REU.2.3_1,REU.4.3_1,77.0,0
REU.2.3_1,REU.3.1_1,14.0,0
REU.2.3_1,REU.4.8_1,57.0,0
REU.2.3_1,REU.1.5_1,4.0,0
REU.2.3_1,REU.4.5_1,23.0,0
REU.2.3_1,REU.4.4_1,2.0,0
REU.2.3_1,REU.4.7_1,7.0,0
REU.1.3_1,REU.2.5_1,391.0,0
REU.1.3_1,REU.1.1_1,130.0,0
REU.1.3_1,REU.2.4_1,179.0,0
REU.1.3_1,REU.1.4_1,113.0,0
REU.1.3_1,REU.1.6_1,16.0,0
REU.1.3_1,REU.2.3_1,183.0,0
REU.1.3_1,REU.1.2_1,4.0,0
REU.1.3_1,REU.2.1_1,25.0,0
REU.1.3_1,REU.4.1_1,2.0,0
REU.1.3_1,REU.1.5_1,1.0,0
REU.1.3_1,REU.4.2_1,2.0,0
REU.1.3_1,REU.4.3_1,32.0,0
REU.1.3_1,REU.3.5_1,23.0,0
REU.1.3_1,REU.2.2_1,6.0,0
REU.1.3_1,REU.3.3_1,1.0,0
REU.1.3_1,REU.4.6_1,6.0,0
REU.1.3_1,REU.4.5_1,9.0,0
REU.1.3_1,REU.3.4_1,3.0,0
REU.1.3_1,REU.4.8_1,11.0,0
REU.1.3_1,REU.3.1_1,3.0,0
REU.1.3_1,REU.4.4_1,3.0,0
REU.2.1_1,REU.2.3_1,701.0,0
REU.2.1_1,REU.3.5_1,66.0,0
REU.2.1_1,REU.2.2_1,16.0,0
REU.2.1_1,REU.1.6_1,4.0,0
REU.2.1_1,REU.3.3_1,2.0,0
REU.2.1_1,REU.2.4_1,9.0,0
REU.2.1_1,REU.4.1_1,2.0,0
REU.2.1_1,REU.3.4_1,11.0,0
REU.2.1_1,REU.2.5_1,9.0,0
REU.2.1_1,REU.1.1_1,1.0,0
REU.2.1_1,REU.4.2_1,3.0,0
