origin,destination,flow,time
ROU.2.28_1,ROU.2.48_1,19.0,0
ROU.2.28_1,ROU.2.22_1,20.0,0
ROU.2.28_1,ROU.2.1_1,23.0,0
ROU.2.28_1,ROU.2.11_1,4.0,0
ROU.2.28_1,ROU.2.69_1,5.0,0
ROU.2.28_1,ROU.2.21_1,3.0,0
ROU.2.28_1,ROU.5.22_1,2.0,0
ROU.2.28_1,ROU.2.30_1,5.0,0
ROU.2.28_1,ROU.2.39_1,1.0,0
ROU.2.28_1,ROU.5.93_1,2.0,0
ROU.2.28_1,ROU.2.52_1,4.0,0
ROU.2.28_1,ROU.23.65_1,2.0,0
ROU.2.28_1,ROU.5.49_1,1.0,0
ROU.2.28_1,ROU.5.64_1,1.0,0
ROU.2.28_1,ROU.2.31_1,1.0,0
ROU.2.28_1,ROU.5.40_1,1.0,0
ROU.2.28_1,ROU.23.12_1,4.0,0
ROU.2.28_1,ROU.23.34_1,1.0,0
ROU.2.28_1,ROU.2.3_1,1.0,0
ROU.2.28_1,ROU.23.33_1,1.0,0
ROU.2.28_1,ROU.14.27_1,1.0,0
ROU.21.47_1,ROU.21.29_1,54.0,0
ROU.21.47_1,ROU.21.18_1,33.0,0
ROU.21.47_1,ROU.21.28_1,72.0,0
ROU.21.47_1,ROU.21.62_1,13.0,0
ROU.21.47_1,ROU.21.7_1,28.0,0
ROU.21.47_1,ROU.21.37_1,9.0,0
ROU.21.47_1,ROU.21.8_1,13.0,0
ROU.21.47_1,ROU.21.27_1,1.0,0
ROU.21.47_1,ROU.21.22_1,4.0,0
ROU.21.47_1,ROU.21.40_1,5.0,0
ROU.21.47_1,ROU.21.54_1,2.0,0
ROU.21.47_1,ROU.21.26_1,8.0,0
ROU.21.47_1,ROU.21.30_1,2.0,0
ROU.21.47_1,ROU.21.68_1,2.0,0
ROU.21.47_1,ROU.21.60_1,15.0,0
ROU.21.47_1,ROU.21.38_1,3.0,0
ROU.21.47_1,ROU.21.50_1,1.0,0
ROU.21.47_1,ROU.21.63_1,1.0,0
ROU.21.47_1,ROU.21.12_1,1.0,0
ROU.21.47_1,ROU.21.67_1,5.0,0
ROU.21.47_1,ROU.21.43_1,1.0,0
ROU.21.47_1,ROU.21.53_1,2.0,0
ROU.21.47_1,ROU.21.42_1,1.0,0
ROU.21.47_1,ROU.21.59_1,1.0,0
ROU.21.47_1,ROU.21.66_1,1.0,0
ROU.21.47_1,ROU.21.4_1,1.0,0
ROU.21.47_1,ROU.21.55_1,1.0,0
ROU.21.47_1,ROU.21.17_1,1.0,0
ROU.21.47_1,ROU.23.40_1,1.0,0
ROU.21.47_1,ROU.23.68_1,1.0,0
ROU.21.47_1,ROU.40.6_1,1.0,0
ROU.21.47_1,ROU.23.50_1,1.0,0
ROU.21.47_1,ROU.23.46_1,1.0,0
ROU.21.47_1,ROU.28.18_1,1.0,0
ROU.21.47_1,ROU.18.33_1,1.0,0
ROU.21.47_1,ROU.40.57_1,1.0,0
ROU.21.47_1,ROU.40.60_1,1.0,0
ROU.37.80_1,ROU.37.48_1,91.0,0
ROU.37.80_1,ROU.37.58_1,78.0,0
ROU.37.80_1,ROU.37.60_1,4.0,0
ROU.37.80_1,ROU.37.52_1,9.0,0
ROU.37.80_1,ROU.37.5_1,6.0,0
ROU.37.80_1,ROU.37.55_1,1.0,0
ROU.37.80_1,ROU.37.83_1,8.0,0
ROU.37.80_1,ROU.37.13_1,3.0,0
ROU.37.80_1,ROU.37.38_1,5.0,0
ROU.37.80_1,ROU.37.14_1,6.0,0
ROU.37.80_1,ROU.37.27_1,1.0,0
ROU.37.80_1,ROU.37.21_1,4.0,0
ROU.37.80_1,ROU.37.11_1,1.0,0
ROU.37.80_1,ROU.37.62_1,1.0,0
ROU.37.80_1,ROU.37.40_1,2.0,0
ROU.37.80_1,ROU.37.29_1,1.0,0
ROU.37.80_1,ROU.37.12_1,2.0,0
ROU.37.80_1,ROU.37.43_1,2.0,0
ROU.37.80_1,ROU.37.71_1,2.0,0
ROU.37.80_1,ROU.37.65_1,1.0,0
ROU.37.80_1,ROU.37.36_1,2.0,0
ROU.37.80_1,ROU.37.35_1,1.0,0
ROU.37.80_1,ROU.37.25_1,2.0,0
ROU.37.80_1,ROU.37.59_1,1.0,0
ROU.37.80_1,ROU.37.78_1,1.0,0
ROU.37.80_1,ROU.37.82_1,3.0,0
ROU.37.80_1,ROU.37.54_1,1.0,0
ROU.37.80_1,ROU.31.71_1,1.0,0
ROU.37.80_1,ROU.37.49_1,2.0,0
ROU.37.80_1,ROU.37.1_1,3.0,0
ROU.37.80_1,ROU.37.81_1,1.0,0
ROU.37.80_1,ROU.37.85_1,1.0,0
ROU.37.80_1,ROU.37.24_1,1.0,0
ROU.37.80_1,ROU.37.87_1,1.0,0
ROU.37.80_1,ROU.37.79_1,1.0,0
ROU.37.80_1,ROU.37.37_1,1.0,0
ROU.37.80_1,ROU.31.49_1,1.0,0
ROU.37.80_1,ROU.37.86_1,1.0,0
ROU.37.80_1,ROU.31.78_1,1.0,0
ROU.37.80_1,ROU.31.34_1,1.0,0
ROU.37.80_1,ROU.37.39_1,1.0,0
ROU.37.80_1,ROU.31.31_1,1.0,0
ROU.37.80_1,ROU.18.3_1,1.0,0
ROU.37.80_1,ROU.31.73_1,1.0,0
ROU.37.80_1,ROU.3.73_1,1.0,0
ROU.37.80_1,ROU.10.1_1,1.0,0
ROU.1.65_1,ROU.1.74_1,24.0,0
ROU.1.65_1,ROU.1.56_1,6.0,0
ROU.1.65_1,ROU.1.1_1,8.0,0
ROU.1.65_1,ROU.1.21_1,1.0,0
ROU.1.65_1,ROU.1.4_1,1.0,0
ROU.1.65_1,ROU.1.39_1,1.0,0
ROU.1.65_1,ROU.1.30_1,1.0,0
ROU.1.65_1,ROU.1.32_1,1.0,0
ROU.1.65_1,ROU.23.24_1,1.0,0
ROU.1.65_1,ROU.23.12_1,1.0,0
ROU.26.22_1,ROU.26.8_1,349.0,0
ROU.26.22_1,ROU.26.34_1,116.0,0
ROU.26.22_1,ROU.26.4_1,13.0,0
ROU.26.22_1,ROU.26.31_1,44.0,0
ROU.26.22_1,ROU.12.18_1,74.0,0
ROU.26.22_1,ROU.26.18_1,1.0,0
ROU.26.22_1,ROU.12.19_1,7.0,0
ROU.26.22_1,ROU.26.25_1,3.0,0
ROU.26.22_1,ROU.26.38_1,1.0,0
ROU.26.22_1,ROU.12.37_1,3.0,0
ROU.26.22_1,ROU.10.1_1,5.0,0
ROU.26.22_1,ROU.26.5_1,1.0,0
ROU.26.22_1,ROU.12.4_1,1.0,0
ROU.26.22_1,ROU.12.35_1,1.0,0
ROU.3.82_1,ROU.3.41_1,36.0,0
ROU.3.82_1,ROU.3.46_1,16.0,0
ROU.3.82_1,ROU.31.53_1,12.0,0
ROU.3.82_1,ROU.31.16_1,2.0,0
ROU.3.82_1,ROU.3.98_1,4.0,0
ROU.3.82_1,ROU.31.18_1,1.0,0
ROU.3.82_1,ROU.3.90_1,1.0,0
ROU.3.82_1,ROU.3.29_1,1.0,0
