origin,destination,flow,time
SHN.1.1_1,SHN.2.5_1,68.0,0
SHN.1.1_1,SHN.2.4_1,35.0,0
SHN.1.1_1,SHN.2.8_1,11.0,0
SHN.1.1_1,SHN.2.3_1,3.0,0
SHN.1.1_1,SHN.2.2_1,3.0,0
SHN.1.1_1,SHN.2.6_1,8.0,0
SHN.1.1_1,SHN.2.7_1,3.0,0
SHN.1.1_1,SHN.2.1_1,2.0,0
SHN.1.1_1,SHN.3.1_1,3.0,0
SHN.2.1_1,SHN.2.6_1,34.0,0
SHN.2.1_1,SHN.2.2_1,1.0,0
SHN.2.1_1,SHN.2.8_1,6.0,0
SHN.2.1_1,SHN.2.5_1,1.0,0
SHN.2.1_1,SHN.2.3_1,1.0,0
SHN.2.1_1,SHN.1.1_1,3.0,0
SHN.2.2_1,SHN.2.4_1,30.0,0
SHN.2.2_1,SHN.2.8_1,7.0,0
SHN.2.2_1,SHN.2.5_1,1.0,0
SHN.2.3_1,SHN.2.8_1,20.0,0
SHN.2.3_1,SHN.2.2_1,2.0,0
SHN.2.4_1,SHN.2.5_1,59.0,0
SHN.2.4_1,SHN.2.2_1,15.0,0
SHN.2.4_1,SHN.2.8_1,21.0,0
SHN.2.4_1,SHN.2.6_1,7.0,0
SHN.2.4_1,SHN.2.3_1,1.0,0
SHN.2.4_1,SHN.2.7_1,2.0,0
SHN.2.4_1,SHN.2.1_1,1.0,0
SHN.2.4_1,SHN.1.1_1,6.0,0
SHN.2.5_1,SHN.2.4_1,58.0,0
SHN.2.5_1,SHN.2.2_1,7.0,0
SHN.2.5_1,SHN.2.8_1,11.0,0
SHN.2.5_1,SHN.2.6_1,10.0,0
SHN.2.5_1,SHN.2.1_1,1.0,0
SHN.2.5_1,SHN.2.3_1,2.0,0
SHN.2.5_1,SHN.1.1_1,3.0,0
SHN.2.5_1,SHN.3.1_1,1.0,0
SHN.2.6_1,SHN.2.2_1,32.0,0
SHN.2.6_1,SHN.2.1_1,19.0,0
SHN.2.6_1,SHN.2.5_1,22.0,0
SHN.2.6_1,SHN.2.4_1,20.0,0
SHN.2.6_1,SHN.2.8_1,14.0,0
SHN.2.6_1,SHN.2.7_1,2.0,0
SHN.2.6_1,SHN.2.3_1,2.0,0
SHN.2.6_1,SHN.1.1_1,9.0,0
SHN.2.7_1,SHN.2.1_1,15.0,0
SHN.2.7_1,SHN.2.8_1,13.0,0
SHN.2.7_1,SHN.2.4_1,1.0,0
SHN.2.7_1,SHN.2.5_1,1.0,0
SHN.2.8_1,SHN.2.4_1,70.0,0
SHN.2.8_1,SHN.2.2_1,15.0,0
SHN.2.8_1,SHN.2.5_1,20.0,0
SHN.2.8_1,SHN.2.3_1,1.0,0
SHN.2.8_1,SHN.2.7_1,1.0,0
SHN.2.8_1,SHN.2.6_1,8.0,0
SHN.2.8_1,SHN.2.1_1,1.0,0
SHN.2.8_1,SHN.1.1_1,5.0,0
SHN.2.8_1,SHN.3.1_1,2.0,0
SHN.3.1_1,SHN.2.3_1,16.0,0
SHN.3.1_1,SHN.2.7_1,14.0,0
SHN.3.1_1,SHN.2.1_1,8.0,0
SHN.3.1_1,SHN.2.8_1,7.0,0
SHN.3.1_1,SHN.2.4_1,2.0,0
SHN.3.1_1,SHN.2.5_1,1.0,0
SHN.3.1_1,SHN.1.1_1,1.0,0
SHN.1.1_1,SHN.1.1_1,547.3105106353761,0
SHN.2.1_1,SHN.2.1_1,186.2471298217776,0
SHN.2.2_1,SHN.2.2_1,154.32879943847684,0
SHN.2.3_1,SHN.2.3_1,89.6339502334592,0
SHN.2.4_1,SHN.2.4_1,450.9755371093752,0
SHN.2.5_1,SHN.2.5_1,374.71705322265603,0
SHN.2.6_1,SHN.2.6_1,481.88984222412086,0
SHN.2.7_1,SHN.2.7_1,123.15622673034642,0
SHN.2.8_1,SHN.2.8_1,493.9011291503904,0
SHN.3.1_1,SHN.3.1_1,199.8870604991912,0
