origin,destination,flow,time
SLV.1_1,SLV.13_1,110046.0,0
SLV.1_1,SLV.12_1,34029.0,0
SLV.1_1,SLV.5_1,18581.0,0
SLV.1_1,SLV.10_1,13812.0,0
SLV.1_1,SLV.3_1,1075.0,0
SLV.1_1,SLV.4_1,1104.0,0
SLV.1_1,SLV.6_1,1178.0,0
SLV.1_1,SLV.2_1,431.0,0
SLV.1_1,SLV.11_1,491.0,0
SLV.1_1,SLV.14_1,931.0,0
SLV.1_1,SLV.9_1,1005.0,0
SLV.1_1,SLV.8_1,365.0,0
SLV.1_1,SLV.7_1,392.0,0
SLV.2_1,SLV.11_1,41176.0,0
SLV.2_1,SLV.4_1,17027.0,0
SLV.2_1,SLV.3_1,5340.0,0
SLV.2_1,SLV.10_1,9638.0,0
SLV.2_1,SLV.6_1,542.0,0
SLV.2_1,SLV.14_1,474.0,0
SLV.2_1,SLV.9_1,455.0,0
SLV.2_1,SLV.8_1,174.0,0
SLV.2_1,SLV.5_1,605.0,0
SLV.2_1,SLV.12_1,263.0,0
SLV.2_1,SLV.7_1,81.0,0
SLV.2_1,SLV.13_1,164.0,0
SLV.2_1,SLV.1_1,121.0,0
SLV.3_1,SLV.4_1,65003.0,0
SLV.3_1,SLV.10_1,40528.0,0
SLV.3_1,SLV.12_1,2552.0,0
SLV.3_1,SLV.2_1,525.0,0
SLV.3_1,SLV.5_1,2018.0,0
SLV.3_1,SLV.11_1,335.0,0
SLV.3_1,SLV.6_1,564.0,0
SLV.3_1,SLV.13_1,630.0,0
SLV.3_1,SLV.1_1,446.0,0
SLV.3_1,SLV.14_1,372.0,0
SLV.3_1,SLV.9_1,342.0,0
SLV.3_1,SLV.8_1,118.0,0
SLV.3_1,SLV.7_1,168.0,0
SLV.4_1,SLV.10_1,124926.0,0
SLV.4_1,SLV.3_1,2263.0,0
SLV.4_1,SLV.2_1,1241.0,0
SLV.4_1,SLV.5_1,4559.0,0
SLV.4_1,SLV.6_1,1314.0,0
SLV.4_1,SLV.11_1,591.0,0
SLV.4_1,SLV.12_1,1521.0,0
SLV.4_1,SLV.13_1,1037.0,0
SLV.4_1,SLV.14_1,639.0,0
SLV.4_1,SLV.9_1,620.0,0
SLV.4_1,SLV.1_1,461.0,0
SLV.4_1,SLV.8_1,197.0,0
SLV.4_1,SLV.7_1,234.0,0
SLV.5_1,SLV.10_1,311292.0,0
SLV.5_1,SLV.13_1,24862.0,0
SLV.5_1,SLV.4_1,11153.0,0
SLV.5_1,SLV.12_1,17345.0,0
SLV.5_1,SLV.6_1,8208.0,0
SLV.5_1,SLV.3_1,4745.0,0
SLV.5_1,SLV.1_1,6589.0,0
SLV.5_1,SLV.11_1,2777.0,0
SLV.5_1,SLV.2_1,2303.0,0
SLV.5_1,SLV.14_1,4759.0,0
SLV.5_1,SLV.9_1,4993.0,0
SLV.5_1,SLV.8_1,1900.0,0
SLV.5_1,SLV.7_1,2227.0,0
SLV.6_1,SLV.11_1,60434.0,0
SLV.6_1,SLV.10_1,92375.0,0
SLV.6_1,SLV.4_1,3272.0,0
SLV.6_1,SLV.5_1,6378.0,0
SLV.6_1,SLV.14_1,1805.0,0
SLV.6_1,SLV.2_1,752.0,0
SLV.6_1,SLV.3_1,959.0,0
SLV.6_1,SLV.9_1,1536.0,0
SLV.6_1,SLV.13_1,1361.0,0
SLV.6_1,SLV.12_1,1329.0,0
SLV.6_1,SLV.8_1,331.0,0
SLV.6_1,SLV.1_1,731.0,0
SLV.6_1,SLV.7_1,353.0,0
SLV.7_1,SLV.8_1,49914.0,0
SLV.7_1,SLV.9_1,31847.0,0
SLV.7_1,SLV.14_1,8711.0,0
SLV.7_1,SLV.11_1,2691.0,0
SLV.7_1,SLV.2_1,1814.0,0
SLV.7_1,SLV.6_1,3012.0,0
SLV.7_1,SLV.4_1,1651.0,0
SLV.7_1,SLV.10_1,4934.0,0
SLV.7_1,SLV.3_1,375.0,0
