origin,destination,flow,time
SMR.1_1,SMR.8_1,96.0,0
SMR.1_1,SMR.2_1,44.0,0
SMR.1_1,SMR.3_1,2.0,0
SMR.1_1,SMR.6_1,4.0,0
SMR.1_1,SMR.4_1,5.0,0
SMR.1_1,SMR.5_1,2.0,0
SMR.1_1,SMR.9_1,3.0,0
SMR.2_1,SMR.8_1,242.0,0
SMR.2_1,SMR.4_1,207.0,0
SMR.2_1,SMR.1_1,43.0,0
SMR.2_1,SMR.5_1,56.0,0
SMR.2_1,SMR.6_1,43.0,0
SMR.2_1,SMR.7_1,12.0,0
SMR.2_1,SMR.9_1,95.0,0
SMR.2_1,SMR.3_1,8.0,0
SMR.3_1,SMR.8_1,78.0,0
SMR.3_1,SMR.6_1,6.0,0
SMR.3_1,SMR.1_1,2.0,0
SMR.3_1,SMR.2_1,8.0,0
SMR.3_1,SMR.5_1,1.0,0
SMR.3_1,SMR.9_1,1.0,0
SMR.4_1,SMR.5_1,135.0,0
SMR.4_1,SMR.9_1,237.0,0
SMR.4_1,SMR.2_1,40.0,0
SMR.4_1,SMR.8_1,7.0,0
SMR.4_1,SMR.7_1,2.0,0
SMR.4_1,SMR.1_1,5.0,0
SMR.4_1,SMR.6_1,5.0,0
SMR.4_1,SMR.3_1,3.0,0
SMR.5_1,SMR.4_1,123.0,0
SMR.5_1,SMR.2_1,30.0,0
SMR.5_1,SMR.7_1,1.0,0
SMR.5_1,SMR.6_1,3.0,0
SMR.5_1,SMR.9_1,5.0,0
SMR.5_1,SMR.8_1,1.0,0
SMR.5_1,SMR.1_1,1.0,0
SMR.6_1,SMR.7_1,67.0,0
SMR.6_1,SMR.8_1,88.0,0
SMR.6_1,SMR.3_1,15.0,0
SMR.6_1,SMR.2_1,42.0,0
SMR.6_1,SMR.5_1,6.0,0
SMR.6_1,SMR.1_1,6.0,0
SMR.6_1,SMR.4_1,9.0,0
SMR.6_1,SMR.9_1,13.0,0
SMR.7_1,SMR.6_1,58.0,0
SMR.7_1,SMR.5_1,6.0,0
SMR.7_1,SMR.8_1,3.0,0
SMR.7_1,SMR.2_1,3.0,0
SMR.7_1,SMR.4_1,3.0,0
SMR.7_1,SMR.9_1,1.0,0
SMR.8_1,SMR.3_1,75.0,0
SMR.8_1,SMR.2_1,157.0,0
SMR.8_1,SMR.1_1,7.0,0
SMR.8_1,SMR.6_1,7.0,0
SMR.8_1,SMR.7_1,1.0,0
SMR.8_1,SMR.5_1,7.0,0
SMR.8_1,SMR.4_1,9.0,0
SMR.8_1,SMR.9_1,9.0,0
SMR.9_1,SMR.4_1,433.0,0
SMR.9_1,SMR.5_1,99.0,0
SMR.9_1,SMR.2_1,233.0,0
SMR.9_1,SMR.1_1,33.0,0
SMR.9_1,SMR.8_1,65.0,0
SMR.9_1,SMR.7_1,11.0,0
SMR.9_1,SMR.6_1,36.0,0
SMR.9_1,SMR.3_1,21.0,0
SMR.1_1,SMR.1_1,1412.165284538265,0
SMR.2_1,SMR.2_1,6360.140821838382,0
SMR.3_1,SMR.3_1,866.3500236511234,0
SMR.4_1,SMR.4_1,3912.8733215332018,0
SMR.5_1,SMR.5_1,1479.021700286862,0
SMR.6_1,SMR.6_1,2222.2534240722694,0
SMR.7_1,SMR.7_1,673.1652694702149,0
SMR.8_1,SMR.8_1,2451.432472229007,0
SMR.9_1,SMR.9_1,8387.213323974607,0
