origin,destination,flow,time
SVK.1_1,SVK.8_1,77132.0,0
SVK.1_1,SVK.4_1,24613.0,0
SVK.1_1,SVK.6_1,11253.0,0
SVK.1_1,SVK.3_1,9332.0,0
SVK.1_1,SVK.5_1,5805.0,0
SVK.1_1,SVK.7_1,2715.0,0
SVK.1_1,SVK.2_1,2296.0,0
SVK.2_1,SVK.7_1,65228.0,0
SVK.2_1,SVK.4_1,26191.0,0
SVK.2_1,SVK.6_1,10982.0,0
SVK.2_1,SVK.1_1,7506.0,0
SVK.2_1,SVK.8_1,4896.0,0
SVK.2_1,SVK.3_1,3983.0,0
SVK.2_1,SVK.5_1,2793.0,0
SVK.3_1,SVK.5_1,98083.0,0
SVK.3_1,SVK.1_1,27558.0,0
SVK.3_1,SVK.8_1,15736.0,0
SVK.3_1,SVK.6_1,8621.0,0
SVK.3_1,SVK.4_1,6983.0,0
SVK.3_1,SVK.7_1,4326.0,0
SVK.3_1,SVK.2_1,3732.0,0
SVK.4_1,SVK.7_1,69017.0,0
SVK.4_1,SVK.6_1,26634.0,0
SVK.4_1,SVK.2_1,14171.0,0
SVK.4_1,SVK.1_1,9179.0,0
SVK.4_1,SVK.8_1,6048.0,0
SVK.4_1,SVK.3_1,4751.0,0
SVK.4_1,SVK.5_1,3434.0,0
SVK.5_1,SVK.3_1,98203.0,0
SVK.5_1,SVK.1_1,28698.0,0
SVK.5_1,SVK.8_1,16632.0,0
SVK.5_1,SVK.6_1,8883.0,0
SVK.5_1,SVK.4_1,7392.0,0
SVK.5_1,SVK.7_1,4461.0,0
SVK.5_1,SVK.2_1,3906.0,0
SVK.6_1,SVK.7_1,63953.0,0
SVK.6_1,SVK.8_1,25198.0,0
SVK.6_1,SVK.4_1,11308.0,0
SVK.6_1,SVK.2_1,5922.0,0
SVK.6_1,SVK.1_1,4366.0,0
SVK.6_1,SVK.5_1,3688.0,0
SVK.6_1,SVK.3_1,2571.0,0
SVK.7_1,SVK.2_1,65008.0,0
SVK.7_1,SVK.4_1,21287.0,0
SVK.7_1,SVK.6_1,8955.0,0
SVK.7_1,SVK.1_1,6232.0,0
SVK.7_1,SVK.8_1,4014.0,0
SVK.7_1,SVK.3_1,3318.0,0
SVK.7_1,SVK.5_1,2415.0,0
SVK.8_1,SVK.1_1,77361.0,0
SVK.8_1,SVK.6_1,24241.0,0
SVK.8_1,SVK.4_1,14386.0,0
SVK.8_1,SVK.5_1,10346.0,0
SVK.8_1,SVK.7_1,4301.0,0
SVK.8_1,SVK.3_1,4618.0,0
SVK.8_1,SVK.2_1,2520.0,0
SVK.1_1,SVK.1_1,532587.096392876,0
SVK.2_1,SVK.2_1,486317.3353351832,0
SVK.3_1,SVK.3_1,660159.9237843513,0
SVK.4_1,SVK.4_1,532936.2161619184,0
SVK.5_1,SVK.5_1,672703.7807643329,0
SVK.6_1,SVK.6_1,468026.12361822167,0
SVK.7_1,SVK.7_1,444919.6738496304,0
SVK.8_1,SVK.8_1,551094.2025871872,0
