origin,destination,flow,time
TCA.1_1,TCA.5_1,5.0,0
TCA.1_1,TCA.6_1,86.0,0
TCA.1_1,TCA.2_1,11.0,0
TCA.1_1,TCA.3_1,76.0,0
TCA.1_1,TCA.4_1,238.0,0
TCA.2_1,TCA.3_1,6.0,0
TCA.2_1,TCA.6_1,1.0,0
TCA.2_1,TCA.4_1,1.0,0
TCA.3_1,TCA.2_1,6.0,0
TCA.3_1,TCA.4_1,104.0,0
TCA.3_1,TCA.1_1,1.0,0
TCA.4_1,TCA.3_1,603.0,0
TCA.4_1,TCA.2_1,41.0,0
TCA.4_1,TCA.6_1,400.0,0
TCA.4_1,TCA.1_1,1712.0,0
TCA.4_1,TCA.5_1,30.0,0
TCA.5_1,TCA.1_1,6.0,0
TCA.6_1,TCA.2_1,7.0,0
TCA.6_1,TCA.1_1,70.0,0
TCA.6_1,TCA.3_1,2.0,0
TCA.6_1,TCA.4_1,4.0,0
TCA.1_1,TCA.1_1,3747.670620632172,0
TCA.2_1,TCA.2_1,76.07494345628655,0
TCA.3_1,TCA.3_1,1002.3249522328379,0
TCA.4_1,TCA.4_1,25078.1254014015,0
TCA.5_1,TCA.5_1,61.19172935485839,0
TCA.6_1,TCA.6_1,747.7688425406814,0
