origin,destination,flow,time
TCD.1_1,TCD.9_1,12442.0,0
TCD.1_1,TCD.2_1,4260.0,0
TCD.1_1,TCD.8_1,1893.0,0
TCD.1_1,TCD.10_1,842.0,0
TCD.1_1,TCD.22_1,1018.0,0
TCD.1_1,TCD.4_1,354.0,0
TCD.1_1,TCD.7_1,250.0,0
TCD.1_1,TCD.3_1,70.0,0
TCD.1_1,TCD.17_1,252.0,0
TCD.1_1,TCD.23_1,158.0,0
TCD.1_1,TCD.14_1,136.0,0
TCD.1_1,TCD.20_1,105.0,0
TCD.1_1,TCD.19_1,55.0,0
TCD.1_1,TCD.18_1,39.0,0
TCD.1_1,TCD.16_1,58.0,0
TCD.1_1,TCD.15_1,56.0,0
TCD.1_1,TCD.6_1,4.0,0
TCD.1_1,TCD.11_1,50.0,0
TCD.1_1,TCD.13_1,48.0,0
TCD.1_1,TCD.12_1,46.0,0
TCD.1_1,TCD.21_1,1.0,0
TCD.1_1,TCD.5_1,9.0,0
TCD.2_1,TCD.1_1,14198.0,0
TCD.2_1,TCD.17_1,11062.0,0
TCD.2_1,TCD.7_1,2790.0,0
TCD.2_1,TCD.23_1,2010.0,0
TCD.2_1,TCD.8_1,983.0,0
TCD.2_1,TCD.19_1,556.0,0
TCD.2_1,TCD.18_1,317.0,0
TCD.2_1,TCD.9_1,348.0,0
TCD.2_1,TCD.4_1,399.0,0
TCD.2_1,TCD.22_1,496.0,0
TCD.2_1,TCD.10_1,202.0,0
TCD.2_1,TCD.3_1,91.0,0
TCD.2_1,TCD.16_1,213.0,0
TCD.2_1,TCD.14_1,252.0,0
TCD.2_1,TCD.20_1,160.0,0
TCD.2_1,TCD.6_1,10.0,0
TCD.2_1,TCD.13_1,127.0,0
TCD.2_1,TCD.5_1,44.0,0
TCD.2_1,TCD.11_1,106.0,0
TCD.2_1,TCD.15_1,93.0,0
TCD.2_1,TCD.12_1,119.0,0
TCD.2_1,TCD.21_1,2.0,0
TCD.3_1,TCD.6_1,3644.0,0
TCD.3_1,TCD.21_1,1101.0,0
TCD.3_1,TCD.1_1,4685.0,0
TCD.3_1,TCD.23_1,2441.0,0
TCD.3_1,TCD.2_1,553.0,0
TCD.3_1,TCD.5_1,144.0,0
TCD.3_1,TCD.9_1,194.0,0
TCD.3_1,TCD.17_1,284.0,0
TCD.3_1,TCD.10_1,111.0,0
TCD.3_1,TCD.8_1,85.0,0
TCD.3_1,TCD.19_1,54.0,0
TCD.3_1,TCD.7_1,58.0,0
TCD.3_1,TCD.22_1,80.0,0
TCD.3_1,TCD.4_1,46.0,0
TCD.3_1,TCD.18_1,10.0,0
TCD.3_1,TCD.14_1,35.0,0
TCD.3_1,TCD.16_1,27.0,0
TCD.3_1,TCD.20_1,25.0,0
TCD.3_1,TCD.13_1,15.0,0
TCD.3_1,TCD.15_1,16.0,0
TCD.3_1,TCD.11_1,15.0,0
TCD.3_1,TCD.12_1,17.0,0
TCD.4_1,TCD.14_1,24208.0,0
TCD.4_1,TCD.8_1,5108.0,0
TCD.4_1,TCD.22_1,4260.0,0
TCD.4_1,TCD.20_1,1493.0,0
TCD.4_1,TCD.7_1,992.0,0
TCD.4_1,TCD.15_1,709.0,0
TCD.4_1,TCD.11_1,611.0,0
TCD.4_1,TCD.13_1,491.0,0
TCD.4_1,TCD.16_1,398.0,0
TCD.4_1,TCD.12_1,445.0,0
TCD.4_1,TCD.10_1,176.0,0
TCD.4_1,TCD.1_1,136.0,0
TCD.4_1,TCD.2_1,161.0,0
TCD.4_1,TCD.9_1,97.0,0
TCD.4_1,TCD.18_1,79.0,0
TCD.4_1,TCD.19_1,105.0,0
TCD.4_1,TCD.17_1,207.0,0
TCD.4_1,TCD.23_1,162.0,0
TCD.4_1,TCD.3_1,43.0,0
