origin,destination,flow,time
TGO.1.2_1,TGO.1.3_1,11240.0,0
TGO.1.2_1,TGO.1.1_1,5304.0,0
TGO.1.2_1,TGO.2.1_1,418.0,0
TGO.1.2_1,TGO.2.6_1,1220.0,0
TGO.1.2_1,TGO.4.4_1,1645.0,0
TGO.1.2_1,TGO.2.3_1,94.0,0
TGO.1.2_1,TGO.2.2_1,413.0,0
TGO.1.2_1,TGO.2.4_1,98.0,0
TGO.1.2_1,TGO.4.1_1,120.0,0
TGO.1.2_1,TGO.4.5_1,134.0,0
TGO.1.2_1,TGO.2.5_1,92.0,0
TGO.1.2_1,TGO.4.2_1,249.0,0
TGO.1.2_1,TGO.5.1_1,151.0,0
TGO.1.2_1,TGO.4.3_1,151.0,0
TGO.1.2_1,TGO.3.4_1,51.0,0
TGO.1.2_1,TGO.3.5_1,246.0,0
TGO.1.2_1,TGO.5.2_1,147.0,0
TGO.1.2_1,TGO.3.2_1,42.0,0
TGO.1.2_1,TGO.3.3_1,23.0,0
TGO.1.2_1,TGO.3.1_1,212.0,0
TGO.1.1_1,TGO.1.3_1,14445.0,0
TGO.1.1_1,TGO.1.2_1,6657.0,0
TGO.1.1_1,TGO.4.5_1,3092.0,0
TGO.1.1_1,TGO.4.4_1,5742.0,0
TGO.1.1_1,TGO.4.1_1,695.0,0
TGO.1.1_1,TGO.2.1_1,278.0,0
TGO.1.1_1,TGO.2.2_1,1332.0,0
TGO.1.1_1,TGO.2.6_1,640.0,0
TGO.1.1_1,TGO.2.3_1,142.0,0
TGO.1.1_1,TGO.2.4_1,221.0,0
TGO.1.1_1,TGO.4.3_1,697.0,0
TGO.1.1_1,TGO.4.2_1,579.0,0
TGO.1.1_1,TGO.2.5_1,140.0,0
TGO.1.1_1,TGO.3.4_1,218.0,0
TGO.1.1_1,TGO.5.1_1,313.0,0
TGO.1.1_1,TGO.3.5_1,716.0,0
TGO.1.1_1,TGO.3.3_1,116.0,0
TGO.1.1_1,TGO.3.2_1,178.0,0
TGO.1.1_1,TGO.3.1_1,820.0,0
TGO.1.1_1,TGO.5.2_1,209.0,0
TGO.1.3_1,TGO.2.1_1,4721.0,0
TGO.1.3_1,TGO.1.2_1,7610.0,0
TGO.1.3_1,TGO.2.6_1,3061.0,0
TGO.1.3_1,TGO.1.1_1,2267.0,0
TGO.1.3_1,TGO.2.2_1,1027.0,0
TGO.1.3_1,TGO.2.3_1,124.0,0
TGO.1.3_1,TGO.2.4_1,201.0,0
TGO.1.3_1,TGO.2.5_1,168.0,0
TGO.1.3_1,TGO.4.4_1,776.0,0
TGO.1.3_1,TGO.4.5_1,134.0,0
TGO.1.3_1,TGO.5.1_1,207.0,0
TGO.1.3_1,TGO.4.1_1,79.0,0
TGO.1.3_1,TGO.4.2_1,194.0,0
TGO.1.3_1,TGO.5.2_1,317.0,0
TGO.1.3_1,TGO.4.3_1,76.0,0
TGO.1.3_1,TGO.3.4_1,39.0,0
TGO.1.3_1,TGO.3.5_1,150.0,0
TGO.1.3_1,TGO.3.3_1,22.0,0
TGO.1.3_1,TGO.3.2_1,29.0,0
TGO.1.3_1,TGO.3.1_1,220.0,0
TGO.2.1_1,TGO.2.6_1,4688.0,0
TGO.2.1_1,TGO.1.3_1,524.0,0
TGO.2.1_1,TGO.2.3_1,73.0,0
TGO.2.1_1,TGO.2.4_1,80.0,0
TGO.2.1_1,TGO.2.2_1,207.0,0
TGO.2.1_1,TGO.1.2_1,69.0,0
TGO.2.1_1,TGO.2.5_1,23.0,0
TGO.2.1_1,TGO.1.1_1,46.0,0
TGO.2.1_1,TGO.5.1_1,18.0,0
TGO.2.1_1,TGO.4.4_1,32.0,0
TGO.2.1_1,TGO.5.2_1,29.0,0
TGO.2.1_1,TGO.4.5_1,7.0,0
TGO.2.1_1,TGO.4.1_1,3.0,0
TGO.2.1_1,TGO.4.2_1,7.0,0
TGO.2.1_1,TGO.4.3_1,9.0,0
TGO.2.1_1,TGO.3.4_1,5.0,0
TGO.2.1_1,TGO.3.5_1,17.0,0
TGO.2.1_1,TGO.3.3_1,2.0,0
TGO.2.1_1,TGO.3.2_1,4.0,0
TGO.2.1_1,TGO.3.1_1,20.0,0
TGO.2.2_1,TGO.2.6_1,14514.0,0
TGO.2.2_1,TGO.2.1_1,2073.0,0
TGO.2.2_1,TGO.2.4_1,2560.0,0
TGO.2.2_1,TGO.2.5_1,2237.0,0
TGO.2.2_1,TGO.1.3_1,3125.0,0
TGO.2.2_1,TGO.2.3_1,654.0,0
TGO.2.2_1,TGO.5.1_1,2503.0,0
TGO.2.2_1,TGO.1.1_1,1891.0,0
TGO.2.2_1,TGO.1.2_1,818.0,0
TGO.2.2_1,TGO.5.2_1,1911.0,0
TGO.2.2_1,TGO.4.5_1,248.0,0
TGO.2.2_1,TGO.4.4_1,731.0,0
TGO.2.2_1,TGO.4.1_1,120.0,0
TGO.2.2_1,TGO.4.3_1,334.0,0
TGO.2.2_1,TGO.4.2_1,267.0,0
TGO.2.2_1,TGO.3.4_1,125.0,0
TGO.2.2_1,TGO.3.5_1,419.0,0
TGO.2.2_1,TGO.3.3_1,58.0,0
TGO.2.2_1,TGO.3.2_1,100.0,0
TGO.2.2_1,TGO.3.1_1,554.0,0
TGO.2.3_1,TGO.2.6_1,4876.0,0
TGO.2.3_1,TGO.2.4_1,310.0,0
TGO.2.3_1,TGO.2.1_1,158.0,0
TGO.2.3_1,TGO.2.5_1,164.0,0
TGO.2.3_1,TGO.2.2_1,247.0,0
TGO.2.3_1,TGO.1.3_1,68.0,0
TGO.2.3_1,TGO.5.1_1,66.0,0
TGO.2.3_1,TGO.1.2_1,33.0,0
TGO.2.3_1,TGO.1.1_1,44.0,0
TGO.2.3_1,TGO.5.2_1,51.0,0
TGO.2.3_1,TGO.4.4_1,19.0,0
TGO.2.3_1,TGO.4.5_1,2.0,0
TGO.2.3_1,TGO.4.1_1,4.0,0
TGO.2.3_1,TGO.4.2_1,9.0,0
TGO.2.3_1,TGO.4.3_1,3.0,0
TGO.2.3_1,TGO.3.4_1,3.0,0
TGO.2.3_1,TGO.3.5_1,10.0,0
TGO.2.3_1,TGO.3.2_1,4.0,0
TGO.2.3_1,TGO.3.3_1,4.0,0
TGO.2.3_1,TGO.3.1_1,14.0,0
TGO.2.4_1,TGO.2.3_1,3707.0,0
TGO.2.4_1,TGO.2.5_1,2308.0,0
TGO.2.4_1,TGO.2.6_1,1581.0,0
TGO.2.4_1,TGO.2.1_1,180.0,0
TGO.2.4_1,TGO.2.2_1,654.0,0
TGO.2.4_1,TGO.5.1_1,234.0,0
TGO.2.4_1,TGO.1.3_1,125.0,0
TGO.2.4_1,TGO.1.2_1,92.0,0
TGO.2.4_1,TGO.5.2_1,192.0,0
TGO.2.4_1,TGO.1.1_1,41.0,0
TGO.2.4_1,TGO.4.4_1,63.0,0
TGO.2.4_1,TGO.4.5_1,7.0,0
TGO.2.4_1,TGO.4.1_1,4.0,0
TGO.2.4_1,TGO.4.2_1,23.0,0
TGO.2.4_1,TGO.4.3_1,23.0,0
TGO.2.4_1,TGO.3.4_1,7.0,0
TGO.2.4_1,TGO.3.5_1,25.0,0
TGO.2.4_1,TGO.3.3_1,7.0,0
TGO.2.4_1,TGO.3.2_1,13.0,0
TGO.2.4_1,TGO.3.1_1,32.0,0
TGO.2.5_1,TGO.2.4_1,4936.0,0
TGO.2.5_1,TGO.5.1_1,3522.0,0
TGO.2.5_1,TGO.2.3_1,262.0,0
TGO.2.5_1,TGO.2.6_1,594.0,0
TGO.2.5_1,TGO.2.2_1,451.0,0
TGO.2.5_1,TGO.2.1_1,45.0,0
TGO.2.5_1,TGO.5.2_1,426.0,0
TGO.2.5_1,TGO.1.3_1,46.0,0
TGO.2.5_1,TGO.1.2_1,45.0,0
TGO.2.5_1,TGO.1.1_1,51.0,0
TGO.2.5_1,TGO.4.4_1,66.0,0
TGO.2.5_1,TGO.4.5_1,18.0,0
TGO.2.5_1,TGO.4.1_1,9.0,0
TGO.2.5_1,TGO.4.2_1,35.0,0
TGO.2.5_1,TGO.4.3_1,16.0,0
TGO.2.5_1,TGO.3.4_1,5.0,0
TGO.2.5_1,TGO.3.5_1,39.0,0
TGO.2.5_1,TGO.3.3_1,5.0,0
TGO.2.5_1,TGO.3.2_1,6.0,0
TGO.2.5_1,TGO.3.1_1,47.0,0
TGO.2.6_1,TGO.2.3_1,4908.0,0
TGO.2.6_1,TGO.2.1_1,3131.0,0
TGO.2.6_1,TGO.2.4_1,3314.0,0
TGO.2.6_1,TGO.2.2_1,5572.0,0
TGO.2.6_1,TGO.2.5_1,725.0,0
TGO.2.6_1,TGO.1.3_1,1112.0,0
TGO.2.6_1,TGO.1.2_1,778.0,0
TGO.2.6_1,TGO.5.1_1,722.0,0
TGO.2.6_1,TGO.1.1_1,661.0,0
TGO.2.6_1,TGO.5.2_1,768.0,0
TGO.2.6_1,TGO.4.4_1,326.0,0
TGO.2.6_1,TGO.4.5_1,79.0,0
TGO.2.6_1,TGO.4.1_1,52.0,0
TGO.2.6_1,TGO.4.2_1,125.0,0
TGO.2.6_1,TGO.4.3_1,104.0,0
TGO.2.6_1,TGO.3.4_1,50.0,0
TGO.2.6_1,TGO.3.5_1,168.0,0
TGO.2.6_1,TGO.3.3_1,24.0,0
TGO.2.6_1,TGO.3.2_1,20.0,0
TGO.2.6_1,TGO.3.1_1,200.0,0
TGO.3.1_1,TGO.3.3_1,25343.0,0
TGO.3.1_1,TGO.3.5_1,72063.0,0
TGO.3.1_1,TGO.3.2_1,15145.0,0
TGO.3.1_1,TGO.3.4_1,8930.0,0
TGO.3.1_1,TGO.4.2_1,15720.0,0
TGO.3.1_1,TGO.4.3_1,12777.0,0
TGO.3.1_1,TGO.4.1_1,3893.0,0
TGO.3.1_1,TGO.4.5_1,4630.0,0
TGO.3.1_1,TGO.4.4_1,14876.0,0
TGO.3.1_1,TGO.1.1_1,7220.0,0
TGO.3.1_1,TGO.1.2_1,3766.0,0
TGO.3.1_1,TGO.1.3_1,3492.0,0
TGO.3.1_1,TGO.2.1_1,918.0,0
TGO.3.1_1,TGO.2.2_1,5082.0,0
TGO.3.1_1,TGO.2.6_1,3090.0,0
TGO.3.1_1,TGO.2.3_1,795.0,0
TGO.3.1_1,TGO.2.4_1,1148.0,0
TGO.3.1_1,TGO.2.5_1,1292.0,0
TGO.3.1_1,TGO.5.1_1,3300.0,0
TGO.3.1_1,TGO.5.2_1,8229.0,0
TGO.3.2_1,TGO.3.3_1,12345.0,0
TGO.3.2_1,TGO.3.4_1,4854.0,0
TGO.3.2_1,TGO.3.1_1,9381.0,0
TGO.3.2_1,TGO.3.5_1,736.0,0
TGO.3.2_1,TGO.4.2_1,239.0,0
TGO.3.2_1,TGO.4.3_1,189.0,0
TGO.3.2_1,TGO.4.1_1,53.0,0
TGO.3.2_1,TGO.4.4_1,218.0,0
