origin,destination,flow,time
THA.5.7_1,THA.5.8_1,1400.0,0
THA.5.7_1,THA.5.6_1,173.0,0
THA.5.7_1,THA.5.23_1,235.0,0
THA.5.7_1,THA.29.10_1,38.0,0
THA.5.7_1,THA.68.3_1,41.0,0
THA.5.7_1,THA.24.11_1,43.0,0
THA.5.7_1,THA.29.11_1,15.0,0
THA.5.7_1,THA.5.21_1,13.0,0
THA.5.7_1,THA.5.5_1,13.0,0
THA.5.7_1,THA.24.13_1,5.0,0
THA.5.7_1,THA.29.6_1,17.0,0
THA.5.7_1,THA.5.12_1,19.0,0
THA.5.7_1,THA.5.11_1,10.0,0
THA.5.7_1,THA.5.2_1,2.0,0
THA.5.7_1,THA.54.13_1,4.0,0
THA.5.7_1,THA.5.9_1,4.0,0
THA.5.7_1,THA.5.13_1,1.0,0
THA.5.7_1,THA.24.10_1,2.0,0
THA.5.7_1,THA.68.2_1,2.0,0
THA.5.7_1,THA.29.28_1,3.0,0
THA.5.7_1,THA.68.17_1,1.0,0
THA.5.7_1,THA.24.9_1,2.0,0
THA.5.7_1,THA.54.7_1,3.0,0
THA.5.7_1,THA.29.8_1,1.0,0
THA.5.7_1,THA.17.16_1,4.0,0
THA.5.7_1,THA.68.4_1,1.0,0
THA.5.7_1,THA.68.10_1,1.0,0
THA.5.7_1,THA.29.27_1,3.0,0
THA.5.7_1,THA.5.20_1,1.0,0
THA.5.7_1,THA.29.21_1,1.0,0
THA.5.7_1,THA.5.4_1,1.0,0
THA.5.7_1,THA.24.12_1,1.0,0
THA.5.7_1,THA.29.13_1,1.0,0
THA.5.7_1,THA.68.15_1,1.0,0
THA.5.7_1,THA.24.1_1,1.0,0
THA.5.7_1,THA.5.22_1,1.0,0
THA.5.7_1,THA.17.17_1,1.0,0
THA.5.7_1,THA.54.19_1,1.0,0
THA.5.7_1,THA.68.16_1,1.0,0
THA.5.7_1,THA.29.3_1,2.0,0
THA.5.7_1,THA.68.5_1,1.0,0
THA.5.7_1,THA.54.18_1,1.0,0
THA.5.7_1,THA.54.15_1,1.0,0
THA.5.7_1,THA.17.2_1,1.0,0
THA.5.7_1,THA.24.7_1,1.0,0
THA.5.7_1,THA.62.17_1,1.0,0
THA.5.7_1,THA.54.12_1,2.0,0
THA.5.7_1,THA.8.9_1,1.0,0
THA.5.7_1,THA.29.20_1,1.0,0
THA.5.7_1,THA.77.1_1,1.0,0
THA.5.7_1,THA.17.13_1,1.0,0
THA.5.7_1,THA.62.15_1,1.0,0
THA.5.7_1,THA.73.20_1,1.0,0
THA.5.7_1,THA.34.1_1,1.0,0
THA.5.7_1,THA.3.36_1,1.0,0
THA.5.7_1,THA.3.48_1,1.0,0
THA.5.7_1,THA.57.5_1,1.0,0
THA.5.8_1,THA.5.7_1,1383.0,0
THA.5.8_1,THA.29.10_1,942.0,0
THA.5.8_1,THA.5.6_1,380.0,0
THA.5.8_1,THA.29.11_1,284.0,0
THA.5.8_1,THA.5.21_1,248.0,0
THA.5.8_1,THA.29.6_1,370.0,0
