origin,destination,flow,time
TKM.1_1,TKM.2_1,239466.0,0
TKM.1_1,TKM.6_1,167118.0,0
TKM.1_1,TKM.5_1,72980.0,0
TKM.1_1,TKM.4_1,36246.0,0
TKM.1_1,TKM.3_1,10690.0,0
TKM.2_1,TKM.1_1,218840.0,0
TKM.2_1,TKM.5_1,55506.0,0
TKM.2_1,TKM.6_1,21200.0,0
TKM.2_1,TKM.3_1,5555.0,0
TKM.2_1,TKM.4_1,9298.0,0
TKM.3_1,TKM.6_1,184400.0,0
TKM.3_1,TKM.2_1,20923.0,0
TKM.3_1,TKM.1_1,17535.0,0
TKM.3_1,TKM.5_1,10284.0,0
TKM.3_1,TKM.4_1,5309.0,0
TKM.4_1,TKM.5_1,371345.0,0
TKM.4_1,TKM.1_1,103108.0,0
TKM.4_1,TKM.2_1,35951.0,0
TKM.4_1,TKM.6_1,44144.0,0
TKM.4_1,TKM.3_1,12749.0,0
TKM.5_1,TKM.4_1,381449.0,0
TKM.5_1,TKM.1_1,128903.0,0
TKM.5_1,TKM.2_1,44553.0,0
TKM.5_1,TKM.6_1,55213.0,0
TKM.5_1,TKM.3_1,15984.0,0
TKM.6_1,TKM.1_1,347951.0,0
TKM.6_1,TKM.3_1,68096.0,0
TKM.6_1,TKM.2_1,58906.0,0
TKM.6_1,TKM.4_1,65337.0,0
TKM.6_1,TKM.5_1,41997.0,0
TKM.1_1,TKM.1_1,526500.815056345,0
TKM.2_1,TKM.2_1,310399.59954381,0
TKM.3_1,TKM.3_1,238451.11963837603,0
TKM.4_1,TKM.4_1,567297.900718645,0
TKM.5_1,TKM.5_1,626102.022125665,0
TKM.6_1,TKM.6_1,582287.826062035,0
