origin,destination,flow,time
TLS.1_1,TLS.8_1,9780.0,0
TLS.1_1,TLS.7_1,3170.0,0
TLS.1_1,TLS.2_1,212.0,0
TLS.1_1,TLS.12_1,116.0,0
TLS.1_1,TLS.11_1,115.0,0
TLS.1_1,TLS.10_1,139.0,0
TLS.1_1,TLS.5_1,129.0,0
TLS.1_1,TLS.6_1,90.0,0
TLS.1_1,TLS.13_1,106.0,0
TLS.1_1,TLS.4_1,102.0,0
TLS.1_1,TLS.9_1,49.0,0
TLS.1_1,TLS.3_1,46.0,0
TLS.2_1,TLS.12_1,5945.0,0
TLS.2_1,TLS.8_1,3826.0,0
TLS.2_1,TLS.1_1,709.0,0
TLS.2_1,TLS.5_1,583.0,0
TLS.2_1,TLS.6_1,264.0,0
TLS.2_1,TLS.10_1,197.0,0
TLS.2_1,TLS.11_1,140.0,0
TLS.2_1,TLS.7_1,452.0,0
TLS.2_1,TLS.13_1,67.0,0
TLS.2_1,TLS.4_1,71.0,0
TLS.2_1,TLS.3_1,38.0,0
TLS.2_1,TLS.9_1,32.0,0
TLS.3_1,TLS.6_1,7402.0,0
TLS.3_1,TLS.5_1,3277.0,0
TLS.3_1,TLS.8_1,1627.0,0
TLS.3_1,TLS.10_1,485.0,0
TLS.3_1,TLS.2_1,292.0,0
TLS.3_1,TLS.1_1,264.0,0
TLS.3_1,TLS.12_1,138.0,0
TLS.3_1,TLS.7_1,587.0,0
TLS.3_1,TLS.11_1,56.0,0
TLS.3_1,TLS.13_1,87.0,0
TLS.3_1,TLS.4_1,96.0,0
TLS.3_1,TLS.9_1,37.0,0
TLS.4_1,TLS.13_1,10572.0,0
TLS.4_1,TLS.9_1,3833.0,0
TLS.4_1,TLS.11_1,2113.0,0
TLS.4_1,TLS.12_1,1422.0,0
TLS.4_1,TLS.1_1,1429.0,0
TLS.4_1,TLS.7_1,3311.0,0
TLS.4_1,TLS.2_1,308.0,0
TLS.4_1,TLS.8_1,480.0,0
TLS.4_1,TLS.10_1,225.0,0
TLS.4_1,TLS.5_1,248.0,0
TLS.4_1,TLS.6_1,159.0,0
TLS.4_1,TLS.3_1,150.0,0
TLS.5_1,TLS.8_1,12666.0,0
TLS.5_1,TLS.6_1,2082.0,0
TLS.5_1,TLS.10_1,1426.0,0
TLS.5_1,TLS.2_1,833.0,0
TLS.5_1,TLS.1_1,683.0,0
TLS.5_1,TLS.12_1,376.0,0
TLS.5_1,TLS.7_1,1415.0,0
TLS.5_1,TLS.11_1,138.0,0
TLS.5_1,TLS.3_1,148.0,0
TLS.5_1,TLS.13_1,141.0,0
TLS.5_1,TLS.4_1,213.0,0
TLS.5_1,TLS.9_1,85.0,0
TLS.6_1,TLS.5_1,8691.0,0
TLS.6_1,TLS.2_1,1481.0,0
TLS.6_1,TLS.8_1,1510.0,0
TLS.6_1,TLS.10_1,446.0,0
TLS.6_1,TLS.12_1,250.0,0
TLS.6_1,TLS.1_1,261.0,0
TLS.6_1,TLS.11_1,114.0,0
TLS.6_1,TLS.7_1,553.0,0
TLS.6_1,TLS.3_1,81.0,0
TLS.6_1,TLS.13_1,86.0,0
TLS.6_1,TLS.4_1,85.0,0
TLS.6_1,TLS.9_1,36.0,0
TLS.7_1,TLS.1_1,15981.0,0
TLS.7_1,TLS.10_1,11977.0,0
TLS.7_1,TLS.11_1,6441.0,0
TLS.7_1,TLS.8_1,12123.0,0
TLS.7_1,TLS.2_1,4005.0,0
TLS.7_1,TLS.12_1,2853.0,0
TLS.7_1,TLS.5_1,4730.0,0
TLS.7_1,TLS.13_1,2960.0,0
TLS.7_1,TLS.4_1,3550.0,0
TLS.7_1,TLS.6_1,1782.0,0
TLS.7_1,TLS.9_1,1435.0,0
TLS.7_1,TLS.3_1,1432.0,0
TLS.8_1,TLS.10_1,10777.0,0
TLS.8_1,TLS.5_1,6315.0,0
TLS.8_1,TLS.2_1,2205.0,0
TLS.8_1,TLS.1_1,1714.0,0
TLS.8_1,TLS.12_1,1010.0,0
TLS.8_1,TLS.7_1,3443.0,0
TLS.8_1,TLS.6_1,375.0,0
TLS.8_1,TLS.11_1,247.0,0
TLS.8_1,TLS.13_1,278.0,0
TLS.8_1,TLS.4_1,420.0,0
TLS.8_1,TLS.3_1,217.0,0
TLS.8_1,TLS.9_1,140.0,0
TLS.9_1,TLS.4_1,8663.0,0
TLS.9_1,TLS.13_1,1296.0,0
TLS.9_1,TLS.11_1,543.0,0
TLS.9_1,TLS.12_1,379.0,0
TLS.9_1,TLS.7_1,1111.0,0
TLS.9_1,TLS.1_1,112.0,0
TLS.9_1,TLS.2_1,76.0,0
TLS.9_1,TLS.8_1,125.0,0
TLS.9_1,TLS.10_1,62.0,0
TLS.9_1,TLS.5_1,68.0,0
TLS.9_1,TLS.6_1,37.0,0
TLS.9_1,TLS.3_1,33.0,0
TLS.10_1,TLS.8_1,10190.0,0
TLS.10_1,TLS.5_1,1777.0,0
TLS.10_1,TLS.1_1,688.0,0
TLS.10_1,TLS.7_1,1474.0,0
TLS.10_1,TLS.2_1,124.0,0
TLS.10_1,TLS.6_1,118.0,0
TLS.10_1,TLS.12_1,86.0,0
TLS.10_1,TLS.11_1,81.0,0
TLS.10_1,TLS.13_1,87.0,0
TLS.10_1,TLS.4_1,125.0,0
TLS.10_1,TLS.3_1,49.0,0
TLS.10_1,TLS.9_1,43.0,0
TLS.11_1,TLS.12_1,5500.0,0
TLS.11_1,TLS.1_1,2280.0,0
TLS.11_1,TLS.13_1,1047.0,0
TLS.11_1,TLS.7_1,1346.0,0
TLS.11_1,TLS.2_1,70.0,0
TLS.11_1,TLS.4_1,127.0,0
TLS.11_1,TLS.8_1,98.0,0
TLS.11_1,TLS.10_1,48.0,0
TLS.11_1,TLS.5_1,59.0,0
TLS.11_1,TLS.6_1,37.0,0
TLS.11_1,TLS.9_1,23.0,0
TLS.11_1,TLS.3_1,32.0,0
TLS.12_1,TLS.2_1,5802.0,0
TLS.12_1,TLS.11_1,1546.0,0
TLS.12_1,TLS.1_1,1016.0,0
TLS.12_1,TLS.8_1,788.0,0
TLS.12_1,TLS.13_1,268.0,0
TLS.12_1,TLS.7_1,510.0,0
TLS.12_1,TLS.10_1,61.0,0
TLS.12_1,TLS.6_1,42.0,0
TLS.12_1,TLS.5_1,53.0,0
TLS.12_1,TLS.4_1,54.0,0
TLS.12_1,TLS.9_1,23.0,0
TLS.12_1,TLS.3_1,26.0,0
TLS.13_1,TLS.4_1,10196.0,0
TLS.13_1,TLS.11_1,1431.0,0
TLS.13_1,TLS.12_1,870.0,0
TLS.13_1,TLS.9_1,725.0,0
TLS.13_1,TLS.1_1,581.0,0
TLS.13_1,TLS.2_1,383.0,0
TLS.13_1,TLS.7_1,1113.0,0
TLS.13_1,TLS.8_1,210.0,0
TLS.13_1,TLS.10_1,95.0,0
TLS.13_1,TLS.5_1,124.0,0
TLS.13_1,TLS.6_1,64.0,0
TLS.13_1,TLS.3_1,56.0,0
TLS.1_1,TLS.1_1,56217.79603958128,0
TLS.2_1,TLS.2_1,49298.91971893312,0
TLS.3_1,TLS.3_1,57393.92636947632,0
TLS.4_1,TLS.4_1,97001.05611572241,0
TLS.5_1,TLS.5_1,80824.5240554808,0
TLS.6_1,TLS.6_1,54376.57624588016,0
TLS.7_1,TLS.7_1,277079.54746475205,0
TLS.8_1,TLS.8_1,108565.3064315792,0
TLS.9_1,TLS.9_1,50020.144763183605,0
TLS.10_1,TLS.10_1,59369.05652465824,0
TLS.11_1,TLS.11_1,42670.06910572056,0
TLS.12_1,TLS.12_1,40757.4277057648,0
TLS.13_1,TLS.13_1,63394.58932070736,0
