origin,destination,flow,time
TTO.1_1,TTO.15_1,5783.0,0
TTO.1_1,TTO.2_1,255.0,0
TTO.1_1,TTO.11_1,178.0,0
TTO.1_1,TTO.12_1,71.0,0
TTO.1_1,TTO.3_1,92.0,0
TTO.1_1,TTO.8_1,11.0,0
TTO.1_1,TTO.4_1,41.0,0
TTO.1_1,TTO.10_1,13.0,0
TTO.1_1,TTO.5_1,8.0,0
TTO.1_1,TTO.9_1,17.0,0
TTO.1_1,TTO.6_1,18.0,0
TTO.1_1,TTO.7_1,8.0,0
TTO.1_1,TTO.13_1,14.0,0
TTO.1_1,TTO.14_1,10.0,0
TTO.2_1,TTO.3_1,13627.0,0
TTO.2_1,TTO.11_1,2335.0,0
TTO.2_1,TTO.1_1,276.0,0
TTO.2_1,TTO.8_1,215.0,0
TTO.2_1,TTO.15_1,1296.0,0
TTO.2_1,TTO.4_1,311.0,0
TTO.2_1,TTO.10_1,94.0,0
TTO.2_1,TTO.12_1,206.0,0
TTO.2_1,TTO.9_1,215.0,0
TTO.2_1,TTO.6_1,157.0,0
TTO.2_1,TTO.5_1,65.0,0
TTO.2_1,TTO.7_1,31.0,0
TTO.2_1,TTO.13_1,121.0,0
TTO.2_1,TTO.14_1,77.0,0
TTO.3_1,TTO.2_1,14767.0,0
TTO.3_1,TTO.10_1,3560.0,0
TTO.3_1,TTO.1_1,2389.0,0
TTO.3_1,TTO.9_1,5470.0,0
TTO.3_1,TTO.15_1,6186.0,0
TTO.3_1,TTO.11_1,2154.0,0
TTO.3_1,TTO.5_1,482.0,0
TTO.3_1,TTO.8_1,298.0,0
TTO.3_1,TTO.6_1,959.0,0
TTO.3_1,TTO.12_1,689.0,0
TTO.3_1,TTO.4_1,745.0,0
TTO.3_1,TTO.7_1,108.0,0
TTO.3_1,TTO.13_1,553.0,0
TTO.3_1,TTO.14_1,294.0,0
TTO.4_1,TTO.8_1,4447.0,0
TTO.4_1,TTO.11_1,9656.0,0
TTO.4_1,TTO.2_1,2306.0,0
TTO.4_1,TTO.15_1,2405.0,0
TTO.4_1,TTO.1_1,229.0,0
TTO.4_1,TTO.3_1,907.0,0
TTO.4_1,TTO.10_1,140.0,0
TTO.4_1,TTO.12_1,240.0,0
TTO.4_1,TTO.7_1,59.0,0
TTO.4_1,TTO.6_1,212.0,0
TTO.4_1,TTO.13_1,190.0,0
TTO.4_1,TTO.9_1,196.0,0
TTO.4_1,TTO.5_1,47.0,0
TTO.4_1,TTO.14_1,88.0,0
TTO.5_1,TTO.9_1,5961.0,0
TTO.5_1,TTO.3_1,1182.0,0
TTO.5_1,TTO.10_1,100.0,0
TTO.5_1,TTO.6_1,151.0,0
TTO.5_1,TTO.12_1,110.0,0
TTO.5_1,TTO.1_1,42.0,0
TTO.5_1,TTO.2_1,76.0,0
TTO.5_1,TTO.15_1,107.0,0
TTO.5_1,TTO.11_1,41.0,0
TTO.5_1,TTO.13_1,26.0,0
TTO.5_1,TTO.8_1,3.0,0
TTO.5_1,TTO.7_1,4.0,0
TTO.5_1,TTO.4_1,25.0,0
TTO.5_1,TTO.14_1,6.0,0
TTO.6_1,TTO.10_1,5801.0,0
TTO.6_1,TTO.9_1,6198.0,0
TTO.6_1,TTO.13_1,2136.0,0
TTO.6_1,TTO.7_1,262.0,0
TTO.6_1,TTO.3_1,1705.0,0
TTO.6_1,TTO.5_1,204.0,0
TTO.6_1,TTO.2_1,417.0,0
TTO.6_1,TTO.1_1,110.0,0
TTO.6_1,TTO.8_1,95.0,0
TTO.6_1,TTO.11_1,428.0,0
TTO.6_1,TTO.15_1,370.0,0
TTO.6_1,TTO.4_1,132.0,0
TTO.6_1,TTO.12_1,97.0,0
TTO.6_1,TTO.14_1,47.0,0
TTO.7_1,TTO.13_1,3126.0,0
TTO.7_1,TTO.6_1,278.0,0
TTO.7_1,TTO.10_1,60.0,0
TTO.7_1,TTO.9_1,84.0,0
TTO.7_1,TTO.3_1,69.0,0
TTO.7_1,TTO.2_1,16.0,0
TTO.7_1,TTO.8_1,6.0,0
TTO.7_1,TTO.4_1,13.0,0
TTO.7_1,TTO.11_1,17.0,0
TTO.7_1,TTO.5_1,2.0,0
TTO.7_1,TTO.1_1,1.0,0
TTO.7_1,TTO.15_1,15.0,0
TTO.7_1,TTO.12_1,4.0,0
TTO.7_1,TTO.14_1,4.0,0
TTO.8_1,TTO.11_1,4578.0,0
TTO.8_1,TTO.4_1,287.0,0
TTO.8_1,TTO.2_1,118.0,0
TTO.8_1,TTO.15_1,140.0,0
TTO.8_1,TTO.1_1,13.0,0
TTO.8_1,TTO.3_1,52.0,0
TTO.8_1,TTO.10_1,7.0,0
TTO.8_1,TTO.12_1,12.0,0
TTO.8_1,TTO.6_1,23.0,0
TTO.8_1,TTO.9_1,16.0,0
TTO.8_1,TTO.7_1,2.0,0
TTO.8_1,TTO.13_1,11.0,0
TTO.8_1,TTO.14_1,4.0,0
TTO.9_1,TTO.6_1,10732.0,0
TTO.9_1,TTO.10_1,2136.0,0
TTO.9_1,TTO.5_1,1506.0,0
TTO.9_1,TTO.3_1,3899.0,0
TTO.9_1,TTO.13_1,934.0,0
TTO.9_1,TTO.2_1,659.0,0
TTO.9_1,TTO.7_1,107.0,0
TTO.9_1,TTO.1_1,131.0,0
TTO.9_1,TTO.12_1,416.0,0
TTO.9_1,TTO.15_1,702.0,0
TTO.9_1,TTO.11_1,318.0,0
TTO.9_1,TTO.8_1,49.0,0
TTO.9_1,TTO.4_1,178.0,0
TTO.9_1,TTO.14_1,105.0,0
TTO.10_1,TTO.6_1,5648.0,0
TTO.10_1,TTO.9_1,1082.0,0
TTO.10_1,TTO.3_1,570.0,0
TTO.10_1,TTO.13_1,126.0,0
TTO.10_1,TTO.7_1,19.0,0
TTO.10_1,TTO.2_1,80.0,0
TTO.10_1,TTO.5_1,27.0,0
TTO.10_1,TTO.8_1,19.0,0
TTO.10_1,TTO.1_1,22.0,0
TTO.10_1,TTO.11_1,68.0,0
TTO.10_1,TTO.15_1,64.0,0
TTO.10_1,TTO.4_1,23.0,0
TTO.10_1,TTO.12_1,11.0,0
TTO.10_1,TTO.14_1,5.0,0
TTO.11_1,TTO.8_1,5035.0,0
TTO.11_1,TTO.15_1,15430.0,0
TTO.11_1,TTO.4_1,2644.0,0
TTO.11_1,TTO.2_1,1510.0,0
TTO.11_1,TTO.1_1,389.0,0
TTO.11_1,TTO.3_1,1770.0,0
TTO.11_1,TTO.12_1,544.0,0
TTO.11_1,TTO.10_1,241.0,0
TTO.11_1,TTO.9_1,515.0,0
TTO.11_1,TTO.6_1,365.0,0
TTO.11_1,TTO.5_1,135.0,0
TTO.11_1,TTO.7_1,74.0,0
TTO.11_1,TTO.13_1,296.0,0
TTO.11_1,TTO.14_1,180.0,0
TTO.12_1,TTO.1_1,5011.0,0
TTO.12_1,TTO.15_1,8494.0,0
TTO.12_1,TTO.3_1,1629.0,0
TTO.12_1,TTO.2_1,428.0,0
TTO.12_1,TTO.11_1,446.0,0
TTO.12_1,TTO.5_1,100.0,0
TTO.12_1,TTO.8_1,48.0,0
TTO.12_1,TTO.4_1,231.0,0
TTO.12_1,TTO.9_1,191.0,0
TTO.12_1,TTO.10_1,60.0,0
TTO.12_1,TTO.6_1,102.0,0
TTO.12_1,TTO.14_1,66.0,0
TTO.12_1,TTO.7_1,22.0,0
TTO.12_1,TTO.13_1,102.0,0
TTO.13_1,TTO.7_1,3303.0,0
TTO.13_1,TTO.6_1,7376.0,0
TTO.13_1,TTO.10_1,1506.0,0
TTO.13_1,TTO.9_1,2486.0,0
TTO.13_1,TTO.3_1,1842.0,0
TTO.13_1,TTO.2_1,493.0,0
TTO.13_1,TTO.8_1,110.0,0
TTO.13_1,TTO.5_1,153.0,0
TTO.13_1,TTO.4_1,331.0,0
TTO.13_1,TTO.11_1,361.0,0
TTO.13_1,TTO.1_1,87.0,0
TTO.13_1,TTO.15_1,336.0,0
TTO.13_1,TTO.12_1,87.0,0
TTO.13_1,TTO.14_1,68.0,0
TTO.14_1,TTO.12_1,7592.0,0
TTO.14_1,TTO.15_1,3366.0,0
TTO.14_1,TTO.1_1,187.0,0
TTO.14_1,TTO.11_1,523.0,0
TTO.14_1,TTO.2_1,241.0,0
TTO.14_1,TTO.8_1,51.0,0
TTO.14_1,TTO.3_1,270.0,0
TTO.14_1,TTO.4_1,132.0,0
TTO.14_1,TTO.5_1,30.0,0
TTO.14_1,TTO.9_1,75.0,0
TTO.14_1,TTO.10_1,27.0,0
TTO.14_1,TTO.6_1,52.0,0
TTO.14_1,TTO.7_1,11.0,0
TTO.14_1,TTO.13_1,47.0,0
TTO.15_1,TTO.1_1,6697.0,0
TTO.15_1,TTO.11_1,16608.0,0
TTO.15_1,TTO.2_1,5460.0,0
TTO.15_1,TTO.8_1,1178.0,0
TTO.15_1,TTO.12_1,3152.0,0
TTO.15_1,TTO.3_1,4624.0,0
TTO.15_1,TTO.4_1,1658.0,0
TTO.15_1,TTO.10_1,520.0,0
TTO.15_1,TTO.5_1,438.0,0
TTO.15_1,TTO.9_1,1169.0,0
TTO.15_1,TTO.6_1,744.0,0
TTO.15_1,TTO.7_1,178.0,0
TTO.15_1,TTO.13_1,658.0,0
TTO.15_1,TTO.14_1,397.0,0
TTO.1_1,TTO.1_1,26078.350488281285,0
TTO.2_1,TTO.2_1,76107.13586425786,0
TTO.3_1,TTO.3_1,154618.8728729248,0
TTO.4_1,TTO.4_1,84490.4800231936,0
TTO.5_1,TTO.5_1,31338.134748840323,0
TTO.6_1,TTO.6_1,72009.11097412113,0
TTO.7_1,TTO.7_1,14781.58066406248,0
TTO.8_1,TTO.8_1,21055.013037109362,0
TTO.9_1,TTO.9_1,87491.53620605441,0
TTO.10_1,TTO.10_1,31056.308056640642,0
TTO.11_1,TTO.11_1,116513.3912597656,0
TTO.12_1,TTO.12_1,67722.98902587888,0
TTO.13_1,TTO.13_1,74156.04149169922,0
TTO.14_1,TTO.14_1,50417.44329071048,0
TTO.15_1,TTO.15_1,173926.9478393552,0
