origin,destination,flow,time
TUN.19.7_1,TUN.19.2_1,1410.0,0
TUN.19.7_1,TUN.19.5_1,899.0,0
TUN.19.7_1,TUN.2.7_1,632.0,0
TUN.19.7_1,TUN.2.8_1,486.0,0
TUN.19.7_1,TUN.2.4_1,131.0,0
TUN.19.7_1,TUN.19.4_1,165.0,0
TUN.19.7_1,TUN.19.1_1,60.0,0
TUN.19.7_1,TUN.24.2_1,193.0,0
TUN.19.7_1,TUN.2.9_1,30.0,0
TUN.19.7_1,TUN.19.3_1,30.0,0
TUN.19.7_1,TUN.2.5_1,81.0,0
TUN.19.7_1,TUN.2.3_1,63.0,0
TUN.19.7_1,TUN.19.10_1,35.0,0
TUN.19.7_1,TUN.19.11_1,22.0,0
TUN.19.7_1,TUN.7.3_1,21.0,0
TUN.19.7_1,TUN.24.1_1,17.0,0
TUN.19.7_1,TUN.13.1_1,10.0,0
TUN.19.7_1,TUN.13.3_1,9.0,0
TUN.19.7_1,TUN.2.2_1,39.0,0
TUN.19.7_1,TUN.24.3_1,9.0,0
TUN.19.7_1,TUN.11.2_1,9.0,0
TUN.19.7_1,TUN.13.6_1,10.0,0
TUN.19.7_1,TUN.11.6_1,5.0,0
TUN.19.7_1,TUN.4.6_1,5.0,0
TUN.19.7_1,TUN.7.7_1,12.0,0
TUN.19.7_1,TUN.8.10_1,7.0,0
TUN.19.7_1,TUN.13.8_1,8.0,0
TUN.19.7_1,TUN.7.2_1,6.0,0
TUN.19.7_1,TUN.3.8_1,11.0,0
TUN.19.7_1,TUN.24.5_1,5.0,0
TUN.19.7_1,TUN.11.9_1,2.0,0
TUN.19.7_1,TUN.19.8_1,2.0,0
TUN.19.7_1,TUN.24.4_1,1.0,0
TUN.19.7_1,TUN.19.6_1,4.0,0
TUN.19.7_1,TUN.24.6_1,3.0,0
TUN.19.7_1,TUN.13.4_1,4.0,0
TUN.19.7_1,TUN.23.21_1,11.0,0
TUN.19.7_1,TUN.13.7_1,3.0,0
TUN.19.7_1,TUN.8.11_1,5.0,0
TUN.19.7_1,TUN.23.11_1,4.0,0
TUN.19.7_1,TUN.7.6_1,1.0,0
TUN.19.7_1,TUN.4.8_1,2.0,0
TUN.19.7_1,TUN.23.23_1,1.0,0
TUN.19.7_1,TUN.3.5_1,5.0,0
TUN.19.7_1,TUN.3.10_1,3.0,0
TUN.19.7_1,TUN.1.2_1,5.0,0
TUN.19.7_1,TUN.23.10_1,1.0,0
TUN.19.7_1,TUN.11.8_1,1.0,0
TUN.19.7_1,TUN.2.6_1,3.0,0
TUN.19.7_1,TUN.23.3_1,5.0,0
TUN.19.7_1,TUN.3.3_1,1.0,0
TUN.19.7_1,TUN.23.22_1,2.0,0
TUN.19.7_1,TUN.23.8_1,2.0,0
TUN.19.7_1,TUN.23.20_1,1.0,0
TUN.19.7_1,TUN.1.7_1,1.0,0
TUN.19.7_1,TUN.23.16_1,2.0,0
TUN.19.7_1,TUN.23.18_1,1.0,0
TUN.19.7_1,TUN.3.1_1,1.0,0
TUN.19.7_1,TUN.1.1_1,2.0,0
TUN.19.7_1,TUN.4.14_1,1.0,0
TUN.19.7_1,TUN.20.8_1,1.0,0
TUN.19.7_1,TUN.3.7_1,1.0,0
TUN.19.7_1,TUN.1.8_1,2.0,0
TUN.19.7_1,TUN.23.14_1,1.0,0
TUN.19.7_1,TUN.8.7_1,1.0,0
TUN.19.7_1,TUN.23.15_1,2.0,0
TUN.19.7_1,TUN.7.5_1,1.0,0
TUN.19.7_1,TUN.16.3_1,1.0,0
TUN.19.7_1,TUN.8.8_1,1.0,0
TUN.19.7_1,TUN.8.6_1,1.0,0
TUN.19.7_1,TUN.16.14_1,1.0,0
TUN.19.7_1,TUN.18.2_1,1.0,0
TUN.19.7_1,TUN.20.16_1,1.0,0
TUN.19.7_1,TUN.15.7_1,1.0,0
TUN.19.7_1,TUN.6.10_1,1.0,0
TUN.19.7_1,TUN.17.10_1,1.0,0
TUN.19.7_1,TUN.14.1_1,1.0,0
TUN.5.2_1,TUN.5.3_1,4989.0,0
TUN.5.2_1,TUN.5.1_1,1070.0,0
