origin,destination,flow,time
TWN.6.1_1,TWN.3.1_1,32919.0,0
TWN.6.1_1,TWN.7.7_1,1429.0,0
TWN.6.1_1,TWN.7.13_1,4338.0,0
TWN.6.1_1,TWN.7.14_1,421.0,0
TWN.6.1_1,TWN.7.5_1,628.0,0
TWN.6.1_1,TWN.7.4_1,420.0,0
TWN.6.1_1,TWN.7.8_1,422.0,0
TWN.6.1_1,TWN.4.1_1,1963.0,0
TWN.6.1_1,TWN.7.6_1,149.0,0
TWN.6.1_1,TWN.7.9_1,201.0,0
TWN.6.1_1,TWN.7.1_1,571.0,0
TWN.6.1_1,TWN.1.2_1,2.0,0
TWN.6.1_1,TWN.7.15_1,249.0,0
TWN.6.1_1,TWN.7.3_1,181.0,0
TWN.6.1_1,TWN.7.2_1,151.0,0
TWN.6.1_1,TWN.5.1_1,544.0,0
TWN.6.1_1,TWN.2.1_1,702.0,0
TWN.6.1_1,TWN.7.12_1,51.0,0
TWN.6.1_1,TWN.7.10_1,21.0,0
TWN.6.1_1,TWN.7.11_1,160.0,0
TWN.6.1_1,TWN.1.1_1,7.0,0
TWN.7.1_1,TWN.7.15_1,7846.0,0
TWN.7.1_1,TWN.4.1_1,11196.0,0
TWN.7.1_1,TWN.7.9_1,560.0,0
TWN.7.1_1,TWN.7.2_1,463.0,0
TWN.7.1_1,TWN.7.3_1,466.0,0
TWN.7.1_1,TWN.7.8_1,424.0,0
TWN.7.1_1,TWN.5.1_1,1047.0,0
TWN.7.1_1,TWN.7.6_1,124.0,0
TWN.7.1_1,TWN.7.4_1,181.0,0
TWN.7.1_1,TWN.7.10_1,27.0,0
TWN.7.1_1,TWN.7.5_1,235.0,0
TWN.7.1_1,TWN.2.1_1,705.0,0
TWN.7.1_1,TWN.7.13_1,463.0,0
TWN.7.1_1,TWN.7.12_1,23.0,0
TWN.7.1_1,TWN.7.14_1,34.0,0
TWN.7.1_1,TWN.3.1_1,423.0,0
TWN.7.1_1,TWN.6.1_1,190.0,0
TWN.7.1_1,TWN.7.11_1,41.0,0
TWN.7.1_1,TWN.7.7_1,40.0,0
TWN.7.1_1,TWN.1.1_1,3.0,0
TWN.7.1_1,TWN.1.2_1,3.0,0
TWN.7.2_1,TWN.7.3_1,4170.0,0
TWN.7.2_1,TWN.7.15_1,1324.0,0
TWN.7.2_1,TWN.5.1_1,1147.0,0
TWN.7.2_1,TWN.7.1_1,292.0,0
TWN.7.2_1,TWN.2.1_1,262.0,0
TWN.7.2_1,TWN.7.9_1,28.0,0
TWN.7.2_1,TWN.7.10_1,6.0,0
TWN.7.2_1,TWN.7.12_1,9.0,0
TWN.7.2_1,TWN.4.1_1,114.0,0
TWN.7.2_1,TWN.7.6_1,6.0,0
TWN.7.2_1,TWN.7.11_1,24.0,0
TWN.7.2_1,TWN.7.8_1,7.0,0
TWN.7.2_1,TWN.7.5_1,15.0,0
TWN.7.2_1,TWN.7.4_1,9.0,0
TWN.7.2_1,TWN.7.14_1,8.0,0
TWN.7.2_1,TWN.7.13_1,33.0,0
TWN.7.2_1,TWN.3.1_1,29.0,0
TWN.7.2_1,TWN.6.1_1,11.0,0
TWN.7.2_1,TWN.7.7_1,5.0,0
TWN.7.3_1,TWN.7.2_1,4162.0,0
TWN.7.3_1,TWN.7.15_1,1934.0,0
TWN.7.3_1,TWN.5.1_1,1684.0,0
TWN.7.3_1,TWN.2.1_1,680.0,0
TWN.7.3_1,TWN.7.1_1,139.0,0
TWN.7.3_1,TWN.7.9_1,30.0,0
TWN.7.3_1,TWN.7.12_1,12.0,0
TWN.7.3_1,TWN.7.6_1,22.0,0
TWN.7.3_1,TWN.4.1_1,172.0,0
TWN.7.3_1,TWN.7.10_1,2.0,0
TWN.7.3_1,TWN.7.11_1,19.0,0
TWN.7.3_1,TWN.7.8_1,15.0,0
TWN.7.3_1,TWN.7.5_1,16.0,0
TWN.7.3_1,TWN.7.4_1,11.0,0
TWN.7.3_1,TWN.7.14_1,8.0,0
TWN.7.3_1,TWN.7.13_1,58.0,0
TWN.7.3_1,TWN.3.1_1,64.0,0
TWN.7.3_1,TWN.6.1_1,14.0,0
TWN.7.3_1,TWN.7.7_1,6.0,0
TWN.7.3_1,TWN.1.1_1,1.0,0
TWN.7.4_1,TWN.7.5_1,5204.0,0
TWN.7.4_1,TWN.7.13_1,2723.0,0
TWN.7.4_1,TWN.7.8_1,142.0,0
TWN.7.4_1,TWN.4.1_1,367.0,0
TWN.7.4_1,TWN.3.1_1,212.0,0
TWN.7.4_1,TWN.6.1_1,57.0,0
TWN.7.4_1,TWN.7.14_1,5.0,0
TWN.7.4_1,TWN.7.7_1,15.0,0
TWN.7.4_1,TWN.7.1_1,20.0,0
TWN.7.4_1,TWN.7.9_1,8.0,0
TWN.7.4_1,TWN.7.6_1,3.0,0
TWN.7.4_1,TWN.7.15_1,9.0,0
TWN.7.4_1,TWN.7.2_1,4.0,0
TWN.7.4_1,TWN.7.3_1,5.0,0
TWN.7.4_1,TWN.5.1_1,12.0,0
TWN.7.4_1,TWN.7.10_1,2.0,0
TWN.7.4_1,TWN.2.1_1,29.0,0
TWN.7.4_1,TWN.7.12_1,1.0,0
TWN.7.4_1,TWN.7.11_1,9.0,0
TWN.1.1_1,TWN.7.10_1,598.0,0
TWN.1.1_1,TWN.7.1_1,385.0,0
TWN.1.1_1,TWN.7.15_1,10.0,0
TWN.1.1_1,TWN.7.2_1,5.0,0
TWN.1.1_1,TWN.7.3_1,3.0,0
TWN.1.1_1,TWN.5.1_1,8.0,0
TWN.1.1_1,TWN.4.1_1,10.0,0
TWN.1.1_1,TWN.7.9_1,1.0,0
TWN.1.1_1,TWN.2.1_1,1.0,0
TWN.1.1_1,TWN.6.1_1,2.0,0
TWN.1.1_1,TWN.3.1_1,1.0,0
TWN.1.2_1,TWN.7.4_1,174.0,0
TWN.1.2_1,TWN.7.13_1,2.0,0
TWN.2.1_1,TWN.5.1_1,23045.0,0
TWN.2.1_1,TWN.7.12_1,1496.0,0
TWN.2.1_1,TWN.7.3_1,3200.0,0
TWN.2.1_1,TWN.7.2_1,2181.0,0
TWN.2.1_1,TWN.7.11_1,3616.0,0
TWN.2.1_1,TWN.7.15_1,2172.0,0
TWN.2.1_1,TWN.7.9_1,1419.0,0
TWN.2.1_1,TWN.7.1_1,3369.0,0
TWN.2.1_1,TWN.7.6_1,633.0,0
TWN.2.1_1,TWN.7.10_1,151.0,0
TWN.2.1_1,TWN.4.1_1,4626.0,0
TWN.2.1_1,TWN.7.8_1,609.0,0
TWN.2.1_1,TWN.7.5_1,680.0,0
TWN.2.1_1,TWN.7.4_1,406.0,0
TWN.2.1_1,TWN.7.14_1,357.0,0
TWN.2.1_1,TWN.7.13_1,1920.0,0
TWN.2.1_1,TWN.3.1_1,2000.0,0
TWN.2.1_1,TWN.6.1_1,777.0,0
TWN.2.1_1,TWN.7.7_1,176.0,0
TWN.2.1_1,TWN.1.1_1,14.0,0
TWN.2.1_1,TWN.1.2_1,3.0,0
TWN.3.1_1,TWN.6.1_1,36207.0,0
TWN.3.1_1,TWN.7.7_1,5689.0,0
TWN.3.1_1,TWN.7.13_1,16765.0,0
TWN.3.1_1,TWN.7.14_1,1778.0,0
TWN.3.1_1,TWN.7.5_1,2519.0,0
TWN.3.1_1,TWN.7.4_1,1567.0,0
TWN.3.1_1,TWN.7.8_1,1719.0,0
TWN.3.1_1,TWN.4.1_1,7671.0,0
TWN.3.1_1,TWN.7.6_1,550.0,0
TWN.3.1_1,TWN.7.9_1,811.0,0
TWN.3.1_1,TWN.7.1_1,2226.0,0
TWN.3.1_1,TWN.7.15_1,828.0,0
TWN.3.1_1,TWN.7.3_1,675.0,0
TWN.3.1_1,TWN.7.2_1,522.0,0
TWN.3.1_1,TWN.1.2_1,15.0,0
TWN.3.1_1,TWN.5.1_1,2030.0,0
TWN.3.1_1,TWN.2.1_1,2751.0,0
TWN.3.1_1,TWN.7.12_1,172.0,0
TWN.3.1_1,TWN.7.10_1,65.0,0
TWN.3.1_1,TWN.7.11_1,566.0,0
TWN.3.1_1,TWN.1.1_1,52.0,0
TWN.4.1_1,TWN.7.8_1,9959.0,0
TWN.4.1_1,TWN.7.9_1,5993.0,0
TWN.4.1_1,TWN.7.1_1,12178.0,0
TWN.4.1_1,TWN.7.5_1,4208.0,0
TWN.4.1_1,TWN.7.4_1,2433.0,0
TWN.4.1_1,TWN.7.6_1,1372.0,0
TWN.4.1_1,TWN.7.15_1,2236.0,0
TWN.4.1_1,TWN.7.13_1,7641.0,0
TWN.4.1_1,TWN.7.14_1,814.0,0
TWN.4.1_1,TWN.7.3_1,852.0,0
TWN.4.1_1,TWN.7.2_1,618.0,0
TWN.4.1_1,TWN.3.1_1,5033.0,0
TWN.4.1_1,TWN.6.1_1,1672.0,0
TWN.4.1_1,TWN.7.7_1,353.0,0
TWN.4.1_1,TWN.5.1_1,943.0,0
TWN.4.1_1,TWN.2.1_1,1196.0,0
TWN.4.1_1,TWN.7.12_1,75.0,0
TWN.4.1_1,TWN.7.10_1,33.0,0
TWN.4.1_1,TWN.7.11_1,273.0,0
TWN.4.1_1,TWN.1.2_1,3.0,0
TWN.4.1_1,TWN.1.1_1,21.0,0
TWN.5.1_1,TWN.2.1_1,21849.0,0
TWN.5.1_1,TWN.7.2_1,1086.0,0
TWN.5.1_1,TWN.7.3_1,1067.0,0
TWN.5.1_1,TWN.7.15_1,1072.0,0
TWN.5.1_1,TWN.7.12_1,346.0,0
TWN.5.1_1,TWN.7.11_1,1177.0,0
TWN.5.1_1,TWN.7.10_1,98.0,0
TWN.5.1_1,TWN.7.1_1,1347.0,0
TWN.5.1_1,TWN.7.9_1,330.0,0
TWN.5.1_1,TWN.7.6_1,246.0,0
TWN.5.1_1,TWN.4.1_1,1682.0,0
TWN.5.1_1,TWN.7.8_1,201.0,0
TWN.5.1_1,TWN.7.5_1,223.0,0
