origin,destination,flow,time
UGA.1_1,UGA.41_1,1757.0,0
UGA.1_1,UGA.8_1,2673.0,0
UGA.1_1,UGA.58_1,307.0,0
UGA.1_1,UGA.3_1,270.0,0
UGA.1_1,UGA.47_1,75.0,0
UGA.1_1,UGA.27_1,30.0,0
UGA.1_1,UGA.36_1,39.0,0
UGA.1_1,UGA.2_1,29.0,0
UGA.1_1,UGA.49_1,11.0,0
UGA.1_1,UGA.33_1,24.0,0
UGA.1_1,UGA.9_1,18.0,0
UGA.1_1,UGA.46_1,2.0,0
UGA.1_1,UGA.14_1,4.0,0
UGA.1_1,UGA.28_1,7.0,0
UGA.1_1,UGA.25_1,8.0,0
UGA.1_1,UGA.34_1,6.0,0
UGA.1_1,UGA.55_1,7.0,0
UGA.1_1,UGA.24_1,16.0,0
UGA.1_1,UGA.22_1,4.0,0
UGA.1_1,UGA.23_1,1.0,0
UGA.1_1,UGA.17_1,9.0,0
UGA.1_1,UGA.40_1,2.0,0
UGA.1_1,UGA.43_1,2.0,0
UGA.1_1,UGA.5_1,3.0,0
UGA.1_1,UGA.30_1,2.0,0
UGA.1_1,UGA.29_1,3.0,0
UGA.1_1,UGA.57_1,5.0,0
UGA.1_1,UGA.10_1,3.0,0
UGA.1_1,UGA.16_1,4.0,0
UGA.1_1,UGA.42_1,3.0,0
UGA.1_1,UGA.44_1,3.0,0
UGA.1_1,UGA.54_1,1.0,0
UGA.1_1,UGA.18_1,1.0,0
UGA.1_1,UGA.37_1,1.0,0
UGA.1_1,UGA.20_1,1.0,0
UGA.1_1,UGA.38_1,1.0,0
UGA.1_1,UGA.4_1,2.0,0
UGA.1_1,UGA.35_1,1.0,0
UGA.1_1,UGA.21_1,1.0,0
UGA.1_1,UGA.39_1,1.0,0
UGA.1_1,UGA.48_1,1.0,0
UGA.1_1,UGA.12_1,1.0,0
UGA.2_1,UGA.33_1,13648.0,0
UGA.2_1,UGA.14_1,1394.0,0
UGA.2_1,UGA.46_1,866.0,0
UGA.2_1,UGA.36_1,2437.0,0
UGA.2_1,UGA.8_1,1827.0,0
UGA.2_1,UGA.49_1,597.0,0
UGA.2_1,UGA.55_1,728.0,0
UGA.2_1,UGA.34_1,598.0,0
UGA.2_1,UGA.23_1,279.0,0
UGA.2_1,UGA.17_1,671.0,0
UGA.2_1,UGA.22_1,245.0,0
UGA.2_1,UGA.25_1,192.0,0
UGA.2_1,UGA.1_1,91.0,0
UGA.2_1,UGA.27_1,114.0,0
UGA.2_1,UGA.47_1,225.0,0
UGA.2_1,UGA.29_1,192.0,0
UGA.2_1,UGA.50_1,236.0,0
UGA.2_1,UGA.9_1,139.0,0
UGA.2_1,UGA.10_1,189.0,0
UGA.2_1,UGA.11_1,72.0,0
UGA.2_1,UGA.41_1,24.0,0
UGA.2_1,UGA.3_1,184.0,0
UGA.2_1,UGA.57_1,314.0,0
UGA.2_1,UGA.44_1,107.0,0
UGA.2_1,UGA.16_1,131.0,0
UGA.2_1,UGA.28_1,40.0,0
UGA.2_1,UGA.43_1,83.0,0
UGA.2_1,UGA.40_1,20.0,0
UGA.2_1,UGA.24_1,59.0,0
UGA.2_1,UGA.58_1,35.0,0
UGA.2_1,UGA.54_1,27.0,0
UGA.2_1,UGA.56_1,41.0,0
UGA.2_1,UGA.37_1,21.0,0
UGA.2_1,UGA.42_1,30.0,0
UGA.2_1,UGA.38_1,53.0,0
UGA.2_1,UGA.4_1,32.0,0
UGA.2_1,UGA.45_1,7.0,0
UGA.2_1,UGA.20_1,9.0,0
UGA.2_1,UGA.7_1,13.0,0
UGA.2_1,UGA.30_1,35.0,0
UGA.2_1,UGA.53_1,14.0,0
UGA.2_1,UGA.15_1,2.0,0
UGA.2_1,UGA.35_1,20.0,0
UGA.2_1,UGA.32_1,2.0,0
UGA.2_1,UGA.5_1,5.0,0
UGA.2_1,UGA.13_1,9.0,0
UGA.2_1,UGA.18_1,16.0,0
UGA.2_1,UGA.51_1,21.0,0
UGA.2_1,UGA.39_1,37.0,0
UGA.2_1,UGA.21_1,11.0,0
UGA.2_1,UGA.6_1,20.0,0
UGA.2_1,UGA.48_1,13.0,0
UGA.2_1,UGA.52_1,10.0,0
UGA.2_1,UGA.19_1,6.0,0
UGA.2_1,UGA.12_1,7.0,0
UGA.2_1,UGA.26_1,7.0,0
UGA.3_1,UGA.58_1,10228.0,0
UGA.3_1,UGA.47_1,5663.0,0
UGA.3_1,UGA.1_1,1228.0,0
UGA.3_1,UGA.41_1,587.0,0
UGA.3_1,UGA.8_1,3422.0,0
UGA.3_1,UGA.36_1,1688.0,0
UGA.3_1,UGA.31_1,13.0,0
UGA.3_1,UGA.9_1,1078.0,0
UGA.3_1,UGA.2_1,1346.0,0
UGA.3_1,UGA.27_1,285.0,0
UGA.3_1,UGA.49_1,366.0,0
UGA.3_1,UGA.24_1,678.0,0
