origin,destination,flow,time
UZB.1_1,UZB.8_1,31526.0,0
UZB.1_1,UZB.3_1,13743.0,0
UZB.1_1,UZB.14_1,7479.0,0
UZB.1_1,UZB.13_1,505.0,0
UZB.1_1,UZB.11_1,761.0,0
UZB.1_1,UZB.4_1,1297.0,0
UZB.1_1,UZB.10_1,1886.0,0
UZB.1_1,UZB.12_1,1233.0,0
UZB.1_1,UZB.6_1,1118.0,0
UZB.1_1,UZB.9_1,453.0,0
UZB.1_1,UZB.2_1,518.0,0
UZB.1_1,UZB.7_1,432.0,0
UZB.1_1,UZB.5_1,408.0,0
UZB.2_1,UZB.9_1,17130.0,0
UZB.2_1,UZB.10_1,10616.0,0
UZB.2_1,UZB.6_1,3787.0,0
UZB.2_1,UZB.7_1,1186.0,0
UZB.2_1,UZB.4_1,802.0,0
UZB.2_1,UZB.12_1,1018.0,0
UZB.2_1,UZB.11_1,253.0,0
UZB.2_1,UZB.13_1,141.0,0
UZB.2_1,UZB.14_1,1036.0,0
UZB.2_1,UZB.5_1,282.0,0
UZB.2_1,UZB.3_1,413.0,0
UZB.2_1,UZB.8_1,277.0,0
UZB.2_1,UZB.1_1,239.0,0
UZB.3_1,UZB.8_1,33694.0,0
UZB.3_1,UZB.1_1,14231.0,0
UZB.3_1,UZB.14_1,9625.0,0
UZB.3_1,UZB.13_1,636.0,0
UZB.3_1,UZB.11_1,1042.0,0
UZB.3_1,UZB.4_1,1453.0,0
UZB.3_1,UZB.10_1,2397.0,0
UZB.3_1,UZB.12_1,1534.0,0
UZB.3_1,UZB.6_1,1501.0,0
UZB.3_1,UZB.9_1,568.0,0
UZB.3_1,UZB.2_1,665.0,0
UZB.3_1,UZB.7_1,475.0,0
UZB.3_1,UZB.5_1,521.0,0
UZB.4_1,UZB.11_1,10934.0,0
UZB.4_1,UZB.10_1,11004.0,0
UZB.4_1,UZB.13_1,658.0,0
UZB.4_1,UZB.14_1,3440.0,0
UZB.4_1,UZB.6_1,913.0,0
UZB.4_1,UZB.12_1,509.0,0
UZB.4_1,UZB.3_1,466.0,0
UZB.4_1,UZB.8_1,291.0,0
UZB.4_1,UZB.9_1,139.0,0
UZB.4_1,UZB.2_1,111.0,0
UZB.4_1,UZB.1_1,173.0,0
UZB.4_1,UZB.7_1,67.0,0
UZB.4_1,UZB.5_1,79.0,0
UZB.5_1,UZB.7_1,18409.0,0
UZB.5_1,UZB.9_1,5924.0,0
UZB.5_1,UZB.2_1,3829.0,0
UZB.5_1,UZB.10_1,3056.0,0
UZB.5_1,UZB.6_1,1676.0,0
UZB.5_1,UZB.4_1,537.0,0
UZB.5_1,UZB.11_1,253.0,0
UZB.5_1,UZB.13_1,122.0,0
UZB.5_1,UZB.14_1,1021.0,0
UZB.5_1,UZB.12_1,392.0,0
UZB.5_1,UZB.8_1,310.0,0
UZB.5_1,UZB.3_1,312.0,0
UZB.5_1,UZB.1_1,235.0,0
UZB.6_1,UZB.10_1,32952.0,0
UZB.6_1,UZB.12_1,9506.0,0
UZB.6_1,UZB.4_1,3509.0,0
UZB.6_1,UZB.2_1,3204.0,0
UZB.6_1,UZB.11_1,1139.0,0
UZB.6_1,UZB.9_1,1693.0,0
UZB.6_1,UZB.13_1,469.0,0
UZB.6_1,UZB.14_1,3333.0,0
UZB.6_1,UZB.3_1,1584.0,0
UZB.6_1,UZB.8_1,979.0,0
UZB.6_1,UZB.7_1,529.0,0
UZB.6_1,UZB.1_1,756.0,0
UZB.6_1,UZB.5_1,382.0,0
UZB.7_1,UZB.2_1,18620.0,0
UZB.7_1,UZB.5_1,5615.0,0
UZB.7_1,UZB.9_1,2270.0,0
UZB.7_1,UZB.10_1,2607.0,0
UZB.7_1,UZB.6_1,1360.0,0
UZB.7_1,UZB.4_1,457.0,0
UZB.7_1,UZB.11_1,206.0,0
UZB.7_1,UZB.12_1,553.0,0
UZB.7_1,UZB.13_1,95.0,0
UZB.7_1,UZB.14_1,701.0,0
UZB.7_1,UZB.8_1,259.0,0
UZB.7_1,UZB.3_1,277.0,0
UZB.7_1,UZB.1_1,195.0,0
UZB.8_1,UZB.3_1,32726.0,0
UZB.8_1,UZB.1_1,8559.0,0
UZB.8_1,UZB.14_1,5664.0,0
UZB.8_1,UZB.13_1,378.0,0
UZB.8_1,UZB.11_1,577.0,0
UZB.8_1,UZB.4_1,921.0,0
UZB.8_1,UZB.10_1,1499.0,0
UZB.8_1,UZB.12_1,944.0,0
UZB.8_1,UZB.6_1,845.0,0
UZB.8_1,UZB.9_1,335.0,0
UZB.8_1,UZB.2_1,379.0,0
UZB.8_1,UZB.7_1,310.0,0
UZB.8_1,UZB.5_1,355.0,0
UZB.9_1,UZB.2_1,16976.0,0
UZB.9_1,UZB.7_1,4404.0,0
UZB.9_1,UZB.10_1,3258.0,0
UZB.9_1,UZB.4_1,808.0,0
UZB.9_1,UZB.6_1,1127.0,0
UZB.9_1,UZB.11_1,214.0,0
UZB.9_1,UZB.13_1,109.0,0
UZB.9_1,UZB.14_1,797.0,0
UZB.9_1,UZB.5_1,214.0,0
UZB.9_1,UZB.12_1,256.0,0
UZB.9_1,UZB.8_1,210.0,0
UZB.9_1,UZB.3_1,210.0,0
UZB.9_1,UZB.1_1,148.0,0
UZB.10_1,UZB.6_1,33023.0,0
UZB.10_1,UZB.4_1,6518.0,0
UZB.10_1,UZB.11_1,2653.0,0
UZB.10_1,UZB.12_1,5576.0,0
UZB.10_1,UZB.2_1,2753.0,0
UZB.10_1,UZB.13_1,643.0,0
UZB.10_1,UZB.9_1,1499.0,0
UZB.10_1,UZB.14_1,3364.0,0
UZB.10_1,UZB.3_1,1488.0,0
UZB.10_1,UZB.8_1,933.0,0
UZB.10_1,UZB.7_1,495.0,0
UZB.10_1,UZB.1_1,766.0,0
UZB.10_1,UZB.5_1,384.0,0
UZB.11_1,UZB.4_1,10755.0,0
UZB.11_1,UZB.13_1,1074.0,0
UZB.11_1,UZB.14_1,3124.0,0
UZB.11_1,UZB.10_1,503.0,0
