origin,destination,flow,time
VEN.4.17_1,VEN.4.2_1,5589.0,0
VEN.4.17_1,VEN.13.6_1,2956.0,0
VEN.4.17_1,VEN.13.8_1,2181.0,0
VEN.4.17_1,VEN.4.11_1,315.0,0
VEN.4.17_1,VEN.13.2_1,126.0,0
VEN.4.17_1,VEN.16.12_1,703.0,0
VEN.4.17_1,VEN.13.11_1,219.0,0
VEN.4.17_1,VEN.4.12_1,29.0,0
VEN.4.17_1,VEN.16.20_1,118.0,0
VEN.4.17_1,VEN.16.18_1,34.0,0
VEN.4.17_1,VEN.16.11_1,65.0,0
VEN.4.17_1,VEN.16.8_1,58.0,0
VEN.4.17_1,VEN.4.14_1,14.0,0
VEN.4.17_1,VEN.16.10_1,45.0,0
VEN.4.17_1,VEN.16.1_1,21.0,0
VEN.4.17_1,VEN.16.15_1,23.0,0
VEN.4.17_1,VEN.13.9_1,2.0,0
VEN.4.17_1,VEN.4.6_1,13.0,0
VEN.4.17_1,VEN.16.6_1,2.0,0
VEN.4.17_1,VEN.4.18_1,17.0,0
VEN.4.17_1,VEN.4.7_1,2.0,0
VEN.4.17_1,VEN.16.9_1,2.0,0
VEN.4.17_1,VEN.16.13_1,2.0,0
VEN.4.17_1,VEN.16.3_1,15.0,0
VEN.4.17_1,VEN.4.15_1,5.0,0
VEN.4.17_1,VEN.4.1_1,1.0,0
VEN.4.17_1,VEN.16.17_1,14.0,0
VEN.4.17_1,VEN.16.19_1,17.0,0
VEN.4.17_1,VEN.11.1_1,18.0,0
VEN.4.17_1,VEN.16.21_1,1.0,0
VEN.4.17_1,VEN.4.8_1,1.0,0
VEN.4.17_1,VEN.4.3_1,1.0,0
VEN.4.17_1,VEN.13.7_1,2.0,0
VEN.4.17_1,VEN.7.2_1,1.0,0
VEN.4.17_1,VEN.4.4_1,1.0,0
VEN.4.17_1,VEN.7.15_1,5.0,0
VEN.4.17_1,VEN.8.6_1,1.0,0
VEN.4.17_1,VEN.7.4_1,1.0,0
VEN.4.17_1,VEN.13.4_1,1.0,0
VEN.4.17_1,VEN.7.13_1,1.0,0
VEN.4.17_1,VEN.7.11_1,2.0,0
VEN.4.17_1,VEN.7.10_1,1.0,0
VEN.4.17_1,VEN.2.9_1,1.0,0
VEN.4.17_1,VEN.24.10_1,1.0,0
VEN.4.17_1,VEN.14.6_1,1.0,0
VEN.4.17_1,VEN.19.2_1,2.0,0
VEN.4.17_1,VEN.20.14_1,2.0,0
VEN.4.17_1,VEN.20.13_1,1.0,0
VEN.4.17_1,VEN.25.3_1,1.0,0
VEN.4.17_1,VEN.25.15_1,1.0,0
VEN.4.17_1,VEN.25.14_1,1.0,0
VEN.4.17_1,VEN.21.4_1,1.0,0
VEN.1.3_1,VEN.1.4_1,5368.0,0
VEN.1.3_1,VEN.3.5_1,12614.0,0
VEN.1.3_1,VEN.6.3_1,15487.0,0
VEN.1.3_1,VEN.1.5_1,1321.0,0
VEN.1.3_1,VEN.3.7_1,15139.0,0
VEN.1.3_1,VEN.3.1_1,2580.0,0
VEN.1.3_1,VEN.3.2_1,1933.0,0
VEN.1.3_1,VEN.1.2_1,316.0,0
VEN.1.3_1,VEN.13.12_1,501.0,0
VEN.1.3_1,VEN.3.6_1,733.0,0
VEN.1.3_1,VEN.13.1_1,609.0,0
VEN.1.3_1,VEN.5.4_1,584.0,0
VEN.1.3_1,VEN.3.3_1,499.0,0
VEN.1.3_1,VEN.13.5_1,658.0,0
VEN.1.3_1,VEN.13.7_1,1991.0,0
VEN.1.3_1,VEN.5.12_1,233.0,0
VEN.1.3_1,VEN.13.4_1,1122.0,0
VEN.1.3_1,VEN.6.11_1,195.0,0
VEN.1.3_1,VEN.1.6_1,21.0,0
VEN.1.3_1,VEN.19.5_1,300.0,0
VEN.1.3_1,VEN.8.4_1,76.0,0
VEN.1.3_1,VEN.13.3_1,105.0,0
VEN.1.3_1,VEN.13.14_1,80.0,0
VEN.1.3_1,VEN.2.17_1,135.0,0
VEN.1.3_1,VEN.5.11_1,266.0,0
VEN.1.3_1,VEN.19.12_1,120.0,0
VEN.1.3_1,VEN.19.9_1,110.0,0
VEN.1.3_1,VEN.13.6_1,165.0,0
VEN.1.3_1,VEN.5.9_1,239.0,0
VEN.1.3_1,VEN.5.5_1,1552.0,0
VEN.1.3_1,VEN.8.6_1,72.0,0
VEN.1.3_1,VEN.5.10_1,221.0,0
VEN.1.3_1,VEN.1.1_1,35.0,0
VEN.1.3_1,VEN.13.2_1,39.0,0
VEN.1.3_1,VEN.13.9_1,71.0,0
VEN.1.3_1,VEN.3.4_1,241.0,0
VEN.1.3_1,VEN.8.7_1,30.0,0
VEN.1.3_1,VEN.19.14_1,139.0,0
VEN.1.3_1,VEN.8.8_1,37.0,0
VEN.1.3_1,VEN.4.17_1,47.0,0
VEN.1.3_1,VEN.19.3_1,86.0,0
VEN.1.3_1,VEN.8.9_1,57.0,0
VEN.1.3_1,VEN.13.10_1,65.0,0
VEN.1.3_1,VEN.13.15_1,114.0,0
VEN.1.3_1,VEN.5.3_1,143.0,0
VEN.1.3_1,VEN.5.1_1,59.0,0
VEN.1.3_1,VEN.5.2_1,19.0,0
VEN.1.3_1,VEN.13.11_1,168.0,0
VEN.1.3_1,VEN.2.16_1,49.0,0
VEN.1.3_1,VEN.19.7_1,75.0,0
VEN.1.3_1,VEN.19.10_1,40.0,0
VEN.1.3_1,VEN.13.8_1,72.0,0
VEN.1.3_1,VEN.2.9_1,4.0,0
VEN.1.3_1,VEN.4.2_1,22.0,0
VEN.1.3_1,VEN.19.8_1,194.0,0
