origin,destination,flow,time
VNM.1_1,VNM.18_1,50398.0,0
VNM.1_1,VNM.12_1,16967.0,0
VNM.1_1,VNM.33_1,11455.0,0
VNM.1_1,VNM.24_1,2932.0,0
VNM.1_1,VNM.61_1,3561.0,0
VNM.1_1,VNM.39_1,4328.0,0
VNM.1_1,VNM.58_1,3322.0,0
VNM.1_1,VNM.51_1,2105.0,0
VNM.1_1,VNM.2_1,1289.0,0
VNM.1_1,VNM.53_1,1254.0,0
VNM.1_1,VNM.6_1,1062.0,0
VNM.1_1,VNM.59_1,832.0,0
VNM.1_1,VNM.13_1,965.0,0
VNM.1_1,VNM.25_1,4529.0,0
VNM.1_1,VNM.9_1,817.0,0
VNM.1_1,VNM.17_1,617.0,0
VNM.1_1,VNM.7_1,199.0,0
VNM.1_1,VNM.10_1,203.0,0
VNM.1_1,VNM.11_1,229.0,0
VNM.1_1,VNM.16_1,110.0,0
VNM.1_1,VNM.37_1,254.0,0
VNM.1_1,VNM.15_1,301.0,0
VNM.1_1,VNM.43_1,72.0,0
VNM.1_1,VNM.32_1,159.0,0
VNM.1_1,VNM.21_1,189.0,0
VNM.1_1,VNM.45_1,78.0,0
VNM.1_1,VNM.34_1,78.0,0
VNM.1_1,VNM.8_1,125.0,0
VNM.1_1,VNM.48_1,128.0,0
VNM.1_1,VNM.47_1,128.0,0
VNM.1_1,VNM.19_1,102.0,0
VNM.1_1,VNM.54_1,101.0,0
VNM.1_1,VNM.50_1,61.0,0
VNM.1_1,VNM.46_1,69.0,0
VNM.1_1,VNM.29_1,73.0,0
VNM.1_1,VNM.41_1,176.0,0
VNM.1_1,VNM.57_1,194.0,0
VNM.1_1,VNM.42_1,53.0,0
VNM.1_1,VNM.40_1,85.0,0
VNM.1_1,VNM.28_1,46.0,0
VNM.1_1,VNM.55_1,88.0,0
VNM.1_1,VNM.30_1,42.0,0
VNM.1_1,VNM.31_1,55.0,0
VNM.1_1,VNM.23_1,96.0,0
VNM.1_1,VNM.22_1,77.0,0
VNM.1_1,VNM.27_1,289.0,0
VNM.1_1,VNM.5_1,47.0,0
VNM.1_1,VNM.52_1,40.0,0
VNM.1_1,VNM.44_1,30.0,0
VNM.1_1,VNM.62_1,24.0,0
VNM.1_1,VNM.3_1,44.0,0
VNM.1_1,VNM.49_1,29.0,0
VNM.1_1,VNM.56_1,37.0,0
VNM.1_1,VNM.63_1,19.0,0
VNM.1_1,VNM.20_1,20.0,0
VNM.1_1,VNM.35_1,26.0,0
VNM.1_1,VNM.60_1,22.0,0
VNM.1_1,VNM.4_1,7.0,0
VNM.1_1,VNM.38_1,30.0,0
VNM.1_1,VNM.36_1,22.0,0
VNM.1_1,VNM.26_1,18.0,0
VNM.1_1,VNM.14_1,21.0,0
VNM.2_1,VNM.24_1,20269.0,0
VNM.2_1,VNM.51_1,13930.0,0
VNM.2_1,VNM.13_1,4779.0,0
VNM.2_1,VNM.12_1,2891.0,0
VNM.2_1,VNM.33_1,2044.0,0
VNM.2_1,VNM.61_1,786.0,0
VNM.2_1,VNM.59_1,604.0,0
VNM.2_1,VNM.1_1,1009.0,0
VNM.2_1,VNM.18_1,572.0,0
VNM.2_1,VNM.6_1,294.0,0
VNM.2_1,VNM.58_1,335.0,0
VNM.2_1,VNM.39_1,257.0,0
VNM.2_1,VNM.25_1,968.0,0
VNM.2_1,VNM.7_1,68.0,0
VNM.2_1,VNM.53_1,53.0,0
VNM.2_1,VNM.9_1,150.0,0
VNM.2_1,VNM.17_1,140.0,0
VNM.2_1,VNM.10_1,44.0,0
VNM.2_1,VNM.11_1,52.0,0
VNM.2_1,VNM.37_1,47.0,0
VNM.2_1,VNM.16_1,34.0,0
VNM.2_1,VNM.43_1,14.0,0
VNM.2_1,VNM.15_1,64.0,0
VNM.2_1,VNM.32_1,29.0,0
VNM.2_1,VNM.45_1,29.0,0
VNM.2_1,VNM.21_1,27.0,0
VNM.2_1,VNM.34_1,12.0,0
VNM.2_1,VNM.8_1,27.0,0
VNM.2_1,VNM.48_1,20.0,0
VNM.2_1,VNM.47_1,30.0,0
VNM.2_1,VNM.19_1,22.0,0
VNM.2_1,VNM.54_1,22.0,0
VNM.2_1,VNM.50_1,8.0,0
VNM.2_1,VNM.46_1,19.0,0
VNM.2_1,VNM.29_1,21.0,0
VNM.2_1,VNM.41_1,37.0,0
VNM.2_1,VNM.57_1,35.0,0
VNM.2_1,VNM.42_1,15.0,0
VNM.2_1,VNM.40_1,22.0,0
VNM.2_1,VNM.55_1,24.0,0
VNM.2_1,VNM.28_1,8.0,0
VNM.2_1,VNM.30_1,19.0,0
VNM.2_1,VNM.31_1,15.0,0
VNM.2_1,VNM.23_1,18.0,0
VNM.2_1,VNM.22_1,13.0,0
VNM.2_1,VNM.27_1,65.0,0
VNM.2_1,VNM.5_1,10.0,0
VNM.2_1,VNM.52_1,10.0,0
VNM.2_1,VNM.44_1,4.0,0
VNM.2_1,VNM.62_1,7.0,0
VNM.2_1,VNM.49_1,8.0,0
VNM.2_1,VNM.3_1,13.0,0
VNM.2_1,VNM.56_1,8.0,0
VNM.2_1,VNM.63_1,7.0,0
VNM.2_1,VNM.35_1,2.0,0
VNM.2_1,VNM.20_1,4.0,0
VNM.2_1,VNM.60_1,4.0,0
VNM.2_1,VNM.4_1,2.0,0
VNM.2_1,VNM.38_1,4.0,0
VNM.2_1,VNM.36_1,4.0,0
VNM.2_1,VNM.14_1,5.0,0
VNM.2_1,VNM.26_1,9.0,0
VNM.3_1,VNM.5_1,33060.0,0
VNM.3_1,VNM.22_1,19015.0,0
VNM.3_1,VNM.35_1,4349.0,0
VNM.3_1,VNM.23_1,6982.0,0
VNM.3_1,VNM.31_1,2628.0,0
VNM.3_1,VNM.56_1,1959.0,0
VNM.3_1,VNM.49_1,1634.0,0
VNM.3_1,VNM.27_1,5263.0,0
VNM.3_1,VNM.55_1,539.0,0
VNM.3_1,VNM.62_1,240.0,0
VNM.3_1,VNM.28_1,219.0,0
VNM.3_1,VNM.4_1,87.0,0
VNM.3_1,VNM.40_1,405.0,0
VNM.3_1,VNM.42_1,200.0,0
VNM.3_1,VNM.30_1,159.0,0
VNM.3_1,VNM.44_1,110.0,0
VNM.3_1,VNM.60_1,132.0,0
VNM.3_1,VNM.14_1,94.0,0
VNM.3_1,VNM.57_1,489.0,0
VNM.3_1,VNM.63_1,86.0,0
VNM.3_1,VNM.26_1,100.0,0
VNM.3_1,VNM.52_1,176.0,0
VNM.3_1,VNM.38_1,57.0,0
VNM.3_1,VNM.41_1,288.0,0
VNM.3_1,VNM.29_1,98.0,0
VNM.3_1,VNM.36_1,60.0,0
VNM.3_1,VNM.20_1,48.0,0
VNM.3_1,VNM.46_1,80.0,0
VNM.3_1,VNM.50_1,45.0,0
VNM.3_1,VNM.54_1,74.0,0
VNM.3_1,VNM.19_1,64.0,0
VNM.3_1,VNM.47_1,110.0,0
VNM.3_1,VNM.48_1,83.0,0
VNM.3_1,VNM.34_1,26.0,0
VNM.3_1,VNM.8_1,99.0,0
VNM.3_1,VNM.21_1,97.0,0
