origin,destination,flow,time
VUT.2.3_1,VUT.2.4_1,145.0,0
VUT.2.3_1,VUT.2.7_1,14.0,0
VUT.2.3_1,VUT.2.10_1,19.0,0
VUT.2.3_1,VUT.2.8_1,6.0,0
VUT.2.3_1,VUT.2.6_1,14.0,0
VUT.2.3_1,VUT.2.5_1,1.0,0
VUT.2.3_1,VUT.2.1_1,4.0,0
VUT.2.3_1,VUT.2.2_1,4.0,0
VUT.2.3_1,VUT.2.9_1,1.0,0
VUT.2.3_1,VUT.3.4_1,1.0,0
VUT.2.3_1,VUT.3.7_1,1.0,0
VUT.2.3_1,VUT.3.1_1,2.0,0
VUT.2.3_1,VUT.1.3_1,1.0,0
VUT.2.3_1,VUT.3.8_1,1.0,0
VUT.2.3_1,VUT.1.8_1,1.0,0
VUT.2.3_1,VUT.4.13_1,1.0,0
VUT.1.5_1,VUT.4.16_1,83.0,0
VUT.1.5_1,VUT.1.6_1,22.0,0
VUT.1.5_1,VUT.4.15_1,23.0,0
VUT.1.5_1,VUT.1.10_1,5.0,0
VUT.1.5_1,VUT.4.17_1,2.0,0
VUT.1.5_1,VUT.1.2_1,4.0,0
VUT.1.5_1,VUT.4.18_1,2.0,0
VUT.1.5_1,VUT.1.8_1,3.0,0
VUT.1.5_1,VUT.1.7_1,5.0,0
VUT.1.5_1,VUT.2.9_1,4.0,0
VUT.1.5_1,VUT.1.9_1,1.0,0
VUT.1.5_1,VUT.2.2_1,1.0,0
VUT.1.5_1,VUT.1.1_1,1.0,0
VUT.1.5_1,VUT.2.6_1,2.0,0
VUT.1.5_1,VUT.4.8_1,1.0,0
VUT.1.5_1,VUT.3.8_1,1.0,0
VUT.1.5_1,VUT.3.10_1,1.0,0
VUT.1.1_1,VUT.1.4_1,257.0,0
VUT.1.1_1,VUT.1.3_1,115.0,0
VUT.1.1_1,VUT.1.9_1,32.0,0
VUT.1.1_1,VUT.1.7_1,25.0,0
VUT.1.1_1,VUT.1.8_1,14.0,0
VUT.1.1_1,VUT.3.2_1,14.0,0
