origin,destination,flow,time
XNC.1_1,XNC.5_1,576.0,0
XNC.1_1,XNC.4_1,180.0,0
XNC.1_1,XNC.2_1,58.0,0
XNC.1_1,XNC.3_1,25.0,0
XNC.2_1,XNC.5_1,460.0,0
XNC.2_1,XNC.3_1,42.0,0
XNC.2_1,XNC.1_1,80.0,0
XNC.2_1,XNC.4_1,32.0,0
XNC.3_1,XNC.2_1,225.0,0
XNC.3_1,XNC.5_1,57.0,0
XNC.3_1,XNC.1_1,16.0,0
XNC.3_1,XNC.4_1,11.0,0
XNC.4_1,XNC.1_1,519.0,0
XNC.4_1,XNC.5_1,178.0,0
XNC.4_1,XNC.2_1,42.0,0
XNC.4_1,XNC.3_1,24.0,0
XNC.5_1,XNC.2_1,523.0,0
XNC.5_1,XNC.1_1,255.0,0
XNC.5_1,XNC.3_1,67.0,0
XNC.5_1,XNC.4_1,107.0,0
XNC.1_1,XNC.1_1,83083.46645693784,0
XNC.2_1,XNC.2_1,60805.6235945034,0
XNC.3_1,XNC.3_1,30621.32265449565,0
XNC.4_1,XNC.4_1,75554.88330064772,0
XNC.5_1,XNC.5_1,94311.79371257816,0
