origin,destination,flow,time
YEM.21.19_1,YEM.21.20_1,11209.0,0
YEM.21.19_1,YEM.21.16_1,1792.0,0
YEM.21.19_1,YEM.21.4_1,1228.0,0
YEM.21.19_1,YEM.21.6_1,966.0,0
YEM.21.19_1,YEM.21.5_1,613.0,0
YEM.21.19_1,YEM.21.10_1,388.0,0
YEM.21.19_1,YEM.21.21_1,106.0,0
YEM.21.19_1,YEM.21.14_1,66.0,0
YEM.21.19_1,YEM.21.12_1,119.0,0
YEM.21.19_1,YEM.21.2_1,203.0,0
YEM.21.19_1,YEM.21.8_1,246.0,0
YEM.21.19_1,YEM.21.3_1,147.0,0
YEM.21.19_1,YEM.21.17_1,117.0,0
YEM.21.19_1,YEM.14.13_1,133.0,0
YEM.21.19_1,YEM.21.23_1,93.0,0
YEM.21.19_1,YEM.14.10_1,78.0,0
YEM.21.19_1,YEM.14.19_1,27.0,0
YEM.21.19_1,YEM.21.13_1,81.0,0
YEM.21.19_1,YEM.21.9_1,21.0,0
YEM.21.19_1,YEM.21.22_1,65.0,0
YEM.21.19_1,YEM.14.18_1,34.0,0
YEM.21.19_1,YEM.21.15_1,24.0,0
YEM.21.19_1,YEM.14.8_1,21.0,0
YEM.21.19_1,YEM.15.5_1,27.0,0
YEM.21.19_1,YEM.14.3_1,22.0,0
YEM.21.19_1,YEM.14.1_1,43.0,0
YEM.21.19_1,YEM.14.5_1,39.0,0
YEM.21.19_1,YEM.4.3_1,15.0,0
YEM.21.19_1,YEM.21.18_1,31.0,0
YEM.21.19_1,YEM.14.17_1,41.0,0
YEM.21.19_1,YEM.21.7_1,12.0,0
YEM.21.19_1,YEM.15.8_1,20.0,0
YEM.21.19_1,YEM.14.14_1,23.0,0
YEM.21.19_1,YEM.14.12_1,17.0,0
YEM.21.19_1,YEM.15.7_1,5.0,0
YEM.21.19_1,YEM.4.2_1,7.0,0
YEM.21.19_1,YEM.14.16_1,19.0,0
YEM.21.19_1,YEM.14.11_1,7.0,0
YEM.21.19_1,YEM.14.15_1,11.0,0
YEM.21.19_1,YEM.14.2_1,12.0,0
YEM.21.19_1,YEM.21.1_1,3.0,0
YEM.21.19_1,YEM.4.7_1,4.0,0
YEM.21.19_1,YEM.15.13_1,4.0,0
YEM.21.19_1,YEM.5.24_1,3.0,0
YEM.21.19_1,YEM.4.1_1,9.0,0
YEM.21.19_1,YEM.5.23_1,5.0,0
YEM.21.19_1,YEM.14.6_1,16.0,0
YEM.21.19_1,YEM.15.3_1,1.0,0
YEM.21.19_1,YEM.4.9_1,13.0,0
YEM.21.19_1,YEM.14.9_1,7.0,0
YEM.21.19_1,YEM.21.11_1,4.0,0
YEM.21.19_1,YEM.14.4_1,5.0,0
YEM.21.19_1,YEM.4.4_1,1.0,0
YEM.21.19_1,YEM.14.20_1,20.0,0
YEM.21.19_1,YEM.5.7_1,2.0,0
YEM.21.19_1,YEM.11.12_1,15.0,0
YEM.21.19_1,YEM.1.3_1,1.0,0
YEM.21.19_1,YEM.4.6_1,6.0,0
YEM.21.19_1,YEM.14.7_1,6.0,0
YEM.21.19_1,YEM.11.11_1,12.0,0
YEM.21.19_1,YEM.5.3_1,6.0,0
YEM.21.19_1,YEM.15.10_1,2.0,0
YEM.21.19_1,YEM.15.6_1,2.0,0
YEM.21.19_1,YEM.15.12_1,6.0,0
YEM.21.19_1,YEM.15.11_1,1.0,0
YEM.21.19_1,YEM.15.1_1,3.0,0
YEM.21.19_1,YEM.11.8_1,2.0,0
YEM.21.19_1,YEM.11.10_1,4.0,0
YEM.21.19_1,YEM.3.19_1,3.0,0
YEM.21.19_1,YEM.11.3_1,8.0,0
YEM.21.19_1,YEM.1.1_1,1.0,0
YEM.21.19_1,YEM.5.26_1,16.0,0
YEM.21.19_1,YEM.15.9_1,4.0,0
YEM.21.19_1,YEM.3.6_1,2.0,0
YEM.21.19_1,YEM.4.8_1,5.0,0
YEM.21.19_1,YEM.5.17_1,3.0,0
YEM.21.19_1,YEM.15.4_1,1.0,0
YEM.21.19_1,YEM.15.15_1,4.0,0
YEM.21.19_1,YEM.17.5_1,6.0,0
YEM.21.19_1,YEM.17.6_1,8.0,0
YEM.21.19_1,YEM.17.2_1,1.0,0
YEM.21.19_1,YEM.3.1_1,2.0,0
YEM.21.19_1,YEM.1.7_1,4.0,0
YEM.21.19_1,YEM.11.2_1,1.0,0
YEM.21.19_1,YEM.11.5_1,10.0,0
YEM.21.19_1,YEM.1.2_1,5.0,0
YEM.21.19_1,YEM.11.9_1,1.0,0
YEM.21.19_1,YEM.1.4_1,3.0,0
