origin,destination,flow,time
ZMB.1_1,ZMB.2_1,13971.0,0
ZMB.1_1,ZMB.5_1,4769.0,0
ZMB.1_1,ZMB.9_1,1637.0,0
ZMB.1_1,ZMB.3_1,1068.0,0
ZMB.1_1,ZMB.4_1,617.0,0
ZMB.1_1,ZMB.7_1,281.0,0
ZMB.1_1,ZMB.6_1,277.0,0
ZMB.1_1,ZMB.8_1,318.0,0
ZMB.1_1,ZMB.10_1,209.0,0
ZMB.2_1,ZMB.1_1,14263.0,0
ZMB.2_1,ZMB.5_1,5996.0,0
ZMB.2_1,ZMB.7_1,1168.0,0
ZMB.2_1,ZMB.4_1,1341.0,0
ZMB.2_1,ZMB.9_1,1242.0,0
ZMB.2_1,ZMB.3_1,943.0,0
ZMB.2_1,ZMB.8_1,485.0,0
ZMB.2_1,ZMB.6_1,269.0,0
ZMB.2_1,ZMB.10_1,289.0,0
ZMB.3_1,ZMB.6_1,7972.0,0
ZMB.3_1,ZMB.5_1,8112.0,0
ZMB.3_1,ZMB.1_1,2326.0,0
ZMB.3_1,ZMB.4_1,995.0,0
ZMB.3_1,ZMB.2_1,1057.0,0
ZMB.3_1,ZMB.8_1,463.0,0
ZMB.3_1,ZMB.9_1,502.0,0
ZMB.3_1,ZMB.7_1,177.0,0
ZMB.3_1,ZMB.10_1,143.0,0
ZMB.4_1,ZMB.8_1,9163.0,0
ZMB.4_1,ZMB.2_1,4084.0,0
ZMB.4_1,ZMB.6_1,782.0,0
ZMB.4_1,ZMB.1_1,1094.0,0
ZMB.4_1,ZMB.3_1,618.0,0
ZMB.4_1,ZMB.5_1,573.0,0
ZMB.4_1,ZMB.7_1,157.0,0
ZMB.4_1,ZMB.9_1,232.0,0
ZMB.4_1,ZMB.10_1,116.0,0
ZMB.5_1,ZMB.1_1,15561.0,0
ZMB.5_1,ZMB.2_1,6806.0,0
ZMB.5_1,ZMB.9_1,2985.0,0
ZMB.5_1,ZMB.3_1,1910.0,0
ZMB.5_1,ZMB.7_1,724.0,0
ZMB.5_1,ZMB.4_1,927.0,0
ZMB.5_1,ZMB.6_1,452.0,0
ZMB.5_1,ZMB.10_1,491.0,0
ZMB.5_1,ZMB.8_1,513.0,0
ZMB.6_1,ZMB.8_1,6805.0,0
ZMB.6_1,ZMB.3_1,1886.0,0
ZMB.6_1,ZMB.4_1,584.0,0
ZMB.6_1,ZMB.1_1,452.0,0
ZMB.6_1,ZMB.2_1,296.0,0
ZMB.6_1,ZMB.5_1,211.0,0
ZMB.6_1,ZMB.7_1,63.0,0
ZMB.6_1,ZMB.9_1,80.0,0
ZMB.6_1,ZMB.10_1,37.0,0
ZMB.7_1,ZMB.2_1,8024.0,0
ZMB.7_1,ZMB.10_1,812.0,0
ZMB.7_1,ZMB.1_1,842.0,0
ZMB.7_1,ZMB.9_1,410.0,0
ZMB.7_1,ZMB.5_1,308.0,0
ZMB.7_1,ZMB.4_1,116.0,0
ZMB.7_1,ZMB.8_1,87.0,0
ZMB.7_1,ZMB.3_1,99.0,0
ZMB.7_1,ZMB.6_1,36.0,0
ZMB.8_1,ZMB.4_1,9114.0,0
ZMB.8_1,ZMB.6_1,2141.0,0
ZMB.8_1,ZMB.3_1,2261.0,0
ZMB.8_1,ZMB.2_1,1212.0,0
ZMB.8_1,ZMB.1_1,681.0,0
ZMB.8_1,ZMB.5_1,526.0,0
ZMB.8_1,ZMB.7_1,144.0,0
ZMB.8_1,ZMB.9_1,256.0,0
ZMB.8_1,ZMB.10_1,80.0,0
ZMB.9_1,ZMB.5_1,14369.0,0
ZMB.9_1,ZMB.10_1,1879.0,0
ZMB.9_1,ZMB.1_1,2243.0,0
ZMB.9_1,ZMB.2_1,1548.0,0
ZMB.9_1,ZMB.7_1,447.0,0
ZMB.9_1,ZMB.3_1,629.0,0
ZMB.9_1,ZMB.4_1,371.0,0
ZMB.9_1,ZMB.6_1,191.0,0
ZMB.9_1,ZMB.8_1,270.0,0
ZMB.10_1,ZMB.7_1,5769.0,0
ZMB.10_1,ZMB.9_1,3046.0,0
ZMB.10_1,ZMB.2_1,1122.0,0
ZMB.10_1,ZMB.1_1,455.0,0
ZMB.10_1,ZMB.5_1,328.0,0
ZMB.10_1,ZMB.4_1,123.0,0
ZMB.10_1,ZMB.3_1,116.0,0
ZMB.10_1,ZMB.8_1,69.0,0
ZMB.10_1,ZMB.6_1,33.0,0
ZMB.1_1,ZMB.1_1,2291588.928577397,0
ZMB.2_1,ZMB.2_1,2573648.1339653106,0
ZMB.3_1,ZMB.3_1,2153022.3402933762,0
ZMB.4_1,ZMB.4_1,1665118.1329632136,0
ZMB.5_1,ZMB.5_1,3006562.7513251933,0
ZMB.6_1,ZMB.6_1,1031026.9831828659,0
ZMB.7_1,ZMB.7_1,1062700.3935144036,0
ZMB.8_1,ZMB.8_1,1625164.0228144333,0
ZMB.9_1,ZMB.9_1,2172757.9329602187,0
ZMB.10_1,ZMB.10_1,1095101.9283593069,0
