origin,destination,flow,time
ZWE.4.7_1,ZWE.4.1_1,1972.0,0
ZWE.4.7_1,ZWE.5.8_1,383.0,0
ZWE.4.7_1,ZWE.4.5_1,348.0,0
ZWE.4.7_1,ZWE.5.6_1,136.0,0
ZWE.4.7_1,ZWE.4.4_1,154.0,0
ZWE.4.7_1,ZWE.5.5_1,75.0,0
ZWE.4.7_1,ZWE.5.2_1,72.0,0
ZWE.4.7_1,ZWE.4.6_1,14.0,0
ZWE.4.7_1,ZWE.4.2_1,11.0,0
ZWE.4.7_1,ZWE.2.1_1,139.0,0
ZWE.4.7_1,ZWE.5.4_1,2.0,0
ZWE.4.7_1,ZWE.5.3_1,5.0,0
ZWE.4.7_1,ZWE.6.6_1,8.0,0
ZWE.4.7_1,ZWE.4.3_1,2.0,0
ZWE.4.7_1,ZWE.5.7_1,3.0,0
ZWE.4.7_1,ZWE.3.7_1,2.0,0
ZWE.4.7_1,ZWE.3.4_1,7.0,0
ZWE.4.7_1,ZWE.6.5_1,2.0,0
ZWE.4.7_1,ZWE.6.1_1,4.0,0
ZWE.4.7_1,ZWE.5.9_1,1.0,0
ZWE.4.7_1,ZWE.3.6_1,4.0,0
ZWE.4.7_1,ZWE.5.1_1,2.0,0
ZWE.4.7_1,ZWE.6.3_1,3.0,0
ZWE.4.7_1,ZWE.6.2_1,1.0,0
ZWE.4.7_1,ZWE.3.5_1,3.0,0
ZWE.4.7_1,ZWE.3.1_1,2.0,0
ZWE.4.7_1,ZWE.7.4_1,1.0,0
ZWE.4.7_1,ZWE.10.5_1,4.0,0
ZWE.4.7_1,ZWE.10.2_1,3.0,0
ZWE.4.7_1,ZWE.10.3_1,4.0,0
ZWE.4.7_1,ZWE.7.5_1,2.0,0
ZWE.4.7_1,ZWE.7.7_1,3.0,0
ZWE.4.7_1,ZWE.3.3_1,4.0,0
ZWE.4.7_1,ZWE.1.1_1,4.0,0
ZWE.4.7_1,ZWE.7.2_1,1.0,0
ZWE.1.1_1,ZWE.8.7_1,2337.0,0
ZWE.1.1_1,ZWE.9.7_1,1101.0,0
ZWE.1.1_1,ZWE.8.2_1,999.0,0
ZWE.1.1_1,ZWE.9.4_1,1247.0,0
ZWE.1.1_1,ZWE.9.6_1,898.0,0
ZWE.1.1_1,ZWE.9.2_1,716.0,0
ZWE.1.1_1,ZWE.9.5_1,528.0,0
ZWE.1.1_1,ZWE.8.6_1,771.0,0
ZWE.1.1_1,ZWE.8.5_1,582.0,0
ZWE.1.1_1,ZWE.9.3_1,617.0,0
ZWE.1.1_1,ZWE.10.4_1,851.0,0
ZWE.1.1_1,ZWE.8.4_1,195.0,0
ZWE.1.1_1,ZWE.10.8_1,295.0,0
ZWE.1.1_1,ZWE.10.6_1,405.0,0
ZWE.1.1_1,ZWE.10.7_1,201.0,0
ZWE.1.1_1,ZWE.10.5_1,482.0,0
ZWE.1.1_1,ZWE.10.3_1,390.0,0
ZWE.1.1_1,ZWE.7.3_1,170.0,0
ZWE.1.1_1,ZWE.10.1_1,76.0,0
ZWE.1.1_1,ZWE.7.5_1,273.0,0
ZWE.1.1_1,ZWE.6.3_1,231.0,0
