origin,destination,flow,time
AFG.1.1_1,AFG.1.4_1,278.0,0
AFG.1.1_1,AFG.1.5_1,558.0,0
AFG.1.1_1,AFG.1.3_1,283.0,0
AFG.1.1_1,AFG.1.11_1,31.0,0
AFG.1.1_1,AFG.1.9_1,22.0,0
AFG.1.1_1,AFG.1.13_1,1.0,0
AFG.1.1_1,AFG.1.7_1,33.0,0
AFG.1.1_1,AFG.1.10_1,11.0,0
AFG.1.1_1,AFG.1.6_1,12.0,0
AFG.1.1_1,AFG.31.9_1,18.0,0
AFG.1.1_1,AFG.31.7_1,13.0,0
AFG.1.1_1,AFG.31.2_1,9.0,0
AFG.1.1_1,AFG.31.5_1,7.0,0
AFG.1.1_1,AFG.1.8_1,1.0,0
AFG.1.1_1,AFG.31.11_1,2.0,0
AFG.1.1_1,AFG.1.2_1,9.0,0
AFG.1.1_1,AFG.31.12_1,7.0,0
AFG.1.1_1,AFG.31.8_1,6.0,0
AFG.1.1_1,AFG.31.10_1,7.0,0
AFG.1.1_1,AFG.31.4_1,1.0,0
AFG.1.1_1,AFG.31.1_1,3.0,0
AFG.1.1_1,AFG.19.3_1,1.0,0
AFG.1.1_1,AFG.3.9_1,3.0,0
AFG.1.1_1,AFG.19.5_1,1.0,0
AFG.1.1_1,AFG.24.5_1,2.0,0
AFG.1.1_1,AFG.3.4_1,1.0,0
AFG.1.1_1,AFG.18.9_1,1.0,0
AFG.1.1_1,AFG.24.3_1,2.0,0
AFG.1.1_1,AFG.19.1_1,3.0,0
AFG.1.1_1,AFG.19.4_1,2.0,0
AFG.1.1_1,AFG.19.6_1,3.0,0
AFG.1.1_1,AFG.3.10_1,1.0,0
AFG.1.1_1,AFG.18.1_1,1.0,0
AFG.1.1_1,AFG.24.4_1,2.0,0
AFG.1.1_1,AFG.3.2_1,1.0,0
AFG.1.1_1,AFG.18.6_1,1.0,0
AFG.1.1_1,AFG.27.2_1,2.0,0
AFG.1.1_1,AFG.18.3_1,2.0,0
AFG.1.1_1,AFG.18.8_1,1.0,0
AFG.1.1_1,AFG.20.3_1,1.0,0
AFG.1.1_1,AFG.3.11_1,4.0,0
AFG.1.1_1,AFG.20.1_1,1.0,0
AFG.1.1_1,AFG.18.4_1,1.0,0
AFG.1.1_1,AFG.16.5_1,1.0,0
AFG.1.1_1,AFG.28.6_1,1.0,0
AFG.1.1_1,AFG.16.2_1,2.0,0
AFG.1.1_1,AFG.18.11_1,1.0,0
AFG.1.1_1,AFG.20.2_1,1.0,0
AFG.1.1_1,AFG.3.6_1,1.0,0
AFG.1.1_1,AFG.3.5_1,1.0,0
AFG.1.1_1,AFG.22.12_1,1.0,0
AFG.1.1_1,AFG.16.6_1,1.0,0
AFG.1.1_1,AFG.20.4_1,1.0,0
AFG.1.1_1,AFG.22.10_1,1.0,0
AFG.1.1_1,AFG.14.14_1,1.0,0
AFG.1.1_1,AFG.14.5_1,1.0,0
AFG.1.1_1,AFG.3.12_1,1.0,0
AFG.1.1_1,AFG.22.17_1,1.0,0
AFG.1.1_1,AFG.14.3_1,3.0,0
AFG.1.1_1,AFG.22.19_1,1.0,0
AFG.1.1_1,AFG.14.6_1,3.0,0
AFG.1.1_1,AFG.29.2_1,1.0,0
AFG.1.1_1,AFG.30.2_1,1.0,0
AFG.1.1_1,AFG.8.4_1,1.0,0
AFG.1.1_1,AFG.34.1_1,1.0,0
AFG.1.1_1,AFG.2.7_1,1.0,0
AFG.1.2_1,AFG.1.6_1,429.0,0
AFG.1.2_1,AFG.1.11_1,239.0,0
AFG.1.2_1,AFG.1.9_1,154.0,0
AFG.1.2_1,AFG.1.10_1,58.0,0
AFG.1.2_1,AFG.31.2_1,35.0,0
AFG.1.2_1,AFG.1.3_1,91.0,0
AFG.1.2_1,AFG.1.1_1,14.0,0
AFG.1.2_1,AFG.31.4_1,6.0,0
AFG.1.2_1,AFG.31.9_1,17.0,0
AFG.1.2_1,AFG.31.12_1,9.0,0
AFG.1.2_1,AFG.1.4_1,1.0,0
AFG.1.2_1,AFG.1.5_1,6.0,0
AFG.1.2_1,AFG.1.7_1,7.0,0
AFG.1.2_1,AFG.31.7_1,5.0,0
AFG.1.2_1,AFG.31.8_1,4.0,0
AFG.1.2_1,AFG.31.10_1,6.0,0
AFG.1.2_1,AFG.19.3_1,1.0,0
AFG.1.2_1,AFG.31.5_1,2.0,0
AFG.1.2_1,AFG.19.4_1,4.0,0
AFG.1.2_1,AFG.31.1_1,1.0,0
AFG.1.2_1,AFG.19.5_1,3.0,0
AFG.1.2_1,AFG.19.6_1,1.0,0
