origin,destination,flow,time
ALB.1.1_1,ALB.1.2_1,187.0,0
ALB.1.1_1,ALB.5.3_1,112.0,0
ALB.1.1_1,ALB.1.3_1,31.0,0
ALB.1.1_1,ALB.4.2_1,67.0,0
ALB.1.1_1,ALB.5.1_1,213.0,0
ALB.1.1_1,ALB.6.3_1,10.0,0
ALB.1.1_1,ALB.5.2_1,51.0,0
ALB.1.1_1,ALB.4.1_1,52.0,0
ALB.1.1_1,ALB.4.4_1,3.0,0
ALB.1.1_1,ALB.12.3_1,22.0,0
ALB.1.1_1,ALB.7.3_1,8.0,0
ALB.1.1_1,ALB.11.1_1,8.0,0
ALB.1.1_1,ALB.7.4_1,3.0,0
ALB.1.1_1,ALB.4.3_1,1.0,0
ALB.1.1_1,ALB.7.2_1,1.0,0
ALB.1.1_1,ALB.11.2_1,34.0,0
ALB.1.1_1,ALB.6.1_1,1.0,0
ALB.1.1_1,ALB.7.1_1,2.0,0
ALB.1.1_1,ALB.3.1_1,3.0,0
ALB.1.1_1,ALB.3.2_1,1.0,0
ALB.1.1_1,ALB.9.3_1,1.0,0
ALB.1.1_1,ALB.9.2_1,1.0,0
ALB.1.1_1,ALB.8.2_1,1.0,0
ALB.1.1_1,ALB.10.3_1,1.0,0
ALB.1.1_1,ALB.10.1_1,1.0,0
ALB.1.2_1,ALB.1.1_1,173.0,0
ALB.1.2_1,ALB.5.2_1,22.0,0
ALB.1.2_1,ALB.4.4_1,4.0,0
ALB.1.2_1,ALB.4.1_1,10.0,0
ALB.1.2_1,ALB.4.2_1,1.0,0
ALB.1.2_1,ALB.5.1_1,2.0,0
ALB.1.2_1,ALB.11.2_1,8.0,0
ALB.1.2_1,ALB.12.3_1,1.0,0
ALB.1.2_1,ALB.3.1_1,1.0,0
ALB.1.3_1,ALB.1.1_1,95.0,0
ALB.1.3_1,ALB.6.2_1,1.0,0
ALB.1.3_1,ALB.4.2_1,1.0,0
ALB.1.3_1,ALB.7.3_1,4.0,0
ALB.1.3_1,ALB.7.1_1,1.0,0
ALB.1.3_1,ALB.4.1_1,1.0,0
ALB.1.3_1,ALB.11.2_1,1.0,0
ALB.2.1_1,ALB.2.3_1,148.0,0
ALB.2.1_1,ALB.2.2_1,46.0,0
ALB.2.1_1,ALB.4.3_1,15.0,0
ALB.2.1_1,ALB.11.2_1,29.0,0
ALB.2.1_1,ALB.7.4_1,1.0,0
ALB.2.1_1,ALB.1.1_1,1.0,0
ALB.2.1_1,ALB.5.1_1,1.0,0
ALB.2.2_1,ALB.2.3_1,234.0,0
ALB.2.2_1,ALB.2.1_1,57.0,0
ALB.2.2_1,ALB.8.2_1,52.0,0
ALB.2.2_1,ALB.9.3_1,16.0,0
ALB.2.2_1,ALB.10.2_1,11.0,0
ALB.2.2_1,ALB.8.1_1,11.0,0
ALB.2.2_1,ALB.9.1_1,21.0,0
ALB.2.2_1,ALB.3.2_1,20.0,0
ALB.2.2_1,ALB.9.2_1,17.0,0
ALB.2.2_1,ALB.11.2_1,45.0,0
ALB.2.2_1,ALB.4.3_1,1.0,0
ALB.2.2_1,ALB.10.3_1,5.0,0
ALB.2.2_1,ALB.3.1_1,1.0,0
ALB.2.2_1,ALB.8.3_1,1.0,0
ALB.2.2_1,ALB.4.1_1,1.0,0
ALB.2.2_1,ALB.7.4_1,1.0,0
ALB.2.2_1,ALB.5.1_1,1.0,0
ALB.2.3_1,ALB.3.2_1,222.0,0
ALB.2.3_1,ALB.2.1_1,26.0,0
ALB.2.3_1,ALB.9.1_1,35.0,0
ALB.2.3_1,ALB.2.2_1,27.0,0
ALB.2.3_1,ALB.9.3_1,3.0,0
ALB.2.3_1,ALB.11.2_1,47.0,0
ALB.2.3_1,ALB.3.1_1,1.0,0
ALB.2.3_1,ALB.4.1_1,2.0,0
ALB.2.3_1,ALB.9.4_1,1.0,0
ALB.2.3_1,ALB.10.3_1,1.0,0
ALB.3.1_1,ALB.3.2_1,522.0,0
