origin,destination,flow,time
ARE.1_1,ARE.3_1,106162.0,0
ARE.1_1,ARE.2_1,4542.0,0
ARE.1_1,ARE.6_1,17036.0,0
ARE.1_1,ARE.7_1,591.0,0
ARE.1_1,ARE.5_1,2237.0,0
ARE.1_1,ARE.4_1,1558.0,0
ARE.2_1,ARE.6_1,16961.0,0
ARE.2_1,ARE.7_1,101.0,0
ARE.2_1,ARE.5_1,414.0,0
ARE.2_1,ARE.3_1,1595.0,0
ARE.2_1,ARE.4_1,53.0,0
ARE.2_1,ARE.1_1,326.0,0
ARE.3_1,ARE.2_1,28600.0,0
ARE.3_1,ARE.6_1,86856.0,0
ARE.3_1,ARE.7_1,2757.0,0
ARE.3_1,ARE.5_1,9661.0,0
ARE.3_1,ARE.4_1,6691.0,0
ARE.3_1,ARE.1_1,44279.0,0
ARE.4_1,ARE.5_1,8069.0,0
ARE.4_1,ARE.6_1,4362.0,0
ARE.4_1,ARE.7_1,53.0,0
ARE.4_1,ARE.2_1,161.0,0
ARE.4_1,ARE.3_1,611.0,0
ARE.4_1,ARE.1_1,126.0,0
ARE.5_1,ARE.4_1,7987.0,0
ARE.5_1,ARE.7_1,1389.0,0
ARE.5_1,ARE.6_1,6952.0,0
ARE.5_1,ARE.2_1,330.0,0
ARE.5_1,ARE.3_1,1197.0,0
ARE.5_1,ARE.1_1,270.0,0
ARE.6_1,ARE.2_1,20614.0,0
ARE.6_1,ARE.7_1,3940.0,0
ARE.6_1,ARE.5_1,12924.0,0
ARE.6_1,ARE.4_1,7571.0,0
ARE.6_1,ARE.3_1,43639.0,0
ARE.6_1,ARE.1_1,10711.0,0
ARE.7_1,ARE.2_1,3691.0,0
ARE.7_1,ARE.5_1,377.0,0
ARE.7_1,ARE.6_1,390.0,0
ARE.7_1,ARE.4_1,12.0,0
ARE.7_1,ARE.3_1,91.0,0
ARE.7_1,ARE.1_1,15.0,0
ARE.1_1,ARE.1_1,2510410.5548178283,0
ARE.2_1,ARE.2_1,369559.40317723784,0
ARE.3_1,ARE.3_1,3398038.0789335924,0
ARE.4_1,ARE.4_1,254268.5792558666,0
ARE.5_1,ARE.5_1,344383.60745363444,0
ARE.6_1,ARE.6_1,1888589.4043146118,0
ARE.7_1,ARE.7_1,86950.70502171514,0
